original,augmented_name,count
"TH,THCS&THPT Vinschool","['TH,THCS&THPT Vinschool', 'th thcs thpt vinschool', 'th thcs trung hoc pho thong vinschool', 'th thcs & thpt vinschool', 'th tthcs thpt vinschool', 'th & thcs thpt vinschool', 'th thcs pt vinschool', 'th cap 2 thpt vinschool', 'th truong trung hoc co so thpt vinschool', 'th thcs pho thong vinschool', 'th thcs truong cap 3 vinschool', 'th truong thcs thpt vinschool', 'th co so thpt vinschool', 'th thcs ptth vinschool', 'th cs thpt vinschool', 'th thcs cap 3 vinschool', 'th trung hoc co so thpt vinschool', 'th truong cap 2 thpt vinschool', 'th thcs truong trung hoc pho thong vinschool', 'th thcs truong thpt vinschool', 'th thcs pho thong trung hoc vinschool']",21
THPT Hòa Bình-La Trobe-Hà Nội,"['THPT Hòa Bình-La Trobe-Hà Nội', 'thpt hoa binh la trobe ha noi', 'ptth hoa binh la trobe ha noi', 'truong thpt hoa binh la trobe ha noi', 'cap 3 hoa binh la trobe ha noi', 'pho thong hoa binh la trobe ha noi', 'pho thong trung hoc hoa binh la trobe ha noi', 'pt hoa binh la trobe ha noi', 'truong trung hoc pho thong hoa binh la trobe ha noi', 'truong cap 3 hoa binh la trobe ha noi', 'trung hoc pho thong hoa binh la trobe ha noi']",11
GDNN-GDTX quận Hai Bà Trưng,"['GDNN-GDTX quận Hai Bà Trưng', 'gdnn gdtx quan hai ba trung', 'gdnn ttgdtx quan hai ba trung', 'gdnn trung tam giao duc thuong xuyen quan hai ba trung', 'gdnn giao duc thuong xuyen quan hai ba trung', 'gdnn trung tam gdtx quan hai ba trung']",6
GDTX Hai Bà Trưng,"['GDTX Hai Bà Trưng', 'gdtx hai ba trung', 'giao duc thuong xuyen hai ba trung', 'trung tam giao duc thuong xuyen hai ba trung', 'trung tam gdtx hai ba trung', 'ttgdtx hai ba trung']",6
CĐ nghề Bách Khoa Hà Nội,"['CĐ nghề Bách Khoa Hà Nội', 'cd nghe bach khoa ha noi', 'cd nghe bk ha noi']",3
CĐ nghề KT công nghệ LOD - Phân hiệu HN,"['CĐ nghề KT công nghệ LOD - Phân hiệu HN', 'cd nghe kt cong nghe lod phan hieu hn']",2
TC nghề Dân lập Công nghệ Thăng Long,"['TC nghề Dân lập Công nghệ Thăng Long', 'tc nghe dan lap cong nghe thang long', 'tc nghe dl cong nghe thang long']",3
THPT Đống Đa,"['THPT Đống Đa', 'thpt dong da', 'truong thpt dong da', 'truong trung hoc pho thong dong da', 'truong cap 3 dong da', 'trung hoc pho thong dong da', 'pho thong dong da', 'pt dong da', 'cap 3 dong da', 'pho thong trung hoc dong da', 'ptth dong da']",11
THPT Hoàng Cầu,"['THPT Hoàng Cầu', 'thpt hoang cau', 'trung hoc pho thong hoang cau', 'pt hoang cau', 'truong cap 3 hoang cau', 'pho thong trung hoc hoang cau', 'cap 3 hoang cau', 'ptth hoang cau', 'pho thong hoang cau', 'truong thpt hoang cau', 'truong trung hoc pho thong hoang cau']",11
THPT Kim Liên,"['THPT Kim Liên', 'thpt kim lien', 'truong thpt kim lien', 'truong cap 3 kim lien', 'pho thong kim lien', 'pho thong trung hoc kim lien', 'truong trung hoc pho thong kim lien', 'pt kim lien', 'trung hoc pho thong kim lien', 'ptth kim lien', 'cap 3 kim lien']",11
THPT Lê Quý Đôn-Đống Đa,"['THPT Lê Quý Đôn-Đống Đa', 'thpt le quy don dong da', 'pho thong trung hoc le quy don dong da', 'pt le quy don dong da', 'truong trung hoc pho thong le quy don dong da', 'trung hoc pho thong le quy don dong da', 'truong thpt le quy don dong da', 'truong cap 3 le quy don dong da', 'cap 3 le quy don dong da', 'ptth le quy don dong da', 'pho thong le quy don dong da']",11
THPT Phan Huy Chú-Đống Đa,"['THPT Phan Huy Chú-Đống Đa', 'thpt phan huy chu dong da', 'truong thpt phan huy chu dong da', 'truong cap 3 phan huy chu dong da', 'pho thong phan huy chu dong da', 'trung hoc pho thong phan huy chu dong da', 'cap 3 phan huy chu dong da', 'pho thong trung hoc phan huy chu dong da', 'truong trung hoc pho thong phan huy chu dong da', 'ptth phan huy chu dong da', 'pt phan huy chu dong da']",11
THPT Quang Trung-Đống Đa,"['THPT Quang Trung-Đống Đa', 'thpt quang trung dong da', 'truong thpt quang trung dong da', 'pt quang trung dong da', 'pho thong quang trung dong da', 'truong trung hoc pho thong quang trung dong da', 'ptth quang trung dong da', 'cap 3 quang trung dong da', 'truong cap 3 quang trung dong da', 'trung hoc pho thong quang trung dong da', 'pho thong trung hoc quang trung dong da']",11
THCS&THPT Alfred Nobel,"['THCS&THPT Alfred Nobel', 'thcs thpt alfred nobel', 'thcs pt alfred nobel', 'truong trung hoc co so thpt alfred nobel', 'thcs pho thong trung hoc alfred nobel', 'cap 2 thpt alfred nobel', 'thcs & thpt alfred nobel', 'thcs pho thong alfred nobel', 'thcs ptth alfred nobel', 'truong cap 2 thpt alfred nobel', 'co so thpt alfred nobel', 'thcs cap 3 alfred nobel', 'tthcs thpt alfred nobel', 'thcs trung hoc pho thong alfred nobel', 'cs thpt alfred nobel', 'trung hoc co so thpt alfred nobel', 'thcs truong cap 3 alfred nobel', 'thcs truong trung hoc pho thong alfred nobel', 'thcs truong thpt alfred nobel', 'truong thcs thpt alfred nobel']",20
THPT Bắc Hà-Đống Đa,"['THPT Bắc Hà-Đống Đa', 'thpt bac ha dong da', 'ptth bac ha dong da', 'trung hoc pho thong bac ha dong da', 'truong cap 3 bac ha dong da', 'truong trung hoc pho thong bac ha dong da', 'cap 3 bac ha dong da', 'pho thong bac ha dong da', 'pt bac ha dong da', 'pho thong trung hoc bac ha dong da', 'truong thpt bac ha dong da']",11
THPT Hà Nội,"['THPT Hà Nội', 'thpt ha noi', 'pho thong ha noi', 'ptth ha noi', 'pho thong trung hoc ha noi', 'truong trung hoc pho thong ha noi', 'trung hoc pho thong ha noi', 'truong cap 3 ha noi', 'cap 3 ha noi', 'pt ha noi', 'truong thpt ha noi']",11
THPT Nguyễn Văn Huyên,"['THPT Nguyễn Văn Huyên', 'thpt nguyen van huyen', 'pt nguyen van huyen', 'truong cap 3 nguyen van huyen', 'truong trung hoc pho thong nguyen van huyen', 'trung hoc pho thong nguyen van huyen', 'cap 3 nguyen van huyen', 'ptth nguyen van huyen', 'pho thong trung hoc nguyen van huyen', 'pho thong nguyen van huyen', 'truong thpt nguyen van huyen']",11
THPT Phùng Khắc Khoan,"['THPT Phùng Khắc Khoan', 'thpt phung khac khoan', 'truong thpt phung khac khoan', 'trung hoc pho thong phung khac khoan', 'truong trung hoc pho thong phung khac khoan', 'pho thong trung hoc phung khac khoan', 'pho thong phung khac khoan', 'truong cap 3 phung khac khoan', 'pt phung khac khoan', 'ptth phung khac khoan', 'cap 3 phung khac khoan']",11
THPT Tô Hiến Thành,"['THPT Tô Hiến Thành', 'thpt to hien thanh', 'cap 3 to hien thanh', 'truong thpt to hien thanh', 'ptth to hien thanh', 'truong cap 3 to hien thanh', 'truong trung hoc pho thong to hien thanh', 'pho thong to hien thanh', 'trung hoc pho thong to hien thanh', 'pho thong trung hoc to hien thanh', 'pt to hien thanh']",11
THPT Văn Hiến,"['THPT Văn Hiến', 'thpt van hien', 'truong trung hoc pho thong van hien', 'truong cap 3 van hien', 'truong thpt van hien', 'pt van hien', 'trung hoc pho thong van hien', 'ptth van hien', 'cap 3 van hien', 'pho thong trung hoc van hien', 'pho thong van hien']",11
THPT Văn Lang,"['THPT Văn Lang', 'thpt van lang', 'pho thong trung hoc van lang', 'pt van lang', 'ptth van lang', 'truong trung hoc pho thong van lang', 'pho thong van lang', 'trung hoc pho thong van lang', 'truong thpt van lang', 'truong cap 3 van lang', 'cap 3 van lang']",11
THCS&THPT TH School,"['THCS&THPT TH School', 'thcs thpt th school', 'thcs ptth th school', 'tthcs thpt th school', 'thcs truong trung hoc pho thong th school', 'cap 2 thpt th school', 'co so thpt th school', 'thcs pho thong th school', 'trung hoc co so thpt th school', 'truong thcs thpt th school', 'thcs & thpt th school', 'thcs trung hoc pho thong th school', 'truong cap 2 thpt th school', 'thcs truong cap 3 th school', 'thcs cap 3 th school', 'thcs pho thong trung hoc th school', 'thcs pt th school', 'truong trung hoc co so thpt th school', 'cs thpt th school', 'thcs truong thpt th school']",20
GDNN-GDTX quận Đống Đa,"['GDNN-GDTX quận Đống Đa', 'gdnn gdtx quan dong da', 'gdnn ttgdtx quan dong da', 'gdnn trung tam gdtx quan dong da', 'gdnn giao duc thuong xuyen quan dong da', 'gdnn trung tam giao duc thuong xuyen quan dong da']",6
GDTX Đống Đa,"['GDTX Đống Đa', 'gdtx dong da', 'trung tam gdtx dong da', 'trung tam giao duc thuong xuyen dong da', 'ttgdtx dong da', 'giao duc thuong xuyen dong da']",6
Học viện âm nhạc QGVN,"['Học viện âm nhạc QGVN', 'hoc vien am nhac qgvn']",2
Đại học Văn Hóa Nghệ thuật Quân đội,"['Đại học Văn Hóa Nghệ thuật Quân đội', 'dai hoc van hoa nghe thuat quan doi', 'daj hoc van hoa nghe thuat quan doi', 'truong dh van hoa nghe thuat quan doi', 'dh van hoa nghe thuat quan doi', 'truong dai hoc van hoa nghe thuat quan doi']",6
CĐ Kỹ thuật thiết bị y tế,"['CĐ Kỹ thuật thiết bị y tế', 'cd ky thuat thiet bi y te']",2
CĐ nghề Công nghiệp Hà Nội,"['CĐ nghề Công nghiệp Hà Nội', 'cd nghe cong nghiep ha noi']",2
TC nghề Công đoàn Việt Nam,"['TC nghề Công đoàn Việt Nam', 'tc nghe cong doan viet nam']",2
TC nghề may và thời trang Hà Nội,"['TC nghề may và thời trang Hà Nội', 'tc nghe may va thoi trang ha noi']",2
TC nghề Nấu ăn và Nghiệp vụ khách sạn HN,"['TC nghề Nấu ăn và Nghiệp vụ khách sạn HN', 'tc nghe nau an va nghiep vu khach san hn']",2
TC nghề thông tin và truyền thông HN,"['TC nghề thông tin và truyền thông HN', 'tc nghe thong tin va truyen thong hn']",2
Trường Nghệ thuật Quân đội,"['Trường Nghệ thuật Quân đội', 'truong nghe thuat quan doi']",2
THPT Chu Văn An,"['THPT Chu Văn An', 'thpt chu van an', 'pho thong chu van an', 'pho thong trung hoc chu van an', 'ptth chu van an', 'pt chu van an', 'truong thpt chu van an', 'truong cap 3 chu van an', 'trung hoc pho thong chu van an', 'cap 3 chu van an', 'truong trung hoc pho thong chu van an']",11
THPT Tây Hồ,"['THPT Tây Hồ', 'thpt tay ho', 'ptth tay ho', 'truong thpt tay ho', 'truong trung hoc pho thong tay ho', 'truong cap 3 tay ho', 'trung hoc pho thong tay ho', 'pt tay ho', 'pho thong trung hoc tay ho', 'pho thong tay ho', 'cap 3 tay ho']",11
THPT Đông Đô,"['THPT Đông Đô', 'thpt dong do', 'pho thong trung hoc dong do', 'truong trung hoc pho thong dong do', 'truong thpt dong do', 'cap 3 dong do', 'trung hoc pho thong dong do', 'pho thong dong do', 'ptth dong do', 'truong cap 3 dong do', 'pt dong do']",11
THPT Hà Nội Academy,"['THPT Hà Nội Academy', 'thpt ha noi academy', 'truong thpt ha noi academy', 'pho thong ha noi academy', 'pt ha noi academy', 'truong cap 3 ha noi academy', 'cap 3 ha noi academy', 'truong trung hoc pho thong ha noi academy', 'trung hoc pho thong ha noi academy', 'ptth ha noi academy', 'pho thong trung hoc ha noi academy']",11
THPT Phan Chu Trinh,"['THPT Phan Chu Trinh', 'thpt phan chu trinh', 'cap 3 phan chu trinh', 'ptth phan chu trinh', 'pt phan chu trinh', 'trung hoc pho thong phan chu trinh', 'truong thpt phan chu trinh', 'pho thong trung hoc phan chu trinh', 'truong cap 3 phan chu trinh', 'truong trung hoc pho thong phan chu trinh', 'pho thong phan chu trinh']",11
Song ngữ QT Horizon,"['Song ngữ QT Horizon', 'song ngu qt horizon']",2
GDNN-GDTX quận Tây Hồ,"['GDNN-GDTX quận Tây Hồ', 'gdnn gdtx quan tay ho', 'gdnn ttgdtx quan tay ho', 'gdnn giao duc thuong xuyen quan tay ho', 'gdnn trung tam gdtx quan tay ho', 'gdnn trung tam giao duc thuong xuyen quan tay ho']",6
GDTX Tây Hồ,"['GDTX Tây Hồ', 'gdtx tay ho', 'trung tam gdtx tay ho', 'ttgdtx tay ho', 'trung tam giao duc thuong xuyen tay ho', 'giao duc thuong xuyen tay ho']",6
TC nghề Kỹ nghệ thực hành HIPT,"['TC nghề Kỹ nghệ thực hành HIPT', 'tc nghe ky nghe thuc hanh hipt']",2
THPT Cầu Giấy,"['THPT Cầu Giấy', 'thpt cau giay', 'pho thong cau giay', 'truong trung hoc pho thong cau giay', 'ptth cau giay', 'cap 3 cau giay', 'pt cau giay', 'truong cap 3 cau giay', 'pho thong trung hoc cau giay', 'trung hoc pho thong cau giay', 'truong thpt cau giay']",11
THPT chuyên Đại học Sư phạm,"['THPT chuyên Đại học Sư phạm', 'thpt chuyen dai hoc su pham', 'truong trung hoc pho thong chuyen dai hoc su pham', 'thpt chuyen daj hoc su pham', 'thpt chuyen truong dai hoc su pham', 'cap 3 chuyen dai hoc su pham', 'thpt chuyen dh su pham', 'thpt chuyen dhsp', 'pho thong chuyen dai hoc su pham', 'trung hoc pho thong chuyen dai hoc su pham', 'thpt chuyen truong dh su pham', 'truong thpt chuyen dai hoc su pham', 'pt chuyen dai hoc su pham', 'ptth chuyen dai hoc su pham', 'pho thong trung hoc chuyen dai hoc su pham', 'truong cap 3 chuyen dai hoc su pham']",16
THPT chuyên Hà Nội Amsterdam,"['THPT chuyên Hà Nội Amsterdam', 'thpt chuyen ha noi amsterdam', 'truong cap 3 chuyen ha noi amsterdam', 'pho thong chuyen ha noi amsterdam', 'pho thong trung hoc chuyen ha noi amsterdam', 'pt chuyen ha noi amsterdam', 'trung hoc pho thong chuyen ha noi amsterdam', 'cap 3 chuyen ha noi amsterdam', 'truong trung hoc pho thong chuyen ha noi amsterdam', 'truong thpt chuyen ha noi amsterdam', 'ptth chuyen ha noi amsterdam']",11
THPT chuyên Ngoại ngữ,"['THPT chuyên Ngoại ngữ', 'thpt chuyen ngoai ngu', 'pho thong trung hoc chuyen ngoai ngu', 'cap 3 chuyen ngoai ngu', 'truong trung hoc pho thong chuyen ngoai ngu', 'truong cap 3 chuyen ngoai ngu', 'trung hoc pho thong chuyen ngoai ngu', 'pt chuyen ngoai ngu', 'truong thpt chuyen ngoai ngu', 'ptth chuyen ngoai ngu', 'pho thong chuyen ngoai ngu']",11
THCS&THPT Nguyễn Tất Thành,"['THCS&THPT Nguyễn Tất Thành', 'thcs thpt nguyen tat thanh', 'thcs pho thong nguyen tat thanh', 'co so thpt nguyen tat thanh', 'thcs ptth nguyen tat thanh', 'cs thpt nguyen tat thanh', 'thcs & thpt nguyen tat thanh', 'thcs trung hoc pho thong nguyen tat thanh', 'truong thcs thpt nguyen tat thanh', 'thcs truong thpt nguyen tat thanh', 'trung hoc co so thpt nguyen tat thanh', 'thcs truong cap 3 nguyen tat thanh', 'thcs pho thong trung hoc nguyen tat thanh', 'truong cap 2 thpt nguyen tat thanh', 'cap 2 thpt nguyen tat thanh', 'thcs pt nguyen tat thanh', 'truong trung hoc co so thpt nguyen tat thanh', 'tthcs thpt nguyen tat thanh', 'thcs cap 3 nguyen tat thanh', 'thcs truong trung hoc pho thong nguyen tat thanh']",20
THPT Yên Hòa,"['THPT Yên Hòa', 'thpt yen hoa', 'trung hoc pho thong yen hoa', 'ptth yen hoa', 'cap 3 yen hoa', 'pho thong yen hoa', 'truong cap 3 yen hoa', 'pho thong trung hoc yen hoa', 'truong thpt yen hoa', 'pt yen hoa', 'truong trung hoc pho thong yen hoa']",11
THPT Einstein,"['THPT Einstein', 'thpt einstein', 'ptth einstein', 'truong thpt einstein', 'trung hoc pho thong einstein', 'cap 3 einstein', 'pho thong trung hoc einstein', 'truong cap 3 einstein', 'pt einstein', 'pho thong einstein', 'truong trung hoc pho thong einstein']",11
PTDL Hermann Gmeiner,"['PTDL Hermann Gmeiner', 'ptdl hermann gmeiner']",2
THPT Hồng Bàng,"['THPT Hồng Bàng', 'thpt hong bang', 'truong thpt hong bang', 'cap 3 hong bang', 'truong cap 3 hong bang', 'ptth hong bang', 'pt hong bang', 'truong trung hoc pho thong hong bang', 'pho thong trung hoc hong bang', 'pho thong hong bang', 'trung hoc pho thong hong bang']",11
THCS&THPT Lương Thế Vinh,"['THCS&THPT Lương Thế Vinh', 'thcs thpt luong the vinh', 'thcs truong thpt luong the vinh', 'co so thpt luong the vinh', 'thcs & thpt luong the vinh', 'thcs pho thong trung hoc luong the vinh', 'truong cap 2 thpt luong the vinh', 'cap 2 thpt luong the vinh', 'thcs truong trung hoc pho thong luong the vinh', 'truong trung hoc co so thpt luong the vinh', 'thcs truong cap 3 luong the vinh', 'thcs pt luong the vinh', 'cs thpt luong the vinh', 'thcs cap 3 luong the vinh', 'thcs trung hoc pho thong luong the vinh', 'truong thcs thpt luong the vinh', 'thcs pho thong luong the vinh', 'thcs ptth luong the vinh', 'trung hoc co so thpt luong the vinh', 'tthcs thpt luong the vinh']",20
THPT Lương Văn Can,"['THPT Lương Văn Can', 'thpt luong van can', 'truong thpt luong van can', 'pho thong trung hoc luong van can', 'truong trung hoc pho thong luong van can', 'pho thong luong van can', 'pt luong van can', 'trung hoc pho thong luong van can', 'cap 3 luong van can', 'ptth luong van can', 'truong cap 3 luong van can']",11
THPT Lý Thái Tổ,"['THPT Lý Thái Tổ', 'thpt ly thai to', 'cap 3 ly thai to', 'truong trung hoc pho thong ly thai to', 'truong cap 3 ly thai to', 'pho thong ly thai to', 'trung hoc pho thong ly thai to', 'pt ly thai to', 'truong thpt ly thai to', 'pho thong trung hoc ly thai to', 'ptth ly thai to']",11
