normed_text,augmented
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,khoa djeu duong đh ngoai ngữ - đh quốc gia ha noi
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,sv truog đh ngoại ngữ - đh quoc gia hà nội
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,vjen đào tạo quoc tế đh ngoại ngu - dh quốc gia ha nội
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,khoa tieng trung đh ngoại ngữ - đh quoc gia hà nội
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,khoa quản trị kinh doanh đh ngoại ngu - đh quốc gia hà noi
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,viện djen tu vien thong đh ngoại ngu - đh quốc gia hà nội
ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,khoa khxh & nv dh ngoại ngữ - đh quốc gia ha nội
GDNN-GDTX Gò Dầu,gdnn trung tam giao duc thuong xuyen go dau
GDNN-GDTX Gò Dầu,trung tam gdtx go dau
GDNN-GDTX Gò Dầu,trung tam giao duc thuong xuyen go dau
GDNN-GDTX Gò Dầu,gdnn giao duc nghe nghiep giao duc thuong xuyen go dau
GDNN-GDTX Gò Dầu,giao duc nghe nghiep giao duc thuong xuyen go dau
GDNN-GDTX Gò Dầu,trunq tam gdtx go dau
GDNN-GDTX Gò Dầu,jao duc thuog xyen go dau
GDNN-GDTX Gò Dầu,gdnn gdtx go dau
THPT DTNT Bắc Kạn,lop 11a5 thpt dtnt bac kạn
THPT DTNT Bắc Kạn,lop 11a1 thpt dtnt bac kạn
THPT DTNT Bắc Kạn,lop 11a4 thpt dtnt bac kạn
THPT DTNT Bắc Kạn,trường cap 3 dtnt bac kan
THPT DTNT Bắc Kạn,dtnt bắc kạn high school
THPT DTNT Bắc Kạn,dtnt bắc kan highschool
THPT DTNT Bắc Kạn,dtnt bắc kạn highschool
THPT DTNT Bắc Kạn,dtnt bac kạn high school
THPT DTNT Bắc Kạn,lop 11a2 thpt dtnt bac kạn
CĐ Du Lịch Hà Nội,cao dag du lich ha noi
CĐ Du Lịch Hà Nội,khoa truyền hình cđ du lịch ha noi
CĐ Du Lịch Hà Nội,clb tiếng nhật cd du lịch ha nội
CĐ Du Lịch Hà Nội,khoa thú y cd du lich hà nội
CĐ Du Lịch Hà Nội,hoj cuu sv cđ du lịch hà nội
CĐ Du Lịch Hà Nội,vjen toan tjn cđ du lịch hà noi
CĐ Du Lịch Hà Nội,viện cong nghe thong tin cd du lich hà nội
CĐ Du Lịch Hà Nội,khoa quan ly dat dai cđ du lich hà nội
CĐ Du Lịch Hà Nội,sv truog cđ du lịch ha nội
CĐ Phương Đông Đà Nẵng,khoa gjao duc tjeu hoc cđ phuong đông đà nẵng
CĐ Phương Đông Đà Nẵng,cau lạc bộ tiếng nhat cd phương đông đà nẵng
CĐ Phương Đông Đà Nẵng,khoa tjeng trung cđ phuong đông đà nẵng
CĐ Phương Đông Đà Nẵng,sv trường cđ phuong đông da nẵng
CĐ Phương Đông Đà Nẵng,viện cơ khí cđ phương đông da nang
CĐ Phương Đông Đà Nẵng,khoa co khi che tao may cd phương đông đà nẵng
CĐ Phương Đông Đà Nẵng,du bị truong cđ phương đông đà nẵng
CĐ Phương Đông Đà Nẵng,khoa tcnh cd phương đông da nẵng
ĐH Y Dược Cần Thơ,khoa nông hoc đh y dược cần thơ
ĐH Y Dược Cần Thơ,hội sinh viên dh y dược cần thơ
ĐH Y Dược Cần Thơ,khoa y duoc đh y dược cần thơ
ĐH Y Dược Cần Thơ,hok taj đh y duoc cần tho
ĐH Y Dược Cần Thơ,khoa cong nghe thuc pham dh y duoc can thơ
ĐH Y Dược Cần Thơ,khoa du lịch đh y dược can thơ
ĐH Y Dược Cần Thơ,daj h0c y duoc can tho
ĐH Y Dược Cần Thơ,clb gia su đh y duoc cần thơ
ĐH Y Dược Cần Thơ,khoa ngoaj ngu dh y duoc cần thơ
HV Múa Việt Nam,viện điện tử viễn thong hv mua viet nam
HV Múa Việt Nam,khoa văn hoc hv múa viet nam
HV Múa Việt Nam,khoa hoa hv múa viet nam
HV Múa Việt Nam,khoa toan hv múa việt nam
HV Múa Việt Nam,hoc tai hv mua viet nam
HV Múa Việt Nam,viện dien hv mua việt nam
HV Múa Việt Nam,khoa to chuc va quan ly nhan luc hv múa viet nam
HV Múa Việt Nam,vjen kinh tế hv múa việt nam
HV Múa Việt Nam,khoa tieng trung hv múa viet nam
THPT Chương Mỹ,chương mỹ high school
THPT Chương Mỹ,thptth chuong my
THPT Chương Mỹ,chương my highschool
THPT Chương Mỹ,học tại thpt chương my
THPT Chương Mỹ,học sinh tai thpt chuong mỹ
THPT Chương Mỹ,cap 3 chuong my
THPT Chương Mỹ,lop 11a6 thpt chuong mỹ
THPT Chương Mỹ,trường cấp ba chuong my
THPT Nguyễn Tất Thành,nguyen tat thành high school
THPT Nguyễn Tất Thành,nguyễn tat thanh high school
THPT Nguyễn Tất Thành,nguyen tất thành highschool
THPT Nguyễn Tất Thành,nguyễn tất thành highschool
THPT Nguyễn Tất Thành,lop 11 thpt nguyen tất thành
THPT Nguyễn Tất Thành,nguyen tất thanh high school
THPT Nguyễn Tất Thành,truong pho thong trung hoc nguyen tat thanh
CĐ Giao thông Vận tải Trung ương,cd jao thog van taj trung uong
CĐ Giao thông Vận tải Trung ương,viện kinh te cđ giao thông van tải trung ương
CĐ Giao thông Vận tải Trung ương,khoa dược cđ giao thông vận tai trung uong
CĐ Giao thông Vận tải Trung ương,viện cntt cd giao thong vận tải trung ương
CĐ Giao thông Vận tải Trung ương,khoa quốc te cđ giao thong vận tải trung ương
CĐ Giao thông Vận tải Trung ương,sinh vjen cđ giao thong vận tải trung uong
CĐ Giao thông Vận tải Trung ương,khoa ke toan ung dung cd giao thông vận tai trung ương
CĐ Giao thông Vận tải Trung ương,hội trai xinh gai đẹp trường cd giao thông van tải trung ương
CĐ Giao thông Vận tải Trung ương,cd giao thong van tai trung uong
HV Nông nghiệp Việt Nam,khoa kjnh te hv nông nghiệp viet nam
HV Nông nghiệp Việt Nam,khoa dien tu thong tin hv nong nghiệp việt nam
HV Nông nghiệp Việt Nam,vien dtvt hv nông nghiep việt nam
HV Nông nghiệp Việt Nam,khoa vat ly hv nong nghiep việt nam
HV Nông nghiệp Việt Nam,khoa tiếng trung hv nong nghiệp việt nam
HV Nông nghiệp Việt Nam,khoa van học hv nong nghiệp việt nam
HV Nông nghiệp Việt Nam,hv nông nghiệp viet nam
HV Nông nghiệp Việt Nam,cau lac bộ tiếng anh hv nông nghiệp việt nam
HV Nông nghiệp Việt Nam,hv n0ng nghiep viet nam
CĐ Công Nghệ Quảng Nam,khoa quản ly đất đai cd công nghệ quang nam
CĐ Công Nghệ Quảng Nam,khoa y dược cd công nghệ quang nam
CĐ Công Nghệ Quảng Nam,khoa chan nuoi cđ công nghệ quảng nam
CĐ Công Nghệ Quảng Nam,khoa cong nghe cd công nghe quảng nam
CĐ Công Nghệ Quảng Nam,khoa tcnh cđ công nghe quảng nam
CĐ Công Nghệ Quảng Nam,khoa cong nghe thong tjn cđ công nghệ quảng nam
CĐ Công Nghệ Quảng Nam,viện đào tao quốc tế cd công nghe quảng nam
CĐ Công Nghệ Quảng Nam,khoa su pham ky thuat cđ công nghệ quang nam
CĐ Công Nghệ Quảng Nam,khoa nông học cd công nghệ quang nam
THPT Đông Hà,đông hà high school
THPT Đông Hà,đông ha highschool
THPT Đông Hà,dong hà highschool
THPT Đông Hà,đông hà highschool
THPT Nguyễn Khuyến,nguyen khuyến high school
THPT Nguyễn Khuyến,lớp 11a6 thpt nguyễn khuyến
THPT Nguyễn Khuyến,tru0ng ph0 th0ng trung h0c nguyen khuyen
THPT Nguyễn Khuyến,tthpt nguyen khuyen
THPT Nguyễn Khuyến,trường trung học phổ thông nguyen khuyen
THPT Nguyễn Khuyến,lop 11a5 thpt nguyễn khuyến
THPT Nguyễn Khuyến,nguyen khuyến highschool
THPT Nguyễn Khuyến,nguyễn khuyến highschool
ĐH Ngoại ngữ - ĐH Đà Nẵng,viện công nghệ thong tin đh ngoại ngữ  dh đà nang
ĐH Ngoại ngữ - ĐH Đà Nẵng,khoa nuoi trong thuy san đh ngoại ngữ  dh đà nang
ĐH Ngoại ngữ - ĐH Đà Nẵng,khoa cong nghe đh ngoai ngu - đh đà nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,clb gia su đh ngoai ngữ - dh da nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,vjen toan tin dh ngoại ngữ - dh đà nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,khoa chan nuôi đh ngoại ngữ  đh da nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,cau lạc bộ tieng trung đh ngoại ngu - đh đà nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,khoa luat kjnh te đh ngoại ngữ - đh đà nẵng
ĐH Ngoại ngữ - ĐH Đà Nẵng,hoc taj dh ngoại ngữ - dh da nẵng
THPT Lưu Hữu Phước,lưu huu phước highschool
THPT Lưu Hữu Phước,lưu hữu phước highschool
THPT Lưu Hữu Phước,lop 10a4 thpt lưu hữu phuoc
THPT Lưu Hữu Phước,luu hữu phước highschool
THPT Lưu Hữu Phước,lưu hữu phước high school
THPT Lưu Hữu Phước,lớp 11 thpt lưu hữu phước
THPT Lê Lợi,truong trung hoc pho thong le loi
THPT Lê Lợi,le lợi highschool
THPT Lê Lợi,lớp 10a2 thpt lê loi
THPT Lê Lợi,lop 12 thpt lê loi
THPT Lê Lợi,lê lợi high school
THPT Lê Lợi,trường trung học phổ thông le loi
THPT Lê Lợi,truog trug hoc pho thog le loi
THPT Lê Lợi,lớp 11a3 thpt le lợi
THPT Vinh Lộc,vinh lộc high school
THPT Vinh Lộc,vinh lộc highschool
THPT Vinh Lộc,lop 11 thpt vinh loc
THPT Vinh Lộc,phổ thông trung học vinh loc
THPT Vinh Lộc,tru0nq pk0 tk0nq trunq h0c vinh loc
ĐH Kỹ thuật Công nghệ Cần Thơ,khoa ly dh kỹ thuật cong nghệ can thơ
ĐH Kỹ thuật Công nghệ Cần Thơ,clb tieng han đh kỹ thuật cong nghệ cần thơ
ĐH Kỹ thuật Công nghệ Cần Thơ,khoa dien tu thong tin dh kỹ thuật công nghệ cần thơ
ĐH Kỹ thuật Công nghệ Cần Thơ,khoa quản lý dat đai dh ky thuật công nghệ cần thơ
ĐH Kỹ thuật Công nghệ Cần Thơ,khoa nuoi trong thủy sản đh kỹ thuật công nghe cần thơ
ĐH Kỹ thuật Công nghệ Cần Thơ,clb tieng trung đh ky thuật cong nghệ cần tho
ĐH Kỹ thuật Công nghệ Cần Thơ,khoa tai chinh nh đh kỹ thuật công nghe cần tho
ĐH Kỹ thuật Công nghệ Cần Thơ,truong dai hoc ky thuat cong nghe can tho
ĐH Kỹ thuật Công nghệ Cần Thơ,vjen kjnh te đh kỹ thuat công nghệ can tho
CĐ Nông Nghiệp Nam Bộ,khoa cong nghe cđ nông nghiep nam bộ
CĐ Nông Nghiệp Nam Bộ,hok tai cd nông nghiep nam bộ
CĐ Nông Nghiệp Nam Bộ,clb tieng trung cđ nông nghiệp nam bộ
CĐ Nông Nghiệp Nam Bộ,cao dang nong nghiep nam bo
CĐ Nông Nghiệp Nam Bộ,khoa quan lý tài nguyên và môi truong cđ nông nghiep nam bộ
CĐ Nông Nghiệp Nam Bộ,vjen dao tao quoc te cđ nông nghiep nam bộ
CĐ Nông Nghiệp Nam Bộ,khoa quan trị kinh doanh cđ nong nghiệp nam bộ
CĐ Nông Nghiệp Nam Bộ,khoa y dược cd nông nghiệp nam bộ
CĐ Nông Nghiệp Nam Bộ,clb tiếng nhật cd nông nghiep nam bộ
THPT Hậu Nghĩa,lop 10 thpt hậu nghĩa
THPT Hậu Nghĩa,hậu nghĩa high school
THPT Hậu Nghĩa,hau nghĩa highschool
THPT Hậu Nghĩa,hậu nghia highschool
THPT Hậu Nghĩa,lớp 12 thpt hau nghĩa
THPT Hậu Nghĩa,truong trung hoc pho thong hau nghia
THPT Hậu Nghĩa,trường cap 3 hau nghia
THPT Hậu Nghĩa,pk0 tk0nq hau nghia
THPT Châu Thành,ph0 th0ng chau thanh
THPT Châu Thành,chau thành highschool
THPT Châu Thành,lop 10a7 thpt chau thành
THPT Châu Thành,châu thành high school
THPT Châu Thành,lớp 11a6 thpt châu thành
THPT Châu Thành,tthpt chau thanh
THPT Châu Thành,châu thanh high school
THPT Châu Thành,châu thành highschool
THPT Hoàng Văn Thụ,lớp 12a2 thpt hoang văn thu
THPT Hoàng Văn Thụ,lớp 10 thpt hoàng văn thụ
THPT Hoàng Văn Thụ,lớp 11 thpt hoang van thụ
THPT Hoàng Văn Thụ,hoàng van thu high school
THPT Hoàng Văn Thụ,hoàng van thụ high school
THPT Hoàng Văn Thụ,tru0`ng trung h0.c ph0 th0ng hoang van thu
THPT Hoàng Văn Thụ,hoàng văn thu highschool
THPT Hoàng Văn Thụ,confession thpt hoàng văn thu
THPT Hoàng Văn Thụ,pt hoang van thu
THPT Mai Thanh Thế,mai thanh thế highschool
THPT Mai Thanh Thế,trung hoc pho thong mai thanh the
THPT Mai Thanh Thế,trung học phổ thông mai thanh the
THPT Mai Thanh Thế,lop 12a4 thpt mai thanh thế
THPT Mai Thanh Thế,lop 11a7 thpt mai thanh thế
THPT Mai Thanh Thế,lop 10a6 thpt mai thanh thế
THPT Mai Thanh Thế,mai thanh thế high school
THPT Mai Thanh Thế,trường thpt mai thanh the
THPT Diệp Minh Châu,diệp minh chau high school
THPT Diệp Minh Châu,diệp minh châu highschool
THPT Diệp Minh Châu,lớp 12a3 thpt diep minh châu
THPT Diệp Minh Châu,fo thog trug hoc diep minh chau
THPT Diệp Minh Châu,lớp 11a5 thpt diep minh châu
THPT Diệp Minh Châu,lop 10 thpt diep minh châu
THPT Diệp Minh Châu,hok taj thpt diep minh châu
THPT Diệp Minh Châu,lớp 11a4 thpt diep minh châu
THPT Nguyễn Chí Thanh,trunq h0c pk0 tk0nq nguyen chi thanh
THPT Nguyễn Chí Thanh,nguyễn chí thanh highschool
THPT Nguyễn Chí Thanh,nguyễn chí thanh high school
THPT Nguyễn Chí Thanh,nguyễn chi thanh highschool
THPT Nguyễn Chí Thanh,trung hoc pho thong nguyen chi thanh
THPT Nguyễn Chí Thanh,trường cấp 2-3 nguyen chi thanh
THPT Nguyễn Chí Thanh,thptth nguyen chi thanh
THPT Bình Thuận,bình thuận high school
THPT Bình Thuận,bình thuận highschool
THPT Bình Thuận,bình thuan high school
THPT Bình Thuận,pt binh thuan
THPT Bình Thuận,thpt binh thuan
THPT Bình Thuận,binh thuận high school
CĐ Dược Trung ương Hải Dương,khoa y cđ dược trung ương hai duong
CĐ Dược Trung ương Hải Dương,khoa luat kjnh te cd dược trung ương hải duong
CĐ Dược Trung ương Hải Dương,clb tieng han cđ duoc trung ương hải duong
CĐ Dược Trung ương Hải Dương,viện djen cđ dược trung ương hai dương
CĐ Dược Trung ương Hải Dương,dự bi cđ dược trung ương hai dương
CĐ Dược Trung ương Hải Dương,khoa ngoai ngu cđ duoc trung ương hải duong
CĐ Dược Trung ương Hải Dương,khoa kế toán cd duoc trung ương hải dương
CĐ Dược Trung ương Hải Dương,cao dang duoc trung uong hai duong
CĐ Dược Trung ương Hải Dương,khoa quản trị kinh doanh cđ duoc trung uong hải dương
GDNN-GDTX Thái Hòa,gdnn trunq tam gdnn gdtx thai hoa
GDNN-GDTX Thái Hòa,gdnn trunq tam qja0 duc tku0nq xuyen thai hoa
GDNN-GDTX Thái Hòa,gdnn ttgdnn gdtx thai hoa
GDNN-GDTX Thái Hòa,gdnn jao duc nge ngjep jao duc thuog xyen thai hoa
GDNN-GDTX Thái Hòa,trunq tam gdtx thai hoa
GDNN-GDTX Thái Hòa,gdnn qja0 duc nqke nqkjep thai hoa
GDNN-GDTX Thái Hòa,gdnn giao duc thuong xuyen thai hoa
GDNN-GDTX Thái Hòa,qja0 duc nqke nqkjep qja0 duc tku0nq xuyen thai hoa
CĐ Nghề Giao thông vận tải Trung ương,clb gia su cđ nghề giao thông vận tải trung ương
CĐ Nghề Giao thông vận tải Trung ương,vien đào tạo quốc te cđ nghề giao thong vận tai trung ương
CĐ Nghề Giao thông vận tải Trung ương,khoa quan trj khach san cđ nghề giao thong van tải trung ương
CĐ Nghề Giao thông vận tải Trung ương,viện dien tu viễn thông cd nghề giao thông vận tải trung ương
CĐ Nghề Giao thông vận tải Trung ương,khoa quan trj khach san cd nghề giao thong vận tai trung ương
CĐ Nghề Giao thông vận tải Trung ương,hoj sinh vjen cd nghề giao thông vận tải trung ương
CĐ Nghề Giao thông vận tải Trung ương,khoa công nghệ cđ nghề giao thông vận tai trung uong
CĐ Nghề Giao thông vận tải Trung ương,clb tieng han cđ nghề giao thông vận tải trung ương
CĐ Nghề Giao thông vận tải Trung ương,cđ nghe giao thong van tai trung uong
THPT Nguyễn Hiền,tthpt nguyen hien
THPT Nguyễn Hiền,nguyen hiền highschool
THPT Nguyễn Hiền,nguyễn hiền high school
THPT Nguyễn Hiền,nguyen hiền high school
THPT Nguyễn Hiền,ph0 th0ng nguyen hien
THPT Nguyễn Hiền,trường cấp 2-3 nguyen hien
THPT Nguyễn Hiền,nguyễn hiền highschool
THPT Nguyễn Hiền,nguyễn hien high school
CĐ Công nghiệp và Xây dựng,khoa toan cd công nghiệp và xây dựng
CĐ Công nghiệp và Xây dựng,khoa ngon ngu anh cđ công nghiệp và xây dung
CĐ Công nghiệp và Xây dựng,clb tieng duc cđ công nghiep va xây dựng
CĐ Công nghiệp và Xây dựng,vjen toán tin cđ công nghiệp va xây dựng
CĐ Công nghiệp và Xây dựng,hội cuu sv cđ công nghiep và xây dung
CĐ Công nghiệp và Xây dựng,sinh viên trường cđ công nghiep va xây dựng
CĐ Công nghiệp và Xây dựng,tru0nq ca0 danq cong nghiep va xay dung
CĐ Công nghiệp và Xây dựng,sv truong cđ công nghiệp va xây dựng
CĐ Công nghiệp và Xây dựng,khoa dien tu thong tin cđ công nghiep và xây dựng
THPT Lương Thế Vinh,ph0 th0ng luong the vinh
THPT Lương Thế Vinh,lương thế vinh highschool
THPT Lương Thế Vinh,luong thế vinh highschool
THPT Lương Thế Vinh,trung hoc pho thong luong the vinh
THPT Lương Thế Vinh,trung h0.c ph0 th0ng luong the vinh
THPT Lương Thế Vinh,lương thế vinh high school
THPT Lương Thế Vinh,tkpt luong the vinh
THPT Lào Cai,lao cai highschool
THPT Lào Cai,lop 11a7 thpt lào cai
THPT Lào Cai,học sinh tai thpt lào cai
THPT Lào Cai,pk0 tk0nq lao cai
THPT Lào Cai,lào cai high school
THPT Lào Cai,trunq h0c pk0 tk0nq lao cai
THPT Lào Cai,lớp 11 thpt lao cai
THPT Lào Cai,lào cai highschool
CĐ Đại Việt Sài Gòn,viện djen cđ đại việt sai gon
CĐ Đại Việt Sài Gòn,khoa tài chính ngan hàng cđ đại viet sài gòn
CĐ Đại Việt Sài Gòn,câu lạc bộ tieng nhat cđ đại việt sai gòn
CĐ Đại Việt Sài Gòn,cau lạc bộ tieng han cđ dai việt sài gòn
CĐ Đại Việt Sài Gòn,viện cơ khi cđ đại viet sài gòn
CĐ Đại Việt Sài Gòn,khoa chan nuoj cđ đại việt sai gòn
CĐ Đại Việt Sài Gòn,khoa nông hoc cđ dai việt sài gòn
CĐ Đại Việt Sài Gòn,khoa ngoaj ngu cđ đại việt sài gòn
CĐ Đại Việt Sài Gòn,tru0nq ca0 danq dai viet sai gon
CĐ Công Nghệ TP.HCM,khoa cong nghe thực phẩm cđ công nghệ tp hcm
CĐ Công Nghệ TP.HCM,cđ công nghe tp.hcm confession
CĐ Công Nghệ TP.HCM,khoa ngon ngu anh cđ công nghệ tp.hcm
CĐ Công Nghệ TP.HCM,vien cong nghe thong tin cđ cong nghe tp.hcm
CĐ Công Nghệ TP.HCM,dự bị trường cđ cong nghệ tp hcm
CĐ Công Nghệ TP.HCM,khoa nong hoc cđ công nghệ tp hcm
CĐ Công Nghệ TP.HCM,khoa hàn cd cong nghệ tp.hcm
CĐ Công Nghệ TP.HCM,vjen dien cd công nghệ tp.hcm
CĐ Công Nghệ TP.HCM,cd cong nghe tp. hồ chí minh
TC Nghề Công nghiệp,tc nghe cong nghiep
