normed_text_unique,augmented_name,count
Trường THPT Mai Thanh Thế,"['Trường THPT Mai Thanh Thế', 'truong thpt mai thanh the', 'truong tthpt mai thanh the', 'cap 3 mai thanh the', 'truong cap 3 mai thanh the', 'trung hoc pho thong mai thanh the', 'truong trung hoc pho thong mai thanh the', 'pt mai thanh the', 'truong pho thong trung hoc mai thanh the', 'thpt mai thanh the', 'truong truong pho thong trung hoc mai thanh the', 'truong pho thong mai thanh the', 'ptth mai thanh the', 'truong pt mai thanh the', 'pho thong trung hoc mai thanh the', 'pho thong mai thanh the', 'truong ptth mai thanh the', 'truong truong trung hoc pho thong mai thanh the', 'Trường THPT mai thanh the']",19
Trường THPT chuyên Lê Thánh Tông,"['Trường THPT chuyên Lê Thánh Tông', 'truong thpt chuyen le thanh tong', 'truong ptth chuyen le thanh tong', 'pho thong trung hoc chuyen le thanh tong', 'truong trung hoc pho thong chuyen le thanh tong', 'truong truong pho thong trung hoc chuyen le thanh tong', 'cap 3 chuyen le thanh tong', 'truong cap 3 chuyen le thanh tong', 'truong pt chuyen le thanh tong', 'pho thong chuyen le thanh tong', 'truong pho thong trung hoc chuyen le thanh tong', 'thpt chuyen le thanh tong', 'trung hoc pho thong chuyen le thanh tong', 'truong tthpt chuyen le thanh tong', 'truong truong trung hoc pho thong chuyen le thanh tong', 'ptth chuyen le thanh tong', 'pt chuyen le thanh tong', 'truong pho thong chuyen le thanh tong', 'Trường THPT chuyen le thanh tong']",19
TT GDTX Gò Dầu,"['TT GDTX Gò Dầu', 'tt gdtx go dau', 'tt trung tam gdtx go dau', 'tt trung tam giao duc thuong xuyen go dau', 'tt giao duc thuong xuyen go dau', 'tt ttgdtx go dau', 'TT GDTX go dau']",7
Phòng GDĐT TP Hưng Yên,"['Phòng GDĐT TP Hưng Yên', 'phong gddt tp hung yen', 'phong gddt tp hung yen']",3
Trường THPTth Nguyễn Cảnh Chân,"['Trường THPTth Nguyễn Cảnh Chân', 'truong thptth nguyen canh chan', 'truong ptth nguyen canh chan', 'pho thong trung hocth nguyen canh chan', 'truong cap 3th nguyen canh chan', 'trung hoc pho thongth nguyen canh chan', 'truong pho thong trung hocth nguyen canh chan', 'thptth nguyen canh chan', 'truong trung hoc pho thongth nguyen canh chan', 'truong ptthth nguyen canh chan', 'truong truong trung hoc pho thongth nguyen canh chan', 'pho thongth nguyen canh chan', 'ptthth nguyen canh chan', 'truong truong pho thong trung hocth nguyen canh chan', 'truong pho thongth nguyen canh chan', 'cap 3th nguyen canh chan', 'truong tthptth nguyen canh chan', 'ptth nguyen canh chan', 'Trường THPT nguyễn cảnh chân', 'Trường THPH Nguyễn Cảnh Chân', 'Trường THPT nguyễn cảnh chân', 'Trường THPT Nguyên cảnh chân']",22
Đại học Kỹ thuật Y tế Hải Dương,"['Đại học Kỹ thuật Y tế Hải Dương', 'dai hoc ky thuat y te hai duong', 'daj hoc ky thuat y te hai duong', 'truong dh ky thuat y te hai duong', 'dh ky thuat y te hai duong', 'truong dai hoc ky thuat y te hai duong', 'truong dai hoc ky thuat y te hai duong', 'dai hoc ki thuat y tế Hải Dương', 'ĐH kĩ thuật y tế HD', 'Trường Đại Học Kĩ Thuật Y Tế Hải Dương', 'HMTU - Đại học kỹ thuật y tế Hải Dương', 'Trường ĐH kĩ thuật y tế Hải Dương', 'hai duong medical technical university', 'HMTU', 'truong DHKTYT Hai Duong', 'HMTU', 'y hải dương', 'TMTU', 'dh ktyt hai duong', 'kỹ thuật y tế hải dương', 'DH y te ki thuat HD']",21
Học viện Ngoại giao,"['Học viện Ngoại giao', 'hoc vien ngoai giao', 'hoc vien ngoai giao ha noi', 'trường học viện ngoại giao', 'Học viện Ngoại Giao Việt Nam', 'dai hoc ngoai giao', 'Dai hoc Ngoaj Gjao', 'HVNG']",8
Trường THPT Hoàng Lệ Kha,"['Trường THPT Hoàng Lệ Kha', 'truong thpt hoang le kha', 'truong truong trung hoc pho thong hoang le kha', 'truong cap 3 hoang le kha', 'truong pho thong trung hoc hoang le kha', 'pho thong trung hoc hoang le kha', 'truong pho thong hoang le kha', 'pho thong hoang le kha', 'truong ptth hoang le kha', 'truong trung hoc pho thong hoang le kha', 'truong tthpt hoang le kha', 'cap 3 hoang le kha', 'pt hoang le kha', 'truong truong pho thong trung hoc hoang le kha', 'trung hoc pho thong hoang le kha', 'truong pt hoang le kha', 'thpt hoang le kha', 'ptth hoang le kha', 'Trường THPT Công lập Hoàng lệ kha hà trung', 'ptth hoàng lệ kha', 'Lớp 10C1 Trường Trung học phổ thông Hoàng Lệ Kha', 'Trường THPT Hoàng Lệ Kha']",22
Trường Đại học Giao thông Vận tải,"['Trường Đại học Giao thông Vận tải', 'truong dai hoc giao thong van tai', 'dh giao thong van tai', 'truong dai hoc gtvt', 'truong daj hoc giao thong van tai', 'truong truong dai hoc giao thong van tai', 'dai hoc giao thong van tai', 'truong truong dh giao thong van tai', 'truong dh giao thong van tai', 'daj hoc giao thong van tai', 'Dh gjao thong van taj', 'giao thông vận tải ha noi', 'Đại Học Giao Thông Vận Tải', 'University of Transport and Communication Hanoi', 'ĐH Giao thông sắt bộ', 'Giao Thông Vận Tải', 'University of comnunication and transport HaNoi 2002-2007', 'Transport University', 'Đại học Giao thông vận tải CS II - UTC2', 'Hanoi University of Communications & Transport', 'Giao thông vạn tải Hà nội', 'Transportation University (Hanoi)', 'DH Giao Thong Van Tai Ha Noi', 'dh gtvt hanoi', 'giao su gtvt', 'CĐGT Vận Tải']",26
Trường THPT Đống Đa,"['Trường THPT Đống Đa', 'truong thpt dong da', 'truong ptth dong da', 'pho thong dong da', 'truong trung hoc pho thong dong da', 'cap 3 dong da', 'truong cap 3 dong da', 'pho thong trung hoc dong da', 'truong pho thong trung hoc dong da', 'ptth dong da', 'thpt dong da', 'trung hoc pho thong dong da', 'pt dong da', 'truong pt dong da', 'truong truong pho thong trung hoc dong da', 'truong pho thong dong da', 'truong truong trung hoc pho thong dong da', 'truong tthpt dong da', 'Trung hoc Dong Da', 'Trường THPT dong da tu 01 3 2020', 'Trường THPT dong da']",21
Trường THPT Bình Yên,"['Trường THPT Bình Yên', 'truong thpt binh yen', 'truong cap 3 binh yen', 'truong truong trung hoc pho thong binh yen', 'thpt binh yen', 'truong tthpt binh yen', 'pho thong binh yen', 'truong trung hoc pho thong binh yen', 'truong ptth binh yen', 'ptth binh yen', 'cap 3 binh yen', 'truong pho thong trung hoc binh yen', 'truong pho thong binh yen', 'pt binh yen', 'truong truong pho thong trung hoc binh yen', 'truong pt binh yen', 'trung hoc pho thong binh yen', 'pho thong trung hoc binh yen', 'Trường THPT binh yen']",19
Trường Sĩ Quan Pháo Binh,"['Trường Sĩ Quan Pháo Binh', 'truong si quan phao binh', 'Trường Sĩ quan Pháo binh - Binh chủng Pháo binh', 'Truong sy quan phao bjnh', 'Trường Sỹ Quan Pháo Binh', 'Trường Sĩ quan Pháo binh - Binh chủng Pháo binh']",6
Trường THPT Võ Văn Kiệt,"['Trường THPT Võ Văn Kiệt', 'truong thpt vo van kiet', 'truong truong trung hoc pho thong vo van kiet', 'pho thong trung hoc vo van kiet', 'truong cap 3 vo van kiet', 'thpt vo van kiet', 'truong pho thong vo van kiet', 'ptth vo van kiet', 'truong pt vo van kiet', 'cap 3 vo van kiet', 'truong ptth vo van kiet', 'pho thong vo van kiet', 'truong trung hoc pho thong vo van kiet', 'truong truong pho thong trung hoc vo van kiet', 'pt vo van kiet', 'trung hoc pho thong vo van kiet', 'truong tthpt vo van kiet', 'truong pho thong trung hoc vo van kiet', 'Trường THPT vvk', 'truong Trường THPT vo van kiet', 'Trường THPT vo van kiet', 'Trường THPT Võ Văn Kiệt', 'Trường THPT vo van kiet', 'Trường THPT Võ Văn Kiệt', 'Trường THPT Võ Văn Kiệt', 'Truong Trường THPT Vo Van Kiet', 'Trường THPT vo van kiet']",27
Trường THPTDTNT Trường THCS-THPT huyện Thuận Châu,"['Trường THPTDTNT Trường THCS-THPT huyện Thuận Châu', 'truong thptdtnt truong thcs thpt huyen thuan chau', 'truong truong trung hoc pho thongdtnt truong thcs thpt huyen thuan chau', 'truong cap 3dtnt truong thcs thpt huyen thuan chau', 'truong ptthdtnt truong thcs thpt huyen thuan chau', 'cap 3dtnt truong thcs thpt huyen thuan chau', 'truong trung hoc pho thongdtnt truong thcs thpt huyen thuan chau', 'ptdtnt truong thcs thpt huyen thuan chau', 'truong tthptdtnt truong thcs thpt huyen thuan chau', 'pho thongdtnt truong thcs thpt huyen thuan chau', 'trung hoc pho thongdtnt truong thcs thpt huyen thuan chau', 'truong ptdtnt truong thcs thpt huyen thuan chau', 'truong truong pho thong trung hocdtnt truong thcs thpt huyen thuan chau', 'pho thong trung hocdtnt truong thcs thpt huyen thuan chau', 'truong pho thong trung hocdtnt truong thcs thpt huyen thuan chau', 'ptthdtnt truong thcs thpt huyen thuan chau', 'truong pho thongdtnt truong thcs thpt huyen thuan chau', 'thptdtnt truong thcs thpt huyen thuan chau', 'truong ptdtnt Trường THCS-THPT huyen thuan chau']",19
Trường Cao Đẳng Sư phạm Trung ương,"['Trường Cao Đẳng Sư phạm Trung ương', 'truong cao dang su pham trung uong', 'truong truong cao dang su pham trung uong', 'cao dang su pham trung uong', 'truong cdsp trung uong', 'cdsp trung uong', 'cd su pham trung uong', 'truong cd su pham trung uong', 'Truong Cao Dang Su Pham TW HN', 'CĐ TW HN', 'cao dang mau giao tw1', 'Mau giao Trung Uong 1', 'Truong Cao Đăng Siêu Phạm Ăn Chơi', 'Cao Đẳng sư phạm Trung ương HN', 'CĐSP NT', 'Cao Đẳng sư phạm TDTTTW1 Hà nội', 'Trường Cao đăng sp tw', 'Mau giao Trung Uong 1', 'Khoa Giáo dục mầm non - Trường Cao Đẳng Sư phạm Trung ương', 'Cao dang su fam tw', 'CĐ TW HN']",21
Trường THPT Nội Trú Đồ Sơn,"['Trường THPT Nội Trú Đồ Sơn', 'truong thpt noi tru do son', 'truong pho thong trung hoc noi tru do son', 'thpt noi tru do son', 'truong cap 3 noi tru do son', 'truong trung hoc pho thong noi tru do son', 'truong truong pho thong trung hoc noi tru do son', 'truong truong trung hoc pho thong noi tru do son', 'cap 3 noi tru do son', 'truong pt noi tru do son', 'truong pho thong noi tru do son', 'pho thong noi tru do son', 'pho thong trung hoc noi tru do son', 'trung hoc pho thong noi tru do son', 'truong ptth noi tru do son', 'pt noi tru do son', 'truong tthpt noi tru do son', 'ptth noi tru do son', 'truong pt noi tru do son', 'Trường THPT Nội Trú Đồ Sơn 2001 -2004']",20
Trường THPT Quang Trung,"['Trường THPT Quang Trung', 'truong thpt quang trung', 'truong trung hoc pho thong quang trung', 'cap 3 quang trung', 'truong truong pho thong trung hoc quang trung', 'truong pho thong trung hoc quang trung', 'pho thong trung hoc quang trung', 'truong tthpt quang trung', 'truong pt quang trung', 'truong cap 3 quang trung', 'pt quang trung', 'pho thong quang trung', 'truong pho thong quang trung', 'thpt quang trung', 'ptth quang trung', 'trung hoc pho thong quang trung', 'truong ptth quang trung', 'truong truong trung hoc pho thong quang trung', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT Quang Trung - Ninh Giang - Hải Dương', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT Quang Trung Thủy Nguyên Hải Phòng', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT Quang trug .thuy nguyên.hai phong', 'Trường THPT quang trung', 'Trường THPT quang trung', 'truong Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT Quang Trung(quag nam)', 'truong Trường THPT quang trung', 'Trường THPT Quang Trung TT Go Dau TN', 'Trường THPT quang trung', 'Truong trung hoc pho thong Quang Trung Daklak', 'tu thuc quang trung', 'PTTH Quang Trung-An Khe-Gia Lai', 'Truong trung hoc pho thong Quang Trung Daklak', 'Trường THPT quang trung tu 01 3 2020', 'Trường THPT Quang Trung Đak Lak', 'Trường THPT quang trung', 'Trường THPT Quang Trung - Thuỷ Nguyên - Hải Phòng', 'Trường THPT quang trung', 'Trường THPT Quang Trung', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT quang trung', 'Trường THPT Quang Trung - Ninh Giang - Hải Dương']",50
Trường THPT Phan Việt Thống,"['Trường THPT Phan Việt Thống', 'truong thpt phan viet thong', 'truong pho thong phan viet thong', 'pho thong trung hoc phan viet thong', 'truong truong trung hoc pho thong phan viet thong', 'ptth phan viet thong', 'truong cap 3 phan viet thong', 'truong pt phan viet thong', 'pho thong phan viet thong', 'truong tthpt phan viet thong', 'cap 3 phan viet thong', 'truong pho thong trung hoc phan viet thong', 'pt phan viet thong', 'truong truong pho thong trung hoc phan viet thong', 'trung hoc pho thong phan viet thong', 'truong trung hoc pho thong phan viet thong', 'truong ptth phan viet thong', 'thpt phan viet thong', 'Thtp phan viet thong', 'truong Trường THPT phan viet thong', 'Ptth Phan Viet Thong', 'truong Trường THPT phan viet thong']",22
TT GDNN-GDTX QUẢNG ĐIỀN,"['TT GDNN-GDTX QUẢNG ĐIỀN', 'tt gdnn gdtx quang dien', 'tt gdnn ttgdtx quang dien', 'tt gdnn trung tam giao duc thuong xuyen quang dien', 'tt gdnn giao duc thuong xuyen quang dien', 'tt gdnn trung tam gdtx quang dien', 'Trung tam GDTX Quang Dien']",7
Trường Đại học Nông Lâm,"['Trường Đại học Nông Lâm', 'truong dai hoc nong lam', 'truong truong dh nong lam', 'dai hoc nong lam', 'truong dh nong lam', 'daj hoc nong lam', 'truong daj hoc nong lam', 'truong truong dai hoc nong lam', 'dh nong lam', 'ĐHNLTN', 'Nông lam thai nguyên', 'đại học nông lâm thái nguyên', 'Đại học Nông Lâm - TN']",13
CĐ nghề cơ điện Hà Nội,"['CĐ nghề cơ điện Hà Nội', 'cd nghe co dien ha noi', 'cd nghe co dien ha noi']",3
Trường THPT HƯƠNG KHÊ,"['Trường THPT HƯƠNG KHÊ', 'truong thpt huong khe', 'truong pho thong trung hoc huong khe', 'truong trung hoc pho thong huong khe', 'truong ptth huong khe', 'ptth huong khe', 'truong cap 3 huong khe', 'thpt huong khe', 'truong truong pho thong trung hoc huong khe', 'pt huong khe', 'pho thong huong khe', 'truong truong trung hoc pho thong huong khe', 'truong pho thong huong khe', 'pho thong trung hoc huong khe', 'truong pt huong khe', 'trung hoc pho thong huong khe', 'truong tthpt huong khe', 'cap 3 huong khe', 'trung hoc pt huong khe', 'Trường THPT hươnq khê', 'Truong Trường THPT huongkhe', 'Trường THPT hươnq khê', 'Trường THPT HuongKhe', 'truong thtp huong khe']",24
Trường THPT Đinh Tiên Hoàng,"['Trường THPT Đinh Tiên Hoàng', 'truong thpt dinh tien hoang', 'truong pho thong dinh tien hoang', 'pt dinh tien hoang', 'truong pho thong trung hoc dinh tien hoang', 'ptth dinh tien hoang', 'truong cap 3 dinh tien hoang', 'cap 3 dinh tien hoang', 'truong ptth dinh tien hoang', 'trung hoc pho thong dinh tien hoang', 'truong pt dinh tien hoang', 'truong truong pho thong trung hoc dinh tien hoang', 'thpt dinh tien hoang', 'truong trung hoc pho thong dinh tien hoang', 'pho thong trung hoc dinh tien hoang', 'truong truong trung hoc pho thong dinh tien hoang', 'truong tthpt dinh tien hoang', 'pho thong dinh tien hoang', 'truong Trường THPT dinh tien hoang', 'Trường THPT Đinh Tiên Hoàng (Ninh Bình)', 'truong Trường THPT dinh tien hoang', 'Dinhtienhoang', 'Trường THPT Đinh Tiên Hoàng Thành Phố Vũng Tàu', 'PT Đinh tiên hoàng ninh bình', 'Trường THPT dinh tien hoang', 'Trường THPT Đinh Tiên Hoàng (Ninh Bình)', 'Trung hoc Dinh Tien Hoang', 'Trường THPT Đinh Tiên Hoàng (Ninh Bình)']",28
"TT GDNN-GDTX Cẩm Phả P. Cẩm Sơn, TP Cẩm Phả","['TT GDNN-GDTX Cẩm Phả P. Cẩm Sơn, TP Cẩm Phả', 'tt gdnn gdtx cam pha p cam son tp cam pha', 'tt gdnn trung tam gdtx cam pha p cam son tp cam pha', 'tt gdnn giao duc thuong xuyen cam pha p cam son tp cam pha', 'tt gdnn ttgdtx cam pha p cam son tp cam pha', 'tt gdnn trung tam giao duc thuong xuyen cam pha p cam son tp cam pha', 'trung tam gdnn gdtx cam pha p cam son tp cam pha']",7
TT GDNN-GDTX Tân Kỳ,"['TT GDNN-GDTX Tân Kỳ', 'tt gdnn gdtx tan ky', 'tt gdnn ttgdtx tan ky', 'tt gdnn giao duc thuong xuyen tan ky', 'tt gdnn trung tam giao duc thuong xuyen tan ky', 'tt gdnn trung tam gdtx tan ky', 'ttgdnn gdtx tan ky']",7
Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM,"['Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM', 'truong dai hoc cong nghe thong tin dhqg tp hcm', 'truong dai hoc cong nghe thong tin dhqg tp. ho chi minh', 'truong truong dai hoc cong nghe thong tin dhqg tp hcm', 'dh cong nghe thong tin dhqg tp hcm', 'truong dai hoc cong nghe thong tin dhqg tphcm', 'truong truong dh cong nghe thong tin dhqg tp hcm', 'truong dai hoc cong nghe thong tin dhqg tp ho chi minh', 'truong daj hoc cong nghe thong tin dhqg tp hcm', 'daj hoc cong nghe thong tin dhqg tp hcm', 'dai hoc cong nghe thong tin dhqg tp hcm', 'truong dh cong nghe thong tin dhqg tp hcm', 'truong dai hoc cong nghe thong tin dhqg tp.hcm', 'Đại học công nghệ thông tin thành phố HCM', 'ĐH CNTT & TT Thái Nguyên', 'Truong DH Cong Nghe Thong Tin - DHQG Tp.HCM', 'CONG NGHE THONG TIN THANH PHO HO CHI MINH', 'Trường ĐH CNTT - ĐH QG HCM', 'ĐH CÔng Nghệ Thông Tin - ĐH Quốc Gia TPHCM']",19
Trường THPT Trần Hưng Đạo,"['Trường THPT Trần Hưng Đạo', 'truong thpt tran hung dao', 'truong truong pho thong trung hoc tran hung dao', 'pho thong trung hoc tran hung dao', 'truong tthpt tran hung dao', 'ptth tran hung dao', 'truong pho thong trung hoc tran hung dao', 'trung hoc pho thong tran hung dao', 'truong ptth tran hung dao', 'truong truong trung hoc pho thong tran hung dao', 'truong cap 3 tran hung dao', 'pho thong tran hung dao', 'truong trung hoc pho thong tran hung dao', 'thpt tran hung dao', 'pt tran hung dao', 'truong pt tran hung dao', 'truong pho thong tran hung dao', 'cap 3 tran hung dao', 'Trường THPT tran hung dao', 'Trường THPT tran hung dao', 'Trường THCS Tran Hung Dao', 'Trường THPT tran hung dao', 'Trường THPT tran hung dao', 'truong trung hoc co so tran hung dao', 'Trường THPT Trần Hưng Đạo - Thị xã Tây Ninh', 'Trường THPT tran hung dao', 'Trường THPT tran hung dao', 'Trường THPT Trần Hưng Đạo - Thanh Xuân- Hà Nội', 'Trường THPT trần hưng đạo cam ranh', 'Trường THPT tran hung dao truoc 12 4 2018', 'Trường THPT Tran Hung Dao, Ba Ria Vung Tau', 'Trường Trung Học Phổ Thông Trần Can', 'Truong Trường THPT Tran Hung Dao', 'truong trung hoc co so tran hung dao', 'TTrường THPT Tran Hung Dao', 'Trường THPT Trần Hưng Đạo, Thiện Phiến', 'Trường THCS Trần Hưng Đạo', 'Trường THPTTH Trần Hưng Đạo-Tp Nam Dinh', 'Trường THPT tran hung dao', 'trung hoc co so tran hung dao', 'Trường THPT tran hung dao', 'truong Trường THPT tran hung dao', 'Trường THPT tran hung dao, hung yen', 'Trường THCS Trần Hưng Đạo', 'Trường THPT trần hưng đạo thành phố mỹ Tho tỉnh tiền Giang', 'PTTH Trần Hưng Đạo Mang Yang', 'Trường THPT tran hung dao', 'PTTH trần hưng đạo', 'Truong Trường THPT Tran Hung Dao', 'Trường THPT Trần Hưng Đạo quận Gò Vấp', 'Trường THPT tran hung dao', 'Trường THPT Trần Hưng Đạo - Hà Noi', 'Trung Hoc Pho Thong Tran Hung Dao Ni', 'Trường THPT Trần Hưng Đạo - Đăk Mil - Đăk Nông', 'Trường THPT tran hung dao', 'Trường THPT Trần Hưng ĐẠo, Thanh Xuân, HN', 'Trường THPT Trần Hưng Đạo Nam Định', 'Th pt tran hung dao']",58
Trường CĐ Giao thông Vận tải khu vực 1,"['Trường CĐ Giao thông Vận tải khu vực 1', 'truong cd giao thong van tai khu vuc 1', 'truong cd gtvt khu vuc 1', 'truong trung hoc giao thong van tai khu vuc 1']",4
Trường THPT Tiên Hưng,"['Trường THPT Tiên Hưng', 'truong thpt tien hung', 'truong trung hoc pho thong tien hung', 'thpt tien hung', 'truong tthpt tien hung', 'trung hoc pho thong tien hung', 'truong ptth tien hung', 'pho thong trung hoc tien hung', 'truong pho thong trung hoc tien hung', 'pt tien hung', 'truong truong trung hoc pho thong tien hung', 'cap 3 tien hung', 'truong truong pho thong trung hoc tien hung', 'pho thong tien hung', 'ptth tien hung', 'truong cap 3 tien hung', 'truong pho thong tien hung', 'truong pt tien hung', 'PTTH Tiên Hưng', 'Trường THPT tien hung', 'Trường THPT Tiên Hưng', 'Trường THPT Tiên Hưng - tỉnh Thái Bình']",22
Trường THPT Trực Ninh B,"['Trường THPT Trực Ninh B', 'truong thpt truc ninh b', 'truong ptth truc ninh b', 'cap 3 truc ninh b', 'truong pho thong trung hoc truc ninh b', 'trung hoc pho thong truc ninh b', 'truong tthpt truc ninh b', 'truong pt truc ninh b', 'pt truc ninh b', 'thpt truc ninh b', 'truong truong pho thong trung hoc truc ninh b', 'pho thong trung hoc truc ninh b', 'truong truong trung hoc pho thong truc ninh b', 'pho thong truc ninh b', 'truong pho thong truc ninh b', 'truong cap 3 truc ninh b', 'truong trung hoc pho thong truc ninh b', 'ptth truc ninh b', 'truc ninh B', 'TTrường THPTtruc njnh b', 'Trường THPT Truc Ninh B', 'Truog Trường THPT truc ninh b', 'Trường THPT truc ninh b']",23
Trường Trung cấp Kinh tế - Kỹ thuật An Giang,"['Trường Trung cấp Kinh tế - Kỹ thuật An Giang', 'truong trung cap kinh te ky thuat an giang', 'trung hoc an giang', 'Trường Kinh tế - Kỹ thuật An Giang', 'trung cấp ktkt ang giang']",5
