Column1,text,normed_text,clean_text
35767,Cao Đẳng Công nghệ và Quản trị Sonadezi,Trường Cao Đẳng Công nghệ và Quản trị Sonadezi,CĐ Công nghệ và Quản trị Sonadezi
35650,cd thuy loi mien trung,"Trường Cao Đẳng Công nghệ, Kinh tế và Thủy lợi miền Trung","CĐ Công nghệ, Kinh tế và Thủy lợi"
35715,CĐ Điện công nghiệp cẩm phả,Trường Cao Đẳng Công nghiệp Cẩm Phả,CĐ Công nghiệp Cẩm Phả
35664,CDCN HOA CHAT,Trường Cao Đẳng Công nghiệp Hóa chất,CĐ Công nghiệp Hóa chất
36565,cao dang hoa chat,Trường Cao Đẳng Công nghiệp Hóa chất,CĐ Công nghiệp Hóa chất
35965,CĐCNHY,Cao Đẳng Công nghiệp Hưng Yên,CĐ Công nghiệp Hưng Yên
35392,Cdcn nam djh,Trường Cao Đẳng Công nghiệp Nam Định,CĐ Công nghiệp Nam Định
36395,Cao đẳng công nghiệp quốc phòng,Trường Cao Đẳng Công nghiệp Quốc phòng,CĐ Công nghiệp Quốc phòng
36739,Trường công nghiệp quốc phòng,Trường Cao Đẳng Công nghiệp Quốc phòng,CĐ Công nghiệp Quốc phòng
36628,Trường CĐCN Sao Đỏ,Trường Cao Đẳng Công Nghiệp Sao Đỏ,CĐ Công Nghiệp Sao Đỏ
36151,Cao dang cong nghiep phuc yen,Trường Cao Đẳng Công nghiệp và Thương mại,CĐ Công nghiệp và Thương mại
35548,Trường Cao Đẳng Công Nghiệp Và Xây Dựng - TP Uông Bí -...,Trường Cao Đẳng Công nghiệp và Xây dựng,CĐ Công nghiệp và Xây dựng
35262,trung hoc cong nghiep tuy hoa,Trường Cao Đẳng Công Thương Miền Trung,CĐ Công Thương Miền Trung
36056,cđ công nhgiệp tuy hòa,Trường Cao Đẳng Công Thương Miền Trung,CĐ Công Thương Miền Trung
35266,CĐ Công thương Tp.HCM,Trường Cao Đẳng Công Thương TP.HCM,CĐ Công Thương TP.HCM
36597,Cao Đẳng Công Thương thành phố Hồ Chí Minh,Trường Cao Đẳng Công Thương TP.HCM,CĐ Công Thương TP.HCM
35249,Trung cấp Đại Việt thành phố Cần Thơ,Trường Cao Đẳng Đại Việt thành phố Cần Thơ,CĐ Đại Việt thành phố Cần Thơ
35525,cao dang may lanh,Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội,CĐ Điện Tử - Điện Lạnh Hà Nội
35913,CD DT-DL HA NOI,Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội,CĐ Điện Tử - Điện Lạnh Hà Nội
36657,Trường Cao Đẳng Điện tử - Điện lạnh Hà Nội,Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội,CĐ Điện Tử - Điện Lạnh Hà Nội
36616,Trường Cao Đẳng dl ktkt đông du đà nẵng,Trường Cao Đẳng Đông Du,CĐ Đông Du
36067,truong trung cap du lich da lat,Trường Cao Đẳng Du Lịch Đà Lạt,CĐ Du Lịch Đà Lạt
36436,cao đẳng nghề du lich đà lạt,Trường Cao Đẳng Du Lịch Đà Lạt,CĐ Du Lịch Đà Lạt
35638,cao dang du ljch,Trường Cao Đẳng Du Lịch Hà Nội,CĐ Du Lịch Hà Nội
36227,CĐ Du Lịch Hà Nội,Trường Cao Đẳng Du Lịch Hà Nội,CĐ Du Lịch Hà Nội
35610,Cao Đẳng nghiệp vụ du lịch Hải Phòng,Trường Cao Đẳng Du lịch Hải Phòng,CĐ Du lịch Hải Phòng
35225,Cao Đẳng Du Lịch Huế,Trường Cao Đẳng Du Lịch Huế,CĐ Du Lịch Huế
36322,Hue Tuorism school,Trường Cao Đẳng Du Lịch Huế,CĐ Du Lịch Huế
35201,CDDL Vung Tau,Trường Cao Đẳng Du lịch Vũng Tàu,CĐ Du lịch Vũng Tàu
36569,CD nghề Du Lịch Vũng Tàu,Trường Cao Đẳng Du lịch Vũng Tàu,CĐ Du lịch Vũng Tàu
36310,Trường Trung Cấp Đường sắt k29tl,Trường Cao Đẳng Đường sắt,CĐ Đường sắt
36653,Học Viện Đường Sắt - Cao Đẳng Nghề Đường Sắt Gia Lâm - Hà Nội,Trường Cao Đẳng Đường sắt,CĐ Đường sắt
36719,Học viện đường sắt,Trường Cao Đẳng Đường sắt,CĐ Đường sắt
36630,Trường Cao Đẳng Giao Thông Vận Tải HN,Trường Cao Đẳng Giao Thông Vận Tải,CĐ Giao Thông Vận Tải
36646,Cao Đẳng gtvt miên trung,Trường Cao Đẳng Giao Thông Vận Tải Miền Trung-Nghệ An,CĐ Giao Thông Vận Tải
36766,Cao Dang GTVT TPHCM,Trường Cao Đẳng Giao Thông Vận Tải TP.HCM,CĐ Giao Thông Vận Tải TP.HCM
35370,Cao Đẳng Hàng Hải 1 hp,Trường Cao Đẳng Hàng Hải I,CĐ Hàng Hải 1
35731,Cao dang hang hai.hp,Trường Cao Đẳng Hàng Hải I,CĐ Hàng Hải 1
36118,Hằng Hải II Tp Hồ Chí Minh,Trường Cao Đẳng Hàng hải II,CĐ Hàng hải 2
36260,Cao dang tai chinh ke toan,Trường Cao Đẳng Kế toán Hà Nội,CĐ Kế toán Hà Nội
36610,CD Kinh Te Ky Thuat Thai Nuyen,"Trường Cao Đẳng Kinh Tế - Kỹ Thuật, Đại học Thái Nguyên",CĐ Kinh Tế - Kỹ Thuật - ĐH Thái Nguyên
36694,Cao Đẳng Kinh Tế - Kĩ Thuật - ĐH Thái Nguyên,"Trường Cao Đẳng Kinh Tế - Kỹ Thuật, Đại học Thái Nguyên",CĐ Kinh Tế - Kỹ Thuật - ĐH Thái Nguyên
36742,Kinh Te-Ki Thuat Bac Lieu,Trường Cao Đẳng Kinh Tế - Kỹ Thuật Bạc Liêu ,CĐ Kinh Tế - Kỹ Thuật Bạc Liêu
35847,CD Ky Thuat CT,Trường Cao Đẳng Kinh tế - Kỹ thuật Cần Thơ,CĐ Kinh tế - Kỹ thuật Cần Thơ
35570,TRUNG HOC KINH TE KI THUAT LAM DONG,Trường Cao Đẳng Kinh tế - Kỹ thuật Lâm Đồng,CĐ Kinh tế - Kỹ thuật Lâm Đồng
35524,cd kjh te-ky thuat thuong maj,Trường Cao Đẳng Kinh tế - Kỹ thuật Thương mại,CĐ Kinh tế - Kỹ thuật Thương mại
35680,CD Kinh te ky thuat va thuong mai,Trường Cao Đẳng Kinh tế - Kỹ thuật Thương mại,CĐ Kinh tế - Kỹ thuật Thương mại
35722,ĐH KTDN,Cao Đẳng Kinh Tế Đối Ngoại,CĐ Kinh Tế Đối Ngoại
35572,Truong trung cap kinh te ki thuat Tay Ninh,Trường Cao Đẳng Kinh tế Kỹ thuật Tây Ninh,CĐ Kinh tế Kỹ thuật Tây Ninh
36659,Cao đẳng kinh tế_ kỹ thuật Phú Lâm Q6,Trường Cao Đẳng Kinh tế Kỹ thuật TP.HCM,CĐ Kinh tế Kỹ thuật TP.HCM
35710,Trường Cao đẳng Kinh tế Kỹ thuật Trung ương,Cao Đẳng Kinh tế Kỹ thuật Trung Ương,CĐ Kinh tế Kỹ thuật Trung Ương
35858,Cao Dang Kinh Te Tp.Ho Chi Minh,Trường Cao Đẳng Kinh Tế TP.HCM,CĐ Kinh Tế TP.HCM
35967,Trung cấp Thuỷ sản,"Trường Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản","CĐ Kinh Tế, Kỹ Thuật và Thủy Sản"
36020,Truongcaodangkythuatcongnghe_tphcm,Trường Cao Đẳng Kỹ Nghệ II,CĐ Kỹ Nghệ 2
36238,CD NGHE KTCN TPHCM,Trường Cao Đẳng Kỹ Nghệ II,CĐ Kỹ Nghệ 2
35294,cao đẳng ngề sơn la,Trường Cao Đẳng Kỹ thuật công nghệ Sơn La,CĐ Kỹ thuật công nghệ Sơn La
35671,Cao Đẳng KTCN Việt Nam-Hàn Quốc,Trường Cao Đẳng Kỹ Thuật Công Nghiệp Việt Nam - Hàn Quốc,CĐ Kỹ Thuật Công Nghiệp Việt Nam - Hàn Quốc
35483,Cd nghe dak lak,Trường Cao Đẳng Kỹ thuật Đắk Lắk,CĐ Kỹ thuật Đắk Lắk
35790,Cao Dang Ky Thuat Cong Nghe Dong Nai,Trường Cao Đẳng Kỹ Thuật Đồng Nai,CĐ Kỹ Thuật Đồng Nai
36578,Trường Cao Đẳng Kĩ Thuật Đồng Nai,Trường Cao Đẳng Kỹ Thuật Đồng Nai,CĐ Kỹ Thuật Đồng Nai
35923,Cđ lương thực thực phẩm (CFI),Trường Cao Đẳng Lương thực - Thực phẩm,CĐ Lương thực - Thực phẩm
36213,Trường Cao Đẳng Lương thực - Thực phẩm,Trường Cao Đẳng Lương thực - Thực phẩm,CĐ Lương thực - Thực phẩm
36472,CD Luong Thuc Thuc Pham Da Nang,Trường Cao Đẳng Lương thực - Thực phẩm,CĐ Lương thực - Thực phẩm
36084,Cao đẵng kĩ thuật lí tự trọng,Trường Cao Đẳng Lý Tự Trọng TP.HCM,CĐ Lý Tự Trọng TP.HCM
36167,truong cao dang nghe ly tu trong,Trường Cao Đẳng Lý Tự Trọng TP.HCM,CĐ Lý Tự Trọng TP.HCM
35653,Trường Cao Đẳng Kinh Tế Kĩ Thuật Miền Nam,Trường Cao Đẳng Miền Nam,CĐ Miền Nam
35711,CD Kinh Te _ Ky Thuat Mien Nam,Trường Cao Đẳng Miền Nam,CĐ Miền Nam
36475,Cao Đẳng Kinh tế - Kỹ thuật Miền Nam,Trường Cao Đẳng Miền Nam,CĐ Miền Nam
35615,ĐH NGHỀ TP CANTHO,Trường Cao Đẳng nghề Cần Thơ,CĐ nghề Cần Thơ
36543,Trung cấp Điện Phú Thọ,Trường Cao Đẳng Nghề Cơ điện Phú Thọ,CĐ Nghề Cơ điện Phú Thọ
36729,Trường CĐ kinh tế -kỹ thuật Phú Lâm,Trường Cao Đẳng nghề công nghệ kinh tế và chế biến lâm sản,CĐ nghề công nghệ kinh tế và chế biến lâm sản
35232,Cao đẳng nghề hb,Trường Cao Đẳng nghề Công nghiệp Hà Nội,CĐ nghề Công nghiệp Hà Nội
36116,Truong cao dang nghe cong nghiep ha noi,Trường Cao Đẳng nghề Công nghiệp Hà Nội,CĐ nghề Công nghiệp Hà Nội
36059,Cao dang nghe cong nghiep viet bac - ViNaComin,Trường Cao Đẳng Nghề Công Nghiệp Việt Bắc Tkv,CĐ Nghề Công Nghiệp Việt Bắc Tkv
36231,Trường Cao Đẳng Nghề Dầu Khí,Cao Đẳng Nghề Dầu Khí,CĐ Nghề Dầu Khí
36446,cao danh kinh te kj thuat nghe so 1 nghe an,Cao Đẳng Nghề Kinh Tế Kỹ Thuật Số 1,CĐ Nghề Kinh Tế Kỹ Thuật 1
35995,CaodangLilama,Trường Cao Đẳng nghề Lilama-1,CĐ nghề Lilama-1
35353,caodangdaynghethainguyen,Trường Cao Đẳng nghề số 1 - Bộ Quốc phòng,CĐ nghề số 1
35517,truong cao danh nghe so1 BQO,Trường Cao Đẳng nghề số 1 - Bộ Quốc phòng,CĐ nghề số 1
36306,Truong cao dang nghe so 2 bo quoc phong,Trường Cao Đẳng Nghề Số 2 - Bộ Quốc Phòng,CĐ Nghề Số 2
35565,cd nge 20 BQP,Trường Cao Đẳng Nghề số 20 Bộ Quốc Phòng - Cơ sở Hải Dương,CĐ Nghề số 2
36027,Cao dang nghe so3,Trường Cao Đẳng Nghề Số 3,CĐ Nghề Số 3
35846,Trường Cao Đẳng Nghề Số 8,Trường Cao Đẳng nghề số 8,CĐ nghề số 8
35241,cao dang viet xo,Trường Cao Đẳng nghề Việt Xô số 1,CĐ nghề Việt Xô 1
35382,Cao Dang Cong nghiep Nam Bo,Trường Cao Đẳng nông nghiệp Nam Bộ,CĐ nông nghiệp Nam Bộ
35333,CĐ Phương Đông Đà Nẵng,Trường Cao Đẳng Phương Đông Đà Nẵng,CĐ Phương Đông Đà Nẵng
36498,kinh te ki thuat quang nam,Trường Cao Đẳng Quảng Nam,CĐ Quảng Nam
35536,CD su pham brvt,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu,CĐ Sư phạm Bà Rịa-Vũng Tàu
36359,Cao đẳng sư phạm mầm non bà rịa vũng tàu,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu,CĐ Sư phạm Bà Rịa-Vũng Tàu
36226,Cdspdalat,Trường Cao Đẳng Sư phạm Đà Lạt,CĐ Sư phạm Đà Lạt
35254,Truong cao dang su pham Ha Tay,Trường Cao Đẳng Sư Phạm Hà Tây,CĐ Sư Phạm Hà Tây
35491,Cao dang su pham hải dương,Trường Cao Đẳng sư phạm hải dương,CĐ sư phạm hải dương
35841,CDSP HAI DUONG,Trường Cao Đẳng sư phạm hải dương,CĐ sư phạm hải dương
35204,Cao dang su pham h0a binh,Trường Cao Đẳng Sư phạm Hòa Bình,CĐ Sư phạm Hòa Bình
36006,Truog cao dang su pham hoa binh,Trường Cao Đẳng Sư phạm Hòa Bình,CĐ Sư phạm Hòa Bình
35738,Cao Đẳng Sư Phạm Huế,Trường Cao Đẳng Sư phạm Huế,CĐ Sư phạm Huế
35755,Truong CĐSP Thua Thien Hue,Trường Cao Đẳng Sư phạm Huế,CĐ Sư phạm Huế
35831,CĐSP Kiên Giang,Trường Cao Đẳng Sư Phạm Kiên Giang,CĐ Sư Phạm Kiên Giang
35316,Kon Tum College of Education,Cao Đẳng Sư Phạm KonTum ,CĐ Sư Phạm KonTum
36307,Su Pham ls,Cao Đẳng Sư phạm Lạng Sơn,CĐ Sư phạm Lạng Sơn
35725,Truơng cdsp Nam Đinh,Trường Cao Đẳng Sư phạm Nam Định,CĐ Sư phạm Nam Định
36481,Cao Đẳng Sư Phạm Nghệ Anp,Trường Cao Đẳng Sư phạm Nghệ An,CĐ Sư phạm Nghệ An
35260,Trường Cao Đẳng Sư Phạm Ngô Gia Tự,Trường CĐ sư phạm Ngô Gia Tự,CĐ sư phạm Ngô Gia Tự
36114,Cao Đẳng Ngô Gia Tự Bắc Giang,Trường CĐ sư phạm Ngô Gia Tự,CĐ sư phạm Ngô Gia Tự
36219,Cao Đẳng ngô gia tự,Trường CĐ sư phạm Ngô Gia Tự,CĐ sư phạm Ngô Gia Tự
36601,Cao dang su pham quang ninh,Trường Cao Đẳng Sư Phạm Quảng Ninh,CĐ Sư Phạm Quảng Ninh
35312,Cao dang su pham Quang Tri,Trường Cao Đẳng sư phạm Quảng Trị,CĐ sư phạm Quảng Trị
36700,Trường CĐSP Sóc Trăng,Trường Cao Đẳng Sư Phạm Sóc Trăng,CĐ Sư Phạm Sóc Trăng
35571,Trường CĐSP Thái Bình,Trường Cao Đẳng Sư phạm Thái Bình,CĐ Sư phạm Thái Bình
35733,Cao Đẳng sư phạm thái bình,Trường Cao Đẳng Sư phạm Thái Bình,CĐ Sư phạm Thái Bình
36693,Trường su pham Thái Bình,Trường Cao Đẳng Sư phạm Thái Bình,CĐ Sư phạm Thái Bình
35211,Truong Cao Đăng Siêu Phạm Ăn Chơi,Trường Cao Đẳng Sư phạm Trung ương,CĐ Sư phạm Trung ương
35744,Cao Đẳng sư phạm Trung ương HN,Trường Cao Đẳng Sư phạm Trung ương,CĐ Sư phạm Trung ương
36050,CĐSP NT,Trường Cao Đẳng Sư phạm Trung ương,CĐ Sư phạm Trung ương
36489,CĐ TW HN,Trường Cao Đẳng Sư phạm Trung ương,CĐ Sư phạm Trung ương
36516,Sư Phạm Nha Trang,Trường Cao Đẳng Sư Phạm Trung Ương Nha Trang,CĐ Sư Phạm Trung Ương Nha Trang
36564,Cao dang Su Pham Nha Trang - Khanh Hoa,Trường Cao Đẳng Sư Phạm Trung Ương Nha Trang,CĐ Sư Phạm Trung Ương Nha Trang
35966,Cao Đẳng tài chính kế toán IV,Trường Cao Đẳng Tài Chính Kế Toán 4,CĐ Tài Chính Kế Toán 4
35308,College of Commerce & Tourism,Trường Cao Đẳng Thương mại và Du lịch Hà Nội ,CĐ Thương mại và Du lịch Hà Nội
36416,Cd thuong maj va du lich ha noj,Trường Cao Đẳng Thương mại và Du lịch Hà Nội,CĐ Thương mại và Du lịch Hà Nội
36470,Trường Cao Đẳng Thương Mại Du Lịch Hà Nội,Trường Cao Đẳng Thương mại và Du lịch Hà Nội,CĐ Thương mại và Du lịch Hà Nội
36754,Cao Đẳng thương mại và du lịch,Trường Cao Đẳng Thương mại và Du lịch Hà Nội,CĐ Thương mại và Du lịch Hà Nội
35695,Cao Đẳng Truyền Hình - Thường Tín,Trường Cao Đẳng Truyền hình,CĐ Truyền hình
36393,"van hoa nghe thuat nha trang, khanh hoa",Trường Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Nha Trang,CĐ Văn Hóa Nghệ Thuật Du Lịch Nha Trang
36349,VHNT VINH,Trường Cao Đẳng Văn hóa Nghệ thuật Nghệ An,CĐ Văn hóa Nghệ thuật Nghệ An
36552,Trường Cao Đẳng VHNT Nghệ An,Trường Cao Đẳng Văn hóa Nghệ thuật Nghệ An,CĐ Văn hóa Nghệ thuật Nghệ An
35743,Trường Cao Đẳng VHNT Việt Bắc,Trường Cao Đẳng Văn hóa Nghệ thuật Việt Bắc,CĐ Văn hóa Nghệ thuật Việt Bắc
36171,Cao Dang xay Dung,Trường Cao Đẳng Xây dựng Số 1,CĐ Xây dựng 1
36302,Cao Đẳng. sây dung hà nội,Trường Cao Đẳng Xây dựng Số 1,CĐ Xây dựng 1
35248,Đai Học Xây Dưng Công Trình Dô Thị,Trường Cao Đẳng Xây dựng Công trình Đô Thị,CĐ Xây dựng Công trình Đô Thị
36686,Trung cap y duoc hop,Trường Cao Đẳng Y Dược Hợp Lực,CĐ Y Dược Hợp Lực
36036,Trường Cao Đẳng Dược Hà Nội,Trường Cao Đẳng Y Dược Pasteur Hà Nội,CĐ Y Dược Pasteur Hà Nội
36094,Cao Dang An Bam,Trường Cao Đẳng Y Dược Tuệ Tĩnh Hà Nội - Cơ sở chính,CĐ Y Dược Tuệ Tĩnh Hà Nội
35828,trung cap y te ag,Trường Cao Đẳng y tế An Giang,CĐ y tế An Giang
36532,CĐYT Bac Lieu,Trường Cao Đẳng Y tế tỉnh Bạc Liêu,CĐ Y tế Bạc Liêu
35886,Cao Đẳng Y TẾ BẮC NINH,Trường Cao Đẳng Y tế Bắc Ninh,CĐ Y tế Bắc Ninh
36384,Trường cdyt binh duong,Trường Cao Đẳng Y Tế Bình Dương,CĐ Y Tế Bình Dương
35219,CD y te Binh phuoc,Trường Cao Đẳng Y tế Bình Phước,CĐ Y tế Bình Phước
35917,TCYT BINH PHUOC,Trường Cao Đẳng Y tế Bình Phước,CĐ Y tế Bình Phước
35401,cdyt can tho,Trường Cao Đẳng Y tế Cần Thơ,CĐ Y tế Cần Thơ
35968,Trường Cao Dang YTe Can Tho,Trường Cao Đẳng Y tế Cần Thơ,CĐ Y tế Cần Thơ
36186,Cao Đẳng Y Dược - Trường Cao Đẳng y tế Cần Thơ - Cần Thơ University,Trường Cao Đẳng Y tế Cần Thơ,CĐ Y tế Cần Thơ
36080,CD Y Te Dang Thuy Tram,Trường Cao Đẳng Y tế Đặng Thùy Trâm,CĐ Y tế Đặng Thùy Trâm
36378,Trường  cao đẳng y tế điện biên,Trường Cao Đẳng Y Tế Điện Biên,CĐ Y Tế Điện Biên
36120,CYD,Trường Cao Đẳng Y Tế Đồng Nai,CĐ Y Tế Đồng Nai
35346,cao đảng y tế hà đông,Trường Cao Đẳng Y tế Hà Đông,CĐ Y tế Hà Đông
35801,truong cd y te ha nam,Trường Cao Đẳng Y tế Hà Nam,CĐ Y tế Hà Nam
35908,Truong trung cap y duoc ha nam,Trường Cao Đẳng Y tế Hà Nam,CĐ Y tế Hà Nam
35416,Trường Cao Đẳng Y Tế Hà Nội,Trường Cao Đẳng Y tế Hà Nội,CĐ Y tế Hà Nội
35817,Trung Cấp Dược Y Hải Phòng,Trường Cao Đẳng Y tế Hải Phòng,CĐ Y tế Hải Phòng
36762,cao đẵng y dược huế,Trường Cao Đẳng Y tế Huế,CĐ Y tế Huế
35727,Truong cd y te hung yen,Trường Cao Đẳng Y Tế Hưng Yên,CĐ Y Tế Hưng Yên
35590,cđ y khánh hòa,Trường Cao Đẳng Y tế Khánh Hòa,CĐ Y tế Khánh Hòa
35684,Trường Cao Đẳng Y Ninh Bình,Trường Cao Đẳng Y tế Ninh Bình,CĐ Y tế Ninh Bình
35608,Cao Đẳng yte quảng nam,Trường Cao Đẳng Y tế Quảng Nam,CĐ Y tế Quảng Nam
36572,Truong cao dang y te quang nam,Trường Cao Đẳng Y tế Quảng Nam,CĐ Y tế Quảng Nam
36758,Cđ y tê quang nam,Trường Cao Đẳng Y tế Quảng Nam,CĐ Y tế Quảng Nam
36034,Trường Cao Đẳng Y tế Sơn La,Trường Cao Đẳng Y Tế Sơn La,CĐ Y Tế Sơn La
36710,Tcdyt thai nguyen,Cao Đẳng Y tế Thái Nguyên,CĐ Y tế Thái Nguyên
35494,Trường Chính trị tỉnh Hà Nam,Trường Chính Trị Hà Nam,Chính Trị Hà Nam
36660,Trung cấp kinh tế kỹ thuật Bình Định,Cơ sở Thực hành An Nhơn,Cơ sở Thực hành An Nhơn
35820,Dai hoc cong nghie thuc pham,Trường Đại học Công nghiệp Thực phẩm TP.HCM,ĐH Công nghiệp Thực phẩm TP.HCM
35987,Đại học Công nghiệp Thực phẩm Tp.HCM,Trường Đại học Công nghiệp Thực phẩm TP.HCM,ĐH Công nghiệp Thực phẩm TP.HCM
36248,ĐH Công Nghiệp Thực Phẩm HCM,Trường Đại học Công nghiệp Thực phẩm TP.HCM,ĐH Công nghiệp Thực phẩm TP.HCM
36521,Truong Cao Dang Cong Nge Thuc Pham Tp.HCM,Trường Đại học Công nghiệp Thực phẩm TP.HCM,ĐH Công nghiệp Thực phẩm TP.HCM
35379,Kinh Tế kỹ thuật Nam Định,Trường đại học Kinh tế - Kỹ thuật Công nghiệp ,ĐH Kinh tế - Kỹ thuật Công nghiệp
35669,Dai Hoc Su pham Da Nang,Trường Đaị Học Sư Phạm - ĐHĐN,ĐH Sư Phạm - ĐHĐN
35807,su pham thai nguyen,Trường Đại học Sư phạm Thái Nguyên,ĐH Sư phạm Thái Nguyên
36400,Dh spham thai nguyen,Trường Đại học Sư phạm Thái Nguyên,ĐH Sư phạm Thái Nguyên
35493,Khoa Dược - Đại học Y Dược TP.HCM,Khoa Dược - Đại học Y Dược TP.HCM,ĐH Y Dược TP.HCM
36273,Trường Đào tạo Mỹ thuật Đa phương tiện Arena Multimedia,Trường Đào tạo Mỹ thuật Đa phương tiện Arena Multimedia,Đào tạo Mỹ thuật Đa phương tiện Arena Multimedia
36202,"Dai hoc ba ria, Vung Tau",Trường Đại học Bà Rịa - Vũng Tàu,ĐH Bà Rịa - Vũng Tàu
35768,Đại Học Bách Khoa - Đại Học Đà Nẵng,Trường Đại học Bách Khoa - Đại học Đà Nẵng,ĐH Bách Khoa - ĐH Đà Nẵng
35840,Đại học Bách Khoa HCM,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM
36259,Đại học Bách Khoa TP.HCM,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM
36627,Trường Đại học Bách khoa Thành phố Hồ Chí...,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM
36764,Politechnic University of Ho chi Minh City,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM
35289,Đại Hộc Bách Khoa,Trường Đại học Bách khoa Hà Nội,ĐH Bách khoa Hà Nội
35386,Bách Khoa Hà Nôi,Trường Đại học Bách khoa Hà Nội,ĐH Bách khoa Hà Nội
35553,Hà Nội 工科大学 <ĐH Bách Khoa HN>,Trường Đại học Bách khoa Hà Nội,ĐH Bách khoa Hà Nội
35574,Trường Đại học Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội,ĐH Bách khoa Hà Nội
35789,ĐH Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội,ĐH Bách khoa Hà Nội
