,text,normed_text
35,Trường THCS Dũng Sĩ Điện Ngọc,Trường THCS Dũng Sĩ Điện Ngọc
36,Phu Nhuan Highschool,Trường THPT Phú Nhuận
37,trung cap cong nghe thong tin,Khoa công nghệ thông tin - Trường trung cấp ICT
38,trung học phổ thông nguyễn hữu thọ,Trường THPT Nguyễn Hữu Thọ
39,trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT,Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh
40,Truong THPT Lê Trung Kiên,Trường THPT Lê Trung Kiên
41,THPT Phan Dang Luu TP.HCM,Trường THPT Phan Đăng Lưu
42,Trường Cao đẳng Tài nguyên và Môi trường Miền Trung,Phân hiệu Đại học Tài Nguyên & Môi Trường Hà Nội tại Thanh Hoá
43,Đại học Dân lập Duy Tân,Đại Học Dân Lập Duy Tân
44,tthpt nguyen trai,Trường THPT Nguyễn Trãi - Ba Đình
45,Trường THCS tây đô,Trường Thcs Tây Đô
46,THPT Tran Phu-binh lam,Trường THPT Trần Phú
47,Trường THCS Hành Dũng,Trường THCS Hành Dũng
48,"Trung tâm GDTX Quận Thủ Đức, Tp.HCM",Công Ty TNHH Nguồn Nhân Lực Ánh Mai
49,Trường Trung Học Hòa Đa,Trường THPT Hòa Đa
50,THPT phươg xá,Trường THPT Phương Xá
51,tc kế toán,Trung cấp Kế toán tài chính Hà Nội
52,THPT Nguyễn Đổng Chi - Hà Tĩnh,Trường THPT Nguyễn Đổng Chi
53,Trường THPT Hàm THuận Nam,Trường THPT Hàm Thuận Nam
54,"Trường Trung học phổ thông Marie Curie, Thành phố Hồ Chí Minh",Trường THPT Marie Curie
55,THCS Trực Thuận,Trực Thuận
56,Truong THPT Quan Quan Sơn 2,Trường THPT Quan Sơn
57,Học Viện Công Nghệ Bưu Chính Viễn Thông,Học Viện Công Nghệ Bưu Chính Viễn Thông
58,truong dh spkt vinh,Trường đại học Sư Phạm Kỹ Thuật Vinh
59,THPT Hoa Sen (Quận 9),Hoa Sen School
60,ĐH Y Dược TPHCM,Đại học Y Dược Thành phố Hồ Chí Minh
61,Truong Trung Cap Ky Thuat PK-KQ,Trường Trung Cấp KT PKKQ
62,cao dang du lich,Trường Cao Đẳng Du Lịch Hà Nội
63,University of South Florida,Đại học Nam Florida (University of South Florida)
64,Trường THPT Nguyễn Việt Dũng,Trường THPT Nguyễn Việt Dũng
65,Thanh Pho Can Tho,Cần Thơ
66,Truong THPT NGuyen Minh Quang,Trường THPT Nguyễn Minh Quang
67,THPT TRAN NGOC HOANG,Trường THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ
68,Truong Trung Hoc Co so Chu Van AN,Trường THCS Chu Văn An
69,THPT Trần Hưng Đạo - Mỹ Tho - Tiền Giang,Trường THPT Trần Hưng Đạo
70,Truong THPT Tran Ngoc Hoang,Trường THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ
71,Cao Dang Y Te Can Tho-CMC,Trường Cao đẳng Y tế Cần Thơ
72,Trung Học Cơ Sở Thạnh Mỹ,Trường THCS Thanh Mỹ
73,THPT Hoa Hung,Trường THCS - THPT Hoà Hưng
74,Trường cao đẳng kỉ thuật Cao Thắng,Trường Cao đẳng Kỹ thuật Cao Thắng
75,trung học Phổ thông Yên Mô B,Trường THPT Yên Mô B
76,Truong THPT Nguyen Van Troi - Bau Don,Trường THPT Nguyễn Văn Trỗi
77,trung hoc pho thong thot not,Trường THPT Thốt Nốt
78,THPT AN THOI,Trường THPT An Thới
79,Trường Trung Học Phổ Thông Long Mỹ,Trường THPT Long Mỹ
80,THPT TÂN BÌNH,Trường THPT Tân Bình
81,THPT chuyên Thủ Khoa Nghĩa,Trường THPT Chuyên Thủ Khoa Nghĩa
82,International Islamic Collage (IIC),International Islamic College
83,cdktkt can thơ,Trường Cao đẳng Kinh tế - Kỹ thuật Cần Thơ
84,Cao đẳng Sưu phạm long an,Trường Cao đẳng Sư phạm Long An
85,Trường Trung Cấp Y Dược Mekong,Trường Trung Cấp Quốc Tế MeKong
86,Truong THPT Chau Thanh 1,Trường THPT Châu Thành I
87,truong trung hoc pho thong phu hung,Trường THPT Phú Hưng
88,THPT Trần Văn Kiết,Trường THPT Trần Văn Kiết
89,THCS Lê Chánh,Trường THCS Lê Chánh
90,Thpt thuận hưng,Trường THPT Thuận Hưng
91,Trường THPT Lê Lợi-Thọ Xuân-Thanh Hóa,Trường THPT Lê Lợi
92,truog thpt chau thanh 2,Trường THPT Châu Thành 2
93,THPT Van Ngoc Chinh,Trường THPT Văn Ngọc Chính
94,Trường THPT Tăng Bạt Hổ,Trường THPT Tăng Bạt Hổ
95,THPT U Minh Thuong,Trường THCS và THPT U Minh Thượng
96,"THCS Chu Văn An, Bình Dương",Trường THCS Chu Văn An
97,truong cao dang nghe viet nam_singapore,Trường Cao đẳng nghề Việt Nam Singapore
98,THCS Trần Ngọc Quế,Trường THCS Trần Ngọc Quế
99,Truong THCS xa Hiep Tung,Trường THCS xã Hiệp Tùng
100,THPT Nguyễn Minh Quang,Trường THPT Nguyễn Minh Quang
101,trung hoc co so yen dong,THCS Yên Đồng
102,Trường Tiểu Học Thới Long 2,TRƯỜNG TIỂU HỌC THỚI LONG 2
103,Trường Trung học phổ thông Long Thành,Trường THPT Long Thạnh
104,CD Cong Dong Soc Trang,Trường cao đẳng cộng đồng Sóc Trăng
105,THPT Nguyễn Đình Chiểu - Bến Tre,Trường THPT Nguyễn Đình Chiểu
106,THCS Nguyễn Trường Tộ - Vĩnh Long,Trường THCS Nguyễn Trường Tộ
107,Truong THCS An Lac,Trường THCS An Lạc
108,THCS PHAN NGOC HIEN,Trường THCS Phan Ngọc Hiển
109,THPT Phan Ngọc Hiển,Trường THPT Phan Ngọc Hiển
110,Horizon International Bilingual School,Trường Song ngữ Quốc tế Horizon
111,Horizon High School,Trường Song ngữ Quốc tế Horizon
112,Cao Đẳng Kinh Tế Kỹ Thuật Kiên Giang,Trường Cao Đẳng Kinh Tế Kỹ Thuật Kiên Giang
113,TTGDTX Q8,Trung Tâm Giáo Dục Thường Xuyên Quận 8
114,Trường THCS - THPT Phú Quới,THCS - THPT Phú Quới
115,Cao Đẳng Điện Lực Thành Phố Hồ Chí Minh,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh
116,Trường THPT Lê Thị Riêng,Trường THPT Lê Thị Riêng
117,trung hoc co so thi tran long ho,Trường THCS Thị Trấn Long Hồ
118,Cao Dang Kinh Te Tai Chinh Vinh Long,Phân hiệu trường Đại học Kinh tế Thành phố Hồ Chí Minh tại tỉnh Vĩnh Long
119,THPT VÕ THỊ SÁU,Trường THPT Võ Thị Sáu
120,"THPT  Mỹ Hương, Mỹ Tú, Sóc Trăng",Trường THPT Mỹ Hương
121,pho thong cho gao,Trường THPT Chợ Gạo
122,Trường THPT Thạnh An,Trường THPT Thạnh An
123,Trường THPT Bán Công Cà Mau,Trường THPT Cà Mau
124,THCS Xuân Diệu,Trường THCS Xuân Diệu
125,THPT Huu Thanh,Trường THPT Hựu Thành
126,TTGDTX phú nhuận,Trung Tâm Giáo Dục Nghề Nghiệp - Giáo Dục Thường Xuyên Quận Phú Nhuận
127,Cao dang nge quy nhon,Trường Cao Đẳng Kỹ Thuật Công Nghệ Quy Nhơn
128,Đại học Khoa học xã hội và Nhân văn - Đại học Quốc Gia TP.HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
129,"THPT Trần Văn Bảy, Phước Long, Bạc Liêu",THPT TRẦN VĂN BẢY
130,thcs tân mỹ,Trường THCS Tân Mỹ
131,trung hoc thuy san,"Trường Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản"
132,TRUONG THCS NHON LY,Trường Trung Học Cơ Sở Lý Nhơn
133,Truong THCS huu thanh B,Trường THCS Hựu Thành B
134,Trường TC GTVT Miền Nam,Trường Trung Cấp Giao Thông Vận Tải Miền Nam
135,Trường THCS Tân Túc,Trường THCS Tân Túc
136,THPT Binh Phu,Trường THPT Bình Phú
137,Thcs an thanh 1,Trường THCS An Thạnh 1
138,THCS hung vuong bao loc,Trường THCS Hùng Vương
139,THPT Xuân Tô,Trường THPT Xuân Tô
140,THCS Lưu Văn Lang,Trường THCS Lưu Văn Lang
141,Hutech - Khoa Quản Trị Kinh Doanh,Khoa Quản Trị Kinh Doanh
142,Trường CĐ Công Nghiệp Dệt May Thời Trang TP.HCM,Trường Cao Đẳng Công Nghệ TP.HCM
143,"THPT TRUONG DINH,TIEN GIANG",Trường THPT Trương Định
144,Saigontourist Hospitality College,Trường Trung cấp Du lịch và Khách sạn Saigontourist (Saigontourist Hospitality College)
145,Trường Trung Học Thực Hành Đại Học Sư Phạm,Trường Đại học Sư phạm Hà Nội
146,THCS Đại Ân 2,Trường Trung Học Cơ Sở Đại Ân 2
147,trường thcs đại ân 2,Trường Trung Học Cơ Sở Đại Ân 2
148,trung cấp Kinh tế Quảng Ninh,Trường Trung Cấp Kinh Tế Quảng Ninh
149,Trường THPT Chuyên Lê Hồng Phong TPHCM,Trường THPT chuyên Lê Hồng Phong
150,HUI-HCM University of Industry,Trường Đại học Công nghiệp TP.HCM
151,Truong trung hoc PT thoj long,Trường THPT Thới Long
152,THPT DUONG BACH MAI,Trường THPT Dương Bạch Mai
153,THPT thực hành sư phạm Cần Thơ,Trường THPT Thực Hành Sư Phạm
154,Trường THPT Nguyễn Quang Diêu,Trường THPT Nguyễn Quang Diêu
155,THPT CẦN ĐĂNG,Trường THPT Cần Đăng
156,Trường THPT Cần Đăng,Trường THPT Cần Đăng
157,Trường THPT Thới Bình,Trường THPT Thới Bình
158,Trường THPT Tiểu Cần,Trường THPT huyện Tiểu Cần
159,Trường THPT Phan Thanh Giản,Trường trung học phổ thông Phan Thanh Giản
160,Trường THCS - THPT Long Phú,Trường THCS - THPT Long Phú
161,Truong THPT Nguyen van Hai,Trường THPT Nguyễn Văn Hai
162,THPT Nguyen van Hai,Trường THPT Nguyễn Văn Hai
163,THPT Ngoi Sao,Trường Ngôi Sao Hà Nội
164,Đại Học Kỹ Thuật Công Nghệ Cần Thơ,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ
165,THCS Thị Trấn Thới Lai,Trường THCS Thị Trấn Thới Lai
166,THCS trung an,Trường Tiểu học Trung An
167,THPT Tầm Vu 1,Trường THPT Tầm Vu
168,Trường THCS Và THPT Tân Lộc,Trường THCS và THPT Tân Lộc (điểm B)
169,Trường THPT Thới Lai,TRƯỜNG THPT THỚI LAI
170,Trường THCS Thông Tây Hội,Trường THCS Thông Tây Hội - Cơ Sở 1
171,THPT Cây Dương,THPT Cây Dương
172,truong THPT Cay Duong,Trường Trung Học Phổ Thông Cây Dương
173,THPT Cam My,Trường THPT Cẩm Mỹ
174,truog thcs bien bach,THCS Biển Bạch
175,Trường THCS Thới Thuận,Trường THCS Thới Thuận
176,Đại học Võ Trường Toản,Trường Đại Học Võ Trường Toản
177,Cao Đẳng Y Tế Cần Thơ,Trường Cao đẳng Y tế Cần Thơ
178,THPT Phan Van Tri,Trường THPT Phan Văn Trị
179,truong trung hoc pho thong tam vu 1,Trường THPT Tầm Vu
180,Trường Thủ Khoa Nghĩa,Trường THPT Chuyên Thủ Khoa Nghĩa
181,THPT Trần Văn Thời,Trường THPT Trần Văn Thời
182,Trường THCS Bình Tân,THCS Bình Tân
183,Đại Học Cần Thơ,Đại học Cần Thơ
184,"THPT Lê Văn Đẩu, Vĩnh Lợi, Bạc Liêu",Trường THPT Lê Văn Đẩu
185,Trường Tiểu học Thị trấn Lai Vung,Trường Tiểu Học Thị Trấn Lai Vung
186,Trường Trung Cấp Nghề Quang Trung,Trường Trung cấp Nghề Quang Trung
187,THPT Trần văn Ơn - Châu Thành A (bến Tre),Trường THPT Trần Văn Ơn
188,Trường Trung Học Phổ Thông Hoà An,Trường Trung Học Phổ Thông Hòa An
189,Tầm Vu 1,Trường THPT Tầm Vu
190,Trung Cap Pham Ngoc Thach Can Tho,Trường Cao Đẳng Phạm Ngọc Thạch Cần Thơ
191,Trường THPT Chợ Gạo,Trường THPT Chợ Gạo
192,THCS Đỗ Văn Dậy,Trường THCS Đỗ Văn Dậy
193,THCS TÂN TÚC,Trường THCS Tân Túc
194,THPT LƯU HOÀNG,Trường THPT Lưu Hoàng
195,Thpt Luu Hoang,Trường THPT Lưu Hoàng
196,truong thpt thi xa sa dec,Trường Trung học phổ thông Thành phố Sa Đéc
197,"THPT Trung Nghĩa, Phú Thọ",Trường THPT Trung Nghĩa
198,THCS Phước Bình,Trường THCS Phước Bình - TP.Thủ Đức
199,Trường Đại Học Ngân Hàng Tp.HCM,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2)
200,THPT Mỹ Văn,Trường THPT Mỹ Văn
201,Trường TH-THCS-THPT Ngô Thời Nhiệm,"Trường tiểu học, THCS, THPT Ngô Thời Nhiệm"
202,Trường THPT Lấp Vò 2,Trường THPT Lấp Vò 2
203,Paris-Sorbonne University Abu Dhabi,Sorbonne University Abu Dhabi
204,Học viện Cán bộ TP.HCM,Học viện Cán bộ Thành phố Hồ Chí Minh
205,trường Tiểu học Bình Trị Đông A,Trường Tiểu Học Bình Trị Đông A
206,SaigonTourist Hospitality College,Trường Trung cấp Du lịch và Khách sạn Saigontourist (Saigontourist Hospitality College)
207,Trường THCS Độc Lập,Trường THCS Độc Lập
208,THPT Phuc Hoa,TRƯỜNG THPT PHỤC HÒA
209,THPT LÊ HỒNG PHONG-DI LINH-LÂM ĐỒNG,Trường THPT Lê Hồng Phong
210,Biloxi High School,Biloxi High School
211,THCS Phan Đăng Lưu,Trường THCS Phan Đăng Lưu
212,THPT 25/10,Trường THPT Dân Lập 25 - 10
213,Trường THPT 25/10,Trường THPT Dân Lập 25 - 10
214,Luong The Vinh High School ( Q1 TPHCM ),Trường THPT Lương Thế Vinh
215,THCS Hồng Bàng - Hải Phòng,Trường THCS Hồng Bàng
216,Business and Hotel Management School,Trường Kinh doanh và Quản lý Khách sạn
217,THCS Hùng Vương - Hồng Bàng - Hải Phòng,Trường THCS Hùng Vương
218,Trường Đại học Công nghiệp dệt may - thời trang Hà Nội,Trường Đại Học Công Nghiệp Dệt May Hà Nội
219,Trường PTTH Ngô Quyền Hải Phòng,Trường THPT Ngô Quyền
220,THPT Chu Văn An Thái Nguyên,Trường THPT Chu Văn An
221,Trường THPT Xuân Áng,Trường THPT Xuân Áng
222,Trường THPT Chu Văn An,Trường THPT Chu Văn An (Trường Bưởi)
223,Trường THPT Chu Văn An - Thái Nguyên,Trường THPT Chu Văn An
224,THCS Nguyễn Bá Ngọc - Hải Phòng,Trường THCS Nguyễn Bá Ngọc
225,Trường THCS Đại Xuân,Trường THCS Đại Xuân
226,"THPT Phố Mới, Quế Võ, Bắc Ninh",Trường THPT Phố Mới
227,Trường THPT Trà Cú,Trường THPT Trà Cú
228,"THPT Quỳnh Côi, Quỳnh Phụ, Thái Bình",Trường THPT Quỳnh Côi
229,TRUNG CẤP CẢNH SÁT NHÂN DÂN VI,Trường Trung Cấp Cảnh Sát Nhân Dân 6
230,Trường Cao Đẳng KTCN TPHCM Cơ Sở Bình Dương Kỹ Nghệ II,Trường Cao Đẳng KTKT TP.HCM - Cơ Sở Bình Dương
231,THPT Nguyễn Huệ - Đại Từ - Thái Nguyên,Trường THPT Nguyễn Huệ
232,Trường Quân Sự Quân Khu 3 - Sao Đỏ - Chí Linh - Hải Dương,Trường Quân Sự Quân Khu 3
233,THPT Ngo Quyen - Hai Phong - Viet Nam,Trường THPT Ngô Quyền
234,BỘ NỘI VỤ - ĐẠI HỌC NỘI VỤ HÀ NỘI,Trường Đại Học Nội Vụ Hà Nội
235,Trường Cao đẳng Sư phạm Quảng Ninh,Trường Cao Đẳng Sư Phạm Quảng Ninh
236,Trung cấp nghề mỏ hồng cẩm,Cao Đẳng Nghề Mỏ Hồng Cẩm
237,Đại học Sư phạm Hà Nội 1,Trường Đại học Sư phạm Hà Nội
238,Trường PTTH Quảng hà,Trường THPT Quang Hà
239,Trường Trung Học Phổ Thông Trưng Vương Sài Gòn,Trường THPT Trưng Vương
240,THPT Bắc Đông Quan,Trường THPT Bắc Đông Quan
241,THCS Dong Cuong,Trường Thcs Đồng Cương
242,DH Văn Lang TPHCM,Trường Đại học Văn Lang - Cơ sở 1
243,THPT Son Dong So 3,Trường THPT Sơn Động số 3
244,Trường THPT Hà Lang (Chiêm Hóa-Tuyên Quang),Trường THPT Hà Lang
245,Trung Cấp Cảnh Sát Vũ Trang,Trường Cao Đẳng Cảnh Sát Nhân Dân 1
246,THCS Xuân Thới Thượng,Xuan Thoi Thuong Middle School
247,Trung hoc pho thong cau xe,Trường THPT Cầu Xe
248,thpt ham nghi,Trường THPT Hàm Nghi
249,Truong THCS An hung an duong hai phong,Trường THCS An Hưng
250,trường thpt lê trung kiên,Trường THPT Lê Trung Kiên
251,Trường THPT Hiệp Hoà 4.,Trường THPT Hiệp Hòa 4
252,Trường Đại Học Công Nghệ Và Quản Lý Hữu Nghị,Trường Đại học Công nghệ và Quản lý Hữu Nghị - UTM
253,THPT Việt Bắc,Trường THPT Việt Bắc
254,Truong THPT Suong Nguyet  Anh,Trường THCS&THPT Sương Nguyệt Anh
255,THPT Gia Lộc 1,Trường THPT Gia Lộc
256,THPT Luc Nam,Trường THPT Lục Nam
257,DH XAY DUNG HA NOI,Trường Đại Học Xây Dựng
258,Harvard Medical School,Harvard Medical School
259,THPT Thái Phúc,Trường THPT Thái Phúc
260,Trường THPT Thái Phúc,Trường THPT Thái Phúc
261,THPT Lưu Tấn Phát,Trường THPT Lưu Tấn Phát
262,Trường Đào Tạo Nghề Hand Việt - Handviet.com.vn,Công ty cổ phần và đào tạo nghề Hand Việt
263,Đại Học Sân Khấu - Điện Ảnh Hà Nội,Đại Học Sân Khấu Điện Ảnh
264,Truong THPT Dong hy - H Dong Hy - Thai Nguyen,Trường THPT Đồng Hỷ số 1
265,Truong Dai Hoc Su Pham Thai Nguyen,Trường Đại học Sư phạm Thái Nguyên
266,Trường TH - THCS - THPT Văn Lang,Trường TH-THCS-THPT Văn Lang
267,Đại Học Dược Hà Nội,Trường Đại học Dược Hà Nội
268,Đại học du lịch Nha trang,Trường Đại học Nha Trang
269,"Trường THPT Bắc Sơn, Lạng Sơn",Trường THPT Bắc Sơn
270,Trường THPT Phan Bội Châu - Phú Yên,Trường THPT Phan Bội Châu
271,Trường THPT Vũ Văn Hiếu,Trường THPT Vũ Văn Hiếu
272,thpt QuangTrung Hà Đông,Trường THPT Quang Trung
273,"Trường THPT Phước Long, Quận 9 Tp. HCM",Trường THPT Phước Long
274,Trung hoc pho thong Nga Son,Trường THPT Ba Đình
275,Đại học Kinh Tế- Kĩ thuật Bình Dươ,Trường Đại học Kinh tế - Kỹ Thuật Bình Dương
276,Trung hoc pho thong Bac Binh,Trường THPT Bắc Bình
277,THPT Võ Thị Sáu,Trường THPT Võ Thị Sáu
278,Đại Học Lao Động Xã Hội,Trường Đại học Lao động - Xã hội
279,Trường THCS Tiền An,Trường THCS Tiền An
280,truong thpt nguyen trai da nang,Trường THPT Nguyễn Trãi
281,ĐH Ngoại Thương,Trường Đại học Ngoại thương
282,Đại học Mỏ Địa Chất Hà Nội,Trường Đại học Mỏ - Địa chất.
283,Đai hoc Giao Thông Vận Tải,Trường Đại học Giao thông Vận tải
284,THPT Võ Thị Sáu_TPHCM,Trường THPT Võ Thị Sáu
285,DH Bach Khoa Ha Noi,Trường Đại học Bách khoa Hà Nội
286,THCS Cảnh Hưng,Trường Thcs Cảnh Hưng
287,THPT Tiên Du số 1,Trường THPT Tiên Du 1
288,Florida International University,Đại học Quốc tế Florida
289,THPT Nguyễn Du Thái Bình,Trường THPT Nguyễn Du
290,THCS Ninh Xá,Trường THCS Ninh Xá
291,Trường THCS Ninh Xá,Trường THCS Ninh Xá
292,CĐ Thương Mại và Du Lịch Hà Nội,Trường Cao đẳng Thương mại và Du lịch Hà Nội
293,Cao Đẳng Cộng Đồng Hà Nội,Trường Cao đẳng Cộng đồng Hà Nội
294,DHXD,Trường Đại Học Xây Dựng
295,"THPT Hà Đông, Thanh Hà, Hải Dương",THPT Hà Đông
296,CD Duoc TW Hai Duong,Cao Đẳng Dược Trung Ương Hải Dương
297,Trường THPT Dân lập Lê Thánh Tông,Trường THPT Lê Thánh Tông
298,Trường THPT Việt Bắc,Trường THPT Việt Bắc
299,THPT Nam Đông Quan,Trường THPT Nam Đông Quan
300,Khoa Luật Kinh Tế - Đại Học Đông Đô,khoa luật kinh tế trường đại học đông đô
301,PT chuyen Nguyen Hue,Trường THPT Chuyên Nguyễn Huệ
302,Đại Học Phan Thiết,Trường Đại học Phan Thiết
303,INNO language school,Trung Tâm Anh Ngữ INNO Phan Thiết
304,DH hai phong,Trường Đại học Hải Phòng
305,DH Hang Hai,Trường Đại học Hàng hải Việt Nam
306,PTDL Nguyễn Siêu,"Trường Tiểu học, THCS & THPT Nguyễn Siêu"
307,trương công định,Trương Định
308,Đh Giao Thông Vận Tải Hà Nội,Trường Đại học Giao thông Vận tải
309,Trường THPT Ngô Quyền - BONAL,Trường THPT Ngô Quyền
310,THPT Bất Bạt,Trường THPT Bất Bạt
311,Trường Thpt Trường Chinh,Trường THPT Trường Chinh
312,THPT Đồng Quan,Trường THPT Đồng Quan
313,THPT Dương Quảng Hàm,Trường THPT Dương Quảng Hàm
314,truong thpt nguyen duc canh,Trường Trung học phổ thông Nguyễn Đức Cảnh
315,"THPT Lê Quý Đôn, Hà Đông, Hà Nội",Trường THPT Lê Quý Đôn
316,Trường ĐH Kinh tế TP. Hồ Chí Minh - UEH,Trường Đại học Kinh tế TP. HCM
317,Trường THCS Đồng Khởi,Trường THCS Đồng Khởi
318,Trường THCS Đồng Khởi Q1,Trường THCS Đồng Khởi
319,Trường Cao Đẳng nghề Vinashin,Trường Cao Đẳng Nghề Vinashin
320,Trường THPT Yên Phong Số 1 - Bắc Ninh,Trường THPT Yên Phong số 1
321,THPT Bình Tân,Trường THPT Bình Tân
322,THCS Lê Văn Tám,Trường THCS Lê Văn Tám
323,Trường THPT Hùng Vương Vũ Thư - Thái Bình,Trường Thpt Hùng Vương
324,Truong trung cap nong nghiep ha noi,Trường Trung Học Nông Nghiệp
325,THPT Nguyen Dinh Chieu- My Tho,Trường THPT Nguyễn Đình Chiểu
326,THPT Rạch Gầm Xoài Mút,Sân Thể Dục Trường THPT Rạch Gầm Xoài Mút
327,"Trường THCS Đông Hoàng, Tiền Hải , Thái Bình",Trường THCS Đông Hoàng
328,ĐH Thủy Lợi,Trường Đại Học Thủy Lợi
329,GIST : 광주과학기술원,GIST | Gwangju Institute of Science and Technology (광주과학기술원)
330,trung hoc co so thang long,Trường THCS Thăng Long
331,trung hoc pho thong le quy don,Trường THPT Lê Quý Đôn
332,Trường Đại Học TDTT -Từ Sơn-Bắc Ninh,Trường Đại học Thể dục Thể thao Bắc Ninh
333,Ho Chi Minh City,Hồ Chí Minh
334,truong trung cap ky thuat va cong nghe cuu long,Trường Trung Cấp Kỹ Thuật Và Công Nghệ Cửu Long
335,THPT Yên Thế - Bắc Giang,Trường THPT Yên Thế
336,Trường THCS thị trấn Yên Bình,Trường THCS Thị Trấn Yên Bình
337,Trường THPT Quang Bình - Hà Giang,Trường THPT Quang Bình
338,ĐH Hùng Vương Phú Thọ,Trường Đại học Hùng Vương
339,Học Sinh Trường THPT Hòa Bình _ An Nhơn Bình Định,Trường THPT Hoà Bình
340,Trường THCS Cao Nhân,Trường THCS CAO NHÂN
341,THPT AnLao,Trường THPT An Lão
342,THPT Tien Hung,Trường THPT Tiên Hưng
343,THPT Thuận Thành II,Trường THPT Thuận Thành 2
344,Trường Đại học Kiểm Sát Hà Nội,Trường Đại Học Kiểm Sát Hà Nội
345,Cựu HSSV Trường THPT Yên Thủy A,Trường THPT Yên Thuỷ A
346,THCS Kỳ Bá,Trường THCS Kỳ Bá
347,THPT Ham Thuan Bac,Trường THPT Hàm Thuận Bắc
348,THPT  Hòn Gai - Quảng Ninh,Trường THPT Hòn Gai
349,Thông tin Đại học Cao đẳng,Trường cao đẳng
350,THPT Vũ Văn Hiếu,Trường THPT Vũ Văn Hiếu
351,THPT Hòn Gai - TP Hạ Long - QN,Trường THPT Hòn Gai
352,Truong THCS An Dong,Trường THCS An Đồng
353,DH Hang Hai Viet Nam.,Trường Đại học Hàng hải Việt Nam
354,dhhh viet nam,Trường Đại học Hàng hải Việt Nam
355,THPT An Lão - Hải phòng,Trường THPT An Lão
356,THCS Nguyễn Văn Thuộc,Trường THCS Nguyễn Văn Thuộc
357,THCS Bạch Đằng,Trường THCS Bạch Đằng
358,Cao Đẳng Du Lịch Hải Phòng,Trường cao đẳng Du lịch Hải Phòng
359,Trường Đại học Y Dược Thái Bình,Đại Học Y Dược Thái Bình
