,text,normed_text,clean_text
15072,THPT Hùng Vương,Trường THPT Hùng Vương,THPT Hùng Vương
15073,"THPT Trần Văn Ơn, Huyện Thuận An, Tỉnh Bình Dương",Trường THPT Trần Văn Ơn,THPT Trần Văn Ơn
15074,LAC HONG Junior High School,THCS Lạc Hồng,THCS Lạc Hồng
15075,"Trường THPT Trưng Vương 3A Nguyễn Bỉnh Khiêm Bến Nghé Quận 1 Hồ Chí Minh, Việt Nam",Trường THPT Trưng Vương,THPT Trưng Vương
15076,GĐPT Việt Nam,Gia đình Phật tử Việt Nam,ia đình Phật tử Việt Nam
15077,Trường THCS Hiệp Lực,Trường THCS Hiệp Lực,THCS Hiệp Lực
15078,THPT Thới Lai,TRƯỜNG THPT THỚI LAI,THPT THỚI LAI
15079,Trường THCS Nguyễn Huệ Quận Tân Phú,Trường Trung học Cơ sở Nguyễn Huệ,Trung học Cơ sở Nguyễn Huệ
15080,Thpt dinh chuong duong,Thpt Đinh Chương Dương,hpt Đinh Chương Dương
15081,THPT Ngô Gia Tự Quận 8 HCM,Trường THPT Ngô Gia Tự,THPT Ngô Gia Tự
15082,THPT Can Giuoc,Trường THPT Cần Giuộc,THPT Cần Giuộc
15083,THPT Cẩm Giàng - Hải Dương,Trường THPT Cẩm Giàng,THPT Cẩm Giàng
15084,TTHPT Nguyen Van Xien,Trường THPT Nguyễn Văn Xiện,THPT Nguyễn Văn Xiện
15085,THPT Thanh Hoà Bù Đốp Bình Phước,Trường THPT Thanh Hòa,THPT Thanh Hòa
15086,THPT Hải An,Trường THPT Hải An,THPT Hải An
15087,THPT Cao Bá Quát,Trường THPT Cao Bá Quát,THPT Cao Bá Quát
15088,THCS Gò Vấp 2,Trường THCS Gò Vấp,THCS Gò Vấp
15089,"Truong THPT Cấp 2,3 Hiếu Nhơn",Trường THCS và THPT Hiếu Nhơn,THCS và THPT Hiếu Nhơn
15090,THPT Uông Bí,Trường THPT Uông Bí,THPT Uông Bí
15091,thpt uong bi,Trường THPT Uông Bí,THPT Uông Bí
15092,Gò Quao,Gò Quao,ò Quao
15093,THPT Chương MỸ A,Trường THPT Chương Mỹ A,THPT Chương Mỹ A
15094,MauGiao,Trường mẫu giáo,mẫu giáo
15095,Dh Dien Luc Hn,Trường Đại học Điện Lực,Đại học Điện Lực
15096,Truong Trung hoc pho thong Hoang Thai Hieu,Trường THPT Hoàng Thái Hiếu,THPT Hoàng Thái Hiếu
15097,THPT Ba Hòn,Trường THPT Ba Hòn,THPT Ba Hòn
15098,thpt chuyen ly tu trong,Trường THPT Chuyên Lý Tự Trọng,THPT Chuyên Lý Tự Trọng
15099,THPT BC Lộc Ninh,TRƯỜNG THPT BÁN CÔNG LỘC NINH,THPT BÁN CÔNG LỘC NINH
15100,Trung học cơ sở chiêm thành tấn,Trường THCS Chiêm Thành Tấn,THCS Chiêm Thành Tấn
15101,THCS Pham Dinh Ho,Trường THCS Phạm Đình Hổ,THCS Phạm Đình Hổ
15102,THCS Lam Sơn quận bình thạnh,Trường THCS Lam Sơn,THCS Lam Sơn
15103,Trường THCS Đại Đồng,Trường THCS Đại Đồng,THCS Đại Đồng
15104,THPT TRUONG ĐINH,Trường THPT Trương Định,THPT Trương Định
15105,Tung hoc tai truong CDSP TW2 Nha Trang,Trường Cao Đẳng Sư Phạm Trung Ương Nha Trang,Cao Đẳng Sư Phạm Trung Ương Nha Trang
15106,THPT Vinh Hai,Trường THPT Vĩnh Hải,THPT Vĩnh Hải
15107,"THPT  Nguyễn Thị Minh Khai, Quận 3, TP. Hồ Chí Minh",Trường THPT Nguyễn Thị Minh Khai,THPT Nguyễn Thị Minh Khai
15108,Saigon Technology University (Đại học Công Nghệ Sài Gòn),Trường Đại Học Công Nghệ Sài Gòn,Đại Học Công Nghệ Sài Gòn
15109,TRUONG CHUNG HOC PHO THONG LONG PHU (TB-Vinh Long),Trường THCS - THPT Long Phú,THCS - THPT Long Phú
15110,TRƯỜNG CAO ĐẲNG DU LỊCH VŨNG TÀU,Trường Cao đẳng Du lịch Vũng Tàu,Cao đẳng Du lịch Vũng Tàu
15111,THCS Bình Minh,Trường THCS Bình Minh,THCS Bình Minh
15112,THPT Phước Thiền,Trường THPT Phước Thiền,THPT Phước Thiền
15113,THCS NGÔ QUỐC TRỊ,Trường Thcs Ngô Quốc Trị,Thcs Ngô Quốc Trị
15114,Trường Đại học Giao thông Vận tải,Trường Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
15115,Truong trung hoc pho thong me linh dong hung thai binh,Trường Trung học cơ sở Hợp Tiến,Trung học cơ sở Hợp Tiến
15116,Trung học phổ thông Mê Linh-Thái Bình,Trường THPT Mê Linh,THPT Mê Linh
15117,trung cap nghe 20 bqp,Trường Cao đẳng Nghề số 20 Bộ Quốc Phòng - Cơ sở Hải Dương,Cao đẳng Nghề số 20 Bộ Quốc Phòng - Cơ sở Hải Dương
15118,Trường THCS xã Phú Lương-Đông Hưng-Thái Bình,Trường Trung Học Cơ Sở Xã Phú Lương,Trung Học Cơ Sở Xã Phú Lương
15119,Trung cap ki thuat nong nghiep,Trường Trung Cấp Kỹ Thuật Nông Nghiệp Tp.HCM,TC Kỹ Thuật Nông Nghiệp Tp.HCM
15120,THCS Phuoc Nguyen,Trường THCS Phước Nguyên,THCS Phước Nguyên
15121,Đại Học sư phạm kỹ thuật tp hcm,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh
15122,THCS Thị Trấn Long Hồ,Trường THCS Thị Trấn Long Hồ,THCS Thị Trấn Long Hồ
15123,ĐH Tài Nguyên và Môi Trường Hà Nội,Trường Đại học Tài nguyên và Môi trường Hà Nội,Đại học Tài nguyên và Môi trường Hà Nội
15124,THPT Xuân Mỹ - Đồng Nai,Trường THPT Xuân Mỹ,THPT Xuân Mỹ
15125,THPT Nguyễn Trãi,Trường THPT Nguyễn Trãi - Ba Đình,THPT Nguyễn Trãi - Ba Đình
15126,THCS Hàn Thuyên,Trường THCS Hàn Thuyên,THCS Hàn Thuyên
15127,THCS Phước Thái,Trường THCS Phước Thái,THCS Phước Thái
15128,Trường THPT Phan Đăng Lưu,Trường THPT Phan Đăng Lưu,THPT Phan Đăng Lưu
15129,Đại Học Khoa Học Xã Hội Và Nhân Văn - Đại Học Quốc Gia TP. HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
15130,THPT Quế Sơn -Quảng Nam,Trường THPT Quế Sơn,THPT Quế Sơn
15131,"Truong THPT Hung Vuong, Quy Nhon, Binh Dinh",Trường THPT Hùng Vương,THPT Hùng Vương
15132,DH Giao Thong Van Tai,Trường Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
15133,Trường Đại học Thể dục thể thao Thành phố Hồ Chí Minh,Trường Đại học Thể dục Thể thao TP.HCM,Đại học Thể dục Thể thao TP.HCM
15134,trường THPT Krông Nô,TRƯỜNG THPT K RÔNG NÔ,THPT K RÔNG NÔ
15135,THPT Nhân Văn-tphcm,"Trường THCS & THPT Nhân Văn - Trường Bán Trú, Nội Trú chất lượng cao tại TP HCM - Tuyển sinh lớp 10","THCS & THPT Nhân Văn - Trường Bán Trú, Nội Trú chất lượng cao tại TP HCM - Tuyển sinh lớp 10"
15136,Trường Cao Đẳng CNTT - TP.HCM,Trường Cao Đẳng Công Nghệ Thông Tin Tp.Hồ Chí Minh,Cao Đẳng Công Nghệ Thông Tin Tp.Hồ Chí Minh
15137,Trường Tiểu Học Hồ Thị Kỷ - Quận 10,Trường tiểu học Hồ Thị Kỷ,tiểu học Hồ Thị Kỷ
15138,Trung Tâm GDTX Chu Văn An Quận 5,Trung Tâm GDTX Chu Văn An,GDTX Chu Văn An
15139,Trường Cao đẳng Nghề Vĩnh Long,Trường Cao đẳng nghề Vĩnh Long,Cao đẳng nghề Vĩnh Long
15140,Trường Phổ thông thực hành Sư phạm - Đồng Nai,Trường THPT Thực Hành Sư Phạm,THPT Thực Hành Sư Phạm
15141,Trường THCS Bình Đa,Trường THCS Bình Đa,THCS Bình Đa
15142,Trường THPT Cầu Ngang A,Trường THPT Cầu Ngang A,THPT Cầu Ngang A
15143,PTTH Hoàng Diệu,Trường THPT Hoàng Diệu,THPT Hoàng Diệu
15144,Trường THPT An Lạc,Trường THPT An Lạc,THPT An Lạc
15145,Trung Học Phổ Thông An Lạc,Trường THPT An Lạc,THPT An Lạc
15146,Truong Dai Hoc Duy Tan Da Nang,Trường Đại Học Duy Tân,Đại Học Duy Tân
15147,Đại Học Đà Nẵng-Trường Đại Học Sư Phạm,Trường Đại Học Sư Phạm - ĐHĐN,Đại Học Sư Phạm - ĐHĐN
15148,Trường THPT Đoàn Thượng,Trường THPT Đoàn Thượng,THPT Đoàn Thượng
15149,"THCS Bình Đông ,Quận 8 Tp.HCM",Trường THCS Bình Đông,THCS Bình Đông
15150,Trường THCS Trần Quý Cáp Điện Phước,Trường THCS Trần Quý Cáp,THCS Trần Quý Cáp
15151,Family University,Đào tạo Quốc tế (SIE) - Trường Đại học Bách Khoa Hà Nội,Đào tạo Quốc tế
15152,Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,Trường Đại học Kinh tế Tài chính TP.HCM,Đại học Kinh tế Tài chính TP.HCM
15153,Trường Thpt Chu Văn An,Trường THPT Chu Văn An (Trường Bưởi),THPT Chu Văn An
15154,Cao đẳng công nghiệp,Trường Cao đẳng nghề Công nghiệp Hà Nội,Cao đẳng nghề Công nghiệp Hà Nội
15155,Trường THPT Nghi Lộc 1,Trường THPT Nguyễn Duy Trinh,THPT Nguyễn Duy Trinh
15156,Cao đẳng sư phạm Tây Ninh,Trường Cao Đẳng Sư Phạm Tây Ninh,Cao Đẳng Sư Phạm Tây Ninh
15157,thptdiemdien,Trường THPT Diêm Điền,THPT Diêm Điền
15158,THPT HIẾU NHƠN,Trường THCS và THPT Hiếu Nhơn,THCS và THPT Hiếu Nhơn
15159,THPT Võ Trường Toản-Xuân Tây,Trường THPT Võ Trường Toản,THPT Võ Trường Toản
15160,THPT AN LẠC  Thành phố Hồ Chí Minh,Trường THPT An Lạc,THPT An Lạc
15161,"THPT Trương Định Thị xã Gò Công,Tiền Giang",Trường THPT Trương Định,THPT Trương Định
15162,THPT Thị Xã Cao Lãnh,Trường THPT Thị Xã Cao Lãnh,THPT Thị Xã Cao Lãnh
15163,THPT Hoàng Hoa Thám - quận Bình Thạnh. TpHCM,Trường THPT Hoàng Hoa Thám,THPT Hoàng Hoa Thám
15164,Truong THCS Lộc Nga,Trường THCS Lộc Nga,THCS Lộc Nga
15165,Trường Trung Học Cơ Sở Tân Thới,Trường Trung Học Cơ Sở Tân Thới,Trung Học Cơ Sở Tân Thới
15166,Trường THCS Tô Ký,Trường THCS Tô Ký,THCS Tô Ký
15167,cap 2-3 luong the vinh-bom bo-bu dang-binh phuoc,Trường THCS - THPT Lương Thế Vinh,THCS - THPT Lương Thế Vinh
15168,Trường THPT Cao Lãnh 2,Trường THPT Cao Lãnh 2,THPT Cao Lãnh 2
15169,THPT Kiến An - Hải Phòng,Trường Trung học phổ thông Kiến An,Trung học phổ thông Kiến An
15170,Cao Dang Kinh Te Doi Ngoai,Cao đẳng Kinh Tế Đối Ngoại,Cao đẳng Kinh Tế Đối Ngoại
15171,Phổ Thông Trung Học Mạc Đĩnh Chi,Trường THPT Mạc Đĩnh Chi,THPT Mạc Đĩnh Chi
15172,CD SP TW TP HO CHI MINH,Trường Cao đẳng Sư phạm Trung ương TP.HCM,Cao đẳng Sư phạm Trung ương TP.HCM
15173,Trung cấp Kinh Tế và Kỹ nghệ Thực Hành Phú Thọ,Trường Cao đẳng Kinh tế Kỹ nghệ thực hành Phú Thọ,Cao đẳng Kinh tế Kỹ nghệ thực hành Phú Thọ
15174,THPT Đức Phổ 2,Trường THPT Số 2 Đức Phổ,THPT Số 2 Đức Phổ
15175,THPT BC DINH QUAN,Trường THPT Định Quán,THPT Định Quán
15176,Trường THCS Phú Lâm,Trường THCS Phú Lãm,THCS Phú Lãm
15177,Trường THPT Trần Khai Nguyên,Trường THPT Trần Khai Nguyên,THPT Trần Khai Nguyên
15178,THCS Nguyễn Văn Linh(Hòa Phước),Trường THCS Nguyễn Văn Linh,THCS Nguyễn Văn Linh
15179,Trường THPT Tầm Vu 1,Trường THPT Tầm Vu,THPT Tầm Vu
15180,Truong THPT Chuyen Nguyen Dinh Chieu,Trường THPT Chuyên Nguyễn Đình Chiểu,THPT Chuyên Nguyễn Đình Chiểu
15181,Trường Đại học Công nghệ thông tin - ĐHQG HCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM,Đại học Công nghệ Thông tin ĐHQG TP.HCM
15182,THPT Nghi Lộc 4,Trường THPT Nghi Lộc 4,THPT Nghi Lộc 4
15183,Trường Đại Hoc Quốc Tế FPT Aptech,FPT Aptech Hà Nội,FPT Aptech Hà Nội
15184,Trường trung học phổ thông dân tộc nội tru bac liêu,Trường PTDT Nội trú tỉnh Bạc Liêu,PTDT Nội trú tỉnh Bạc Liêu
15185,University of Pharmacy and Medicine at Hochiminh City,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
15186,Trường Trung Học Cơ Sở Bình Hòa,Trường THCS Bình Hòa,THCS Bình Hòa
15187,Trường THCS Âu Lạc,Trường THCS Âu Lạc,THCS Âu Lạc
15188,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội","Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội","Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội"
15189,Trường THPT Ngô Quyền Tỉnh Thái Nguyên,Trường THPT Ngô Quyền,THPT Ngô Quyền
15190,THPT Diễn Châu 5,Trường THPT Diễn Châu 5,THPT Diễn Châu 5
15191,"truong thcs khanh hoi a , quan 4",Trường THCS Khánh Hội,THCS Khánh Hội
15192,Trường THPT Thủ Đức,Trường THPT Thủ Đức,THPT Thủ Đức
15193,CDSP Qui Nhơn,Trường Cao đẳng Bình Định,Cao đẳng Bình Định
15194,Trường PTTH Lương Văn Can,Trường THPT Lương Văn Can Hà Nội,THPT Lương Văn Can Hà Nội
15195,thach thanh 3,TRƯỜNG THPT THẠCH THÀNH 3,THPT THẠCH THÀNH 3
15196,ĐH Ngoại ngữ - ĐH Huế,Trường Đại Học Ngoại Ngữ Huế,Đại Học Ngoại Ngữ Huế
15197,"college of foreign language, Hue university",Trường Đại Học Ngoại Ngữ Huế,Đại Học Ngoại Ngữ Huế
15198,Thiền viện Trúc Lâm Tây Thiên,Thiền viện Trúc Lâm Tây Thiên,hiền viện Trúc Lâm Tây Thiên
15199,Phan Châu Trinh,Phan Châu Trinh,Phan Châu Trinh
15200,THCS Cần Thạnh,Trường THCS Cần Thạnh,THCS Cần Thạnh
15201,CĐ Kỹ Thuật Cao Thắng,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
15202,Trường THPT Nguyễn Hữu Huân,Trường THPT Nguyễn Hữu Huân,THPT Nguyễn Hữu Huân
15203,Trung Hoc Co So Nguyen Thi Minh Khai,Trường THCS Nguyễn Thị Minh Khai,THCS Nguyễn Thị Minh Khai
15204,Trường THPT Bắc Kiến Xương - Thái Bình,Trường THPT Bắc Kiến Xương,THPT Bắc Kiến Xương
15205,THCS Chi Lăng Q.4,Trường THCS Chi Lăng,THCS Chi Lăng
15206,Trường THPT Tư Thục Lê Quý Đôn,Trường THCS & THPT Lê Quý Đôn,THCS & THPT Lê Quý Đôn
15207,Trường Đại học Luật Huế,"Trường Đại học Luật, Đại học Huế","Đại học Luật, Đại học Huế"
15208,Trường Đại Học Sân Khấu Điện Ảnh TPHCM,Trường Đại học Sân khấu Điện ảnh Hà Nội,Đại học Sân khấu Điện ảnh Hà Nội
15209,THPT Lưu Nhân Chú,Trường THPT Lưu Nhân Chú,THPT Lưu Nhân Chú
15210,"Trường Đại học Kinh tế và Quản trị kinh doanh, Đại học Thái Nguyên",Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên,Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
15211,THCS Thủy sơn,Trường THCS Thụy Sơn,THCS Thụy Sơn
15212,Trường Cao Đẳng Công Nghiệp Bắc Ninh,Trường Cao đẳng Công nghiệp Bắc Ninh - BCi,Cao đẳng Công nghiệp Bắc Ninh - BCi
15213,trung hoc co so hung dao,Trường THCS Hưng Đạo,THCS Hưng Đạo
15214,Trung hoc co so khoi nghia,Trường Thcs Khởi Nghĩa,Thcs Khởi Nghĩa
15215,Hanoi University of Science,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội","Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội"
15216,CD Y THAI NGUYEN,Cao đẳng Y tế Thái Nguyên,Cao đẳng Y tế Thái Nguyên
15217,THCS Phú Lương Hà Đông Hà Nội,Trường THCS Phú Lương,THCS Phú Lương
15218,THPT Thuận Thành Số 1,Trường Trung học phổ thông Thuận Thành số 1,Trung học phổ thông Thuận Thành số 1
15219,Đại Học Kinh Doanh và Công Nghệ Hà Nội,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Đại học Kinh doanh và Công nghệ Hà Nội
15220,THCS Lê Văn Thịnh,Trường THCS trọng điểm Lê Văn Thịnh,THCS trọng điểm Lê Văn Thịnh
15221,THCS Đồng Kỵ,Trường THCS Đồng Kỵ,THCS Đồng Kỵ
15222,thpt hoanh bo,Trường Thpt Hoành Bồ,Thpt Hoành Bồ
15223,Ha Long & Quang Ninh,Thành phố Hạ Long,hành phố Hạ Long
15224,truong DH hang hai,Trường Đại học Hàng hải Việt Nam,Đại học Hàng hải Việt Nam
15225,Trường THPT Lương Phú,Trường THPT Lương Phú,THPT Lương Phú
15226,dai hoc ki thuat cong nghiep thai nguyen,Trường Đại Học Kỹ Thuật Công Nghiệp,Đại Học Kỹ Thuật Công Nghiệp
15227,Trường Trung Học Phổ Thông Nguyễn Trãi,Trường THPT Nguyễn Trãi - Ba Đình,THPT Nguyễn Trãi - Ba Đình
15228,THCS Lý Tự Trọng TP Nam Định,Trường THCS Lý Tự Trọng,THCS Lý Tự Trọng
15229,trung hoc co so giang son,Trường Trung học cơ sở Giang Sơn,Trung học cơ sở Giang Sơn
15230,CĐ CN và XD quảng ninh,Trường Cao đẳng Công nghiệp và Xây dựng,Cao đẳng Công nghiệp và Xây dựng
15231,DH công nghiệp Quảng Ninh,Trường Đại học Công nghiệp Quảng Ninh,Đại học Công nghiệp Quảng Ninh
15232,THCS Song Ho,Trường THCS Song Hồ,THCS Song Hồ
15233,"THPT Ngọc Tảo, Huyện Phúc Thọ, Hà Nội",Ngọc Tảo Phúc Thọ Hà Nội,ọc Tảo Phúc Thọ Hà Nội
15234,HAVOURED UNIVERSITY,Đại học Harvard (Harvard University),Đại học Harvard
15235,thpt pho moi,Trường THPT Phố Mới,THPT Phố Mới
15236,Trường THPT Mộc Lỵ,Trường THPT Mộc Lỵ,THPT Mộc Lỵ
15237,Trường THPT Lương Phú - Phú Bình - Thái Nguyên,Trường THPT Lương Phú,THPT Lương Phú
15238,"THPT Lương Ngọc Quyến,Thái Nguyên",Trường THPT Lương Ngọc Quyến,THPT Lương Ngọc Quyến
15239,THPT Nghi Lộc 3,Trường Thpt Nghi Lộc 3,Thpt Nghi Lộc 3
15240,Truong THPT dân lâp hiêp hòa 2,Trường THPT Dân lập Hiệp Hòa Số 2,THPT Dân lập Hiệp Hòa Số 2
15241,Trường Trung học cơ sở Đông Hải,Trường THCS Đông Hải,THCS Đông Hải
15242,Trung học phổ thông Gang Thép TP Thái Nguyên,Trường THPT Gang Thép,THPT Gang Thép
15243,THPT Đồng Hỷ Thái Nguyên,Trường THPT Đồng Hỷ số 1,THPT Đồng Hỷ số 1
15244,THPT Lương Phú - Phú Bình - Thái Nguyên,Trường THPT Lương Phú,THPT Lương Phú
