text,normed_text,normed_text_2
Trường Đại học Hải Phòng,Trường Đại học Hải Phòng,Đại học Hải Phòng
Trường Cao Đẳng Nghề Mỏ Hồng Cẩm Vinacomin,Cao Đẳng Nghề Mỏ Hồng Cẩm,Cao Đẳng Nghề Mỏ Hồng Cẩm
THPT Cần Đước,Trường THPT Cần Đước,THPT Cần Đước
Trường Đại học sư phạm kỹ thuật Vĩnh Long,Trường ĐH Sư phạm Kỹ thuật Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long
Đại học Kinh tế Nhà nước Tashkent,Đại học Kinh tế Nhà nước Tashkent,Đại học Kinh tế Nhà nước Tashkent
Truong Trung Hoc co so Binh Ninh,Trường Trung Học Cơ Sở Bình Ninh,Trung Học Cơ Sở Bình Ninh
Dhsp Tphcm,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,Đại học Sư phạm Thành phố Hồ Chí Minh
Hong Bang University,Đại Học Quốc Tế Hồng Bàng,Đại Học Quốc Tế Hồng Bàng
dh hong bang,Đại Học Quốc Tế Hồng Bàng,Đại Học Quốc Tế Hồng Bàng
THPT Herman Gmeiner,Trường Phổ Thông Hermann Gmeiner,Phổ Thông Hermann Gmeiner
Đh Y Hải Phòng,Trường Đại học Y Dược Hải Phòng,Đại học Y Dược Hải Phòng
Hanoi University of Science and Technology,Trường Đại học Bách khoa Hà Nội (Hanoi University of Science & Technology (HUST)),Đại học Bách khoa Hà Nội
THCS Nguyễn Đức Cảnh - Quận 6,Trường THCS Nguyễn Đức Cảnh,THCS Nguyễn Đức Cảnh
Trường THPT Chuyên Hưng Yên,Trường THPT chuyên Hưng Yên,THPT chuyên Hưng Yên
THCS Quảng Châu,Trường THCS Quang Châu,THCS Quang Châu
THCS Nguyễn Tất Thành,Trường THCS & THPT Nguyễn Tất Thành,THCS & THPT Nguyễn Tất Thành
Trường Đại Học Kiến Trúc Hà Nội,Trường Đại học Kiến trúc Hà Nội,Đại học Kiến trúc Hà Nội
THPT Chuyên Ban Cẩm Phả,Trường THPT Cẩm Phả,THPT Cẩm Phả
THPT LÊ THẾ HIẾU,trường thpt lê thế hiếu,thpt lê thế hiếu
Trường THPT Dân tộc Nội trú Tỉnh Nghệ An,Trường THPT Dân tộc Nội trú Nghệ An,THPT Dân tộc Nội trú Nghệ An
Trường THPT Âu Cơ - Đông Giang - Quảng Nam,Trường Thpt Âu Cơ,Thpt Âu Cơ
Ttgdtx Chu Văn An,Trung Tâm GDTX Chu Văn An,GDTX Chu Văn An
THCS thuong dat,Trường THCS Thượng Đạt,THCS Thượng Đạt
Truong THCS va THPT Hieu Nhon,Trường THCS và THPT Hiếu Nhơn,THCS và THPT Hiếu Nhơn
Đại học Kinh tế - Kỹ thuật Bình Dương,Trường Đại học Kinh tế - Kỹ Thuật Bình Dương,Đại học Kinh tế - Kỹ Thuật Bình Dương
THPT Yên Phong I,Trường THPT Yên Phong số 1,THPT Yên Phong số 1
Trung Học Thực Hành Sài Gòn,Trường trung học Thực Hành Sài Gòn,trung học Thực Hành Sài Gòn
Trường Cao đẳng Du lịch Hà Nội,Trường Cao Đẳng Du Lịch Hà Nội,Cao Đẳng Du Lịch Hà Nội
Trường THPT Lê Quý Đôn Ân Thi,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
THCS Thượng Đạt,Trường THCS Thượng Đạt,THCS Thượng Đạt
Trường THPT Nam Sách,THPT Nam Sách,THPT Nam Sách
Trung học quảng hà,Trường THPT Quang Hà,THPT Quang Hà
giao thuy,Giao Thuỷ,iao Thuỷ
Cao Dang Cong Ngiep Nam Dinh,Trường Cao đẳng Công nghiệp Nam Định,Cao đẳng Công nghiệp Nam Định
nguyen cu trinh,Nguyễn Cư Trinh,uyễn Cư Trinh
ĐH Ngân Hàng Tp.HCM (Banking University HCMC),Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2),Đại Học Ngân Hàng Tp Hồ Chí Minh
Trường THPT Khoái Châu,Trường THPT Khoái Châu,THPT Khoái Châu
cao dang thong ke,Trường cao đẳng Thống Kê,cao đẳng Thống Kê
Truong THCS Cat Tien,Trường THCS Cát Tiến,THCS Cát Tiến
THCS Chất lượng cao Nguyễn Gia Thiều (Q.Tân Bình),Trường THCS Nguyễn Gia Thiều,THCS Nguyễn Gia Thiều
Hoc viện âm nhạc huế,Học viện Âm nhạc Huế,Học viện Âm nhạc Huế
Truong THPT Luong The Vinh Hau Giang,Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh
CAO DANG CONG DONG HAU GIANG,Trường Cao Đẳng Cộng Đồng Hậu Giang,Cao Đẳng Cộng Đồng Hậu Giang
THPT Phong Phú,Trường THPT Phong Phú,THPT Phong Phú
THPT Lộc Hưng,Trường THPT Lộc Hưng,THPT Lộc Hưng
Trường THPT Tiên Lãng -TP. Hải Phòng,Trường THPT Tiên Lãng,THPT Tiên Lãng
Trường THPT Bình Sơn,Trường THPT Bình Sơn,THPT Bình Sơn
THCS Lê Quý Đôn- Hải Dương,Trường THCS Lê Quý Đôn,THCS Lê Quý Đôn
trung hoc pho thong Nhi Chieu,Trường Trung Học Phổ Thông Nhị Chiểu,Trung Học Phổ Thông Nhị Chiểu
Truong Dai Hoc Kinh Te Quoc Dan,Trường Đại Học Kinh Tế Quốc Dân,Đại Học Kinh Tế Quốc Dân
THPT Lạng Giang số 2,Trường THPT Lạng Giang số 2,THPT Lạng Giang số 2
"Trường THCS Nguyễn An Ninh, Quận 12, TpHCM",Trường Trung Học Cơ Sở Nguyễn An Ninh,Trung Học Cơ Sở Nguyễn An Ninh
CFVG - Trung Tâm Pháp Việt Đào Tạo Về Quản Lý,Trung Tâm Pháp Việt Đào Tạo Về Quản Lý,Pháp Việt Đào Tạo Về Quản Lý
San Francisco State University,Đại học Công lập San Francisco (San Francisco State University),Đại học Công lập San Francisco
THPT Huỳnh Thúc Kháng,Trường THPT Huỳnh Thúc Kháng,THPT Huỳnh Thúc Kháng
THCS Chu Văn An - Chí Linh - Hải Dương,Trường Trung học cơ sở Chu Văn An,Trung học cơ sở Chu Văn An
Khoa Dược - Đại học Y Dược TP.HCM,Khoa Dược - Đại học Y Dược TP.HCM,Khoa Dược - Đại học Y Dược TP.HCM
cao đẳng thực hành FPT,Trường Cao đẳng FPT Polytechnic,Cao đẳng FPT Polytechnic
THPT Lê Quý Đôn - Cẩm Phả - Quảng Ninh,THPT Lê Quý Đôn,THPT Lê Quý Đôn
Saigon Tourist Hospitality College,Trường Trung cấp Du lịch và Khách sạn Saigontourist (Saigontourist Hospitality College),Trung cấp Du lịch và Khách sạn Saigontourist
Trung hoc co so Dong Xuan,Trường THCS Đông Xuân,THCS Đông Xuân
truong trung hoc co so xuan dong,Trường Trung Học Cơ Sở Xuân Đồng,Trung Học Cơ Sở Xuân Đồng
Trường Sỹ Quan Pháo Binh tại Sơn Tây Hà Nội,Trường Sĩ Quan Pháo Binh,Sĩ Quan Pháo Binh
Trường THPT Nguyễn Trãi - Quảng Bình,Trường THPT Nguyễn Trãi - Quảng Bình,THPT Nguyễn Trãi - Quảng Bình
THCS va THPT Trần Ngọc Hoằng,Trường THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ,THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ
Trường THPT Vĩnh Cửu,Trường THPT Vĩnh Cửu,THPT Vĩnh Cửu
Trường THCS Minh Thành,Trường THCS Minh Thành,THCS Minh Thành
Trung Học Phổ Thông Vĩnh Xuân,Trường THPT Vinh Xuân,THPT Vinh Xuân
THCS Lương Thế Vinh - Thái Bình,Trường THCS Lương Thế Vinh,THCS Lương Thế Vinh
THP Việt Nam,Công Ty Tnhh Đầu Tư & Phát Triển Thp Việt Nam,Công Ty Tnhh Đầu Tư & Phát Triển Thp Việt Nam
THPT Nguyễn Bỉnh Khiêm - Phú Yên,Trường THPT Nguyễn Bỉnh Khiêm,THPT Nguyễn Bỉnh Khiêm
trung học phổ thông Quỳnh Côi,Trường THPT Quỳnh Côi,THPT Quỳnh Côi
cao dang tai chinh quan tri kinh doanh,Trường Cao Đẳng Tài Chính - Quản Trị Kinh Doanh,Cao Đẳng Tài Chính - Quản Trị Kinh Doanh
Trường THPT Chuyên Trần Đại Nghĩa,Trường THPT Chuyên Trần Đại Nghĩa,THPT Chuyên Trần Đại Nghĩa
DH Y Duoc TP Ho Chi Minh,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
THPT Thanh Ha,Trường THPT Thanh Hà,THPT Thanh Hà
THPT DL Dinh Tien Hoang,Trường THPT Đinh Tiên Hoàng,THPT Đinh Tiên Hoàng
Cao đẳng kỹ thuật Đồng Nai,Trường Cao Đẳng Kỹ Thuật Đồng Nai,Cao Đẳng Kỹ Thuật Đồng Nai
THPT Dương Minh Châu,Trường THPT Dương Minh Châu,THPT Dương Minh Châu
"Truong THPT Nguyen CHi Thanh(Quang Dien, TT - Hue)",Trường THPT Nguyễn Chí Thanh,THPT Nguyễn Chí Thanh
THPT Thái Phiên Hải Phòng,Trường THPT Thái Phiên,THPT Thái Phiên
THPT Trần Đại Nghĩa,Trường THPT Trần Đại Nghĩa,THPT Trần Đại Nghĩa
"THPT Tư thục Bùi Thị Xuân tp. Biên Hoà - Đồng Nai, Việt Nam",Trường THPT Bùi Thị Xuân,THPT Bùi Thị Xuân
Trung học phổ thông Cẩm Khê,Trường THPT Cẩm Khê,THPT Cẩm Khê
Trường THPT Vĩnh Cửu,Trường THPT Vĩnh Cửu,THPT Vĩnh Cửu
truong THCS Thoai Ngoc Hau,THCS Thoại Ngọc Hầu,THCS Thoại Ngọc Hầu
THPT Nguyễn Ngọc Thăng - Bến Tre,Trường THPT Nguyễn Ngọc Thăng,THPT Nguyễn Ngọc Thăng
Đai hoc Cong Nghiep TPHCM,Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
THPT Tuy Phước II,Trường THPT Số 2 Tuy Phước,THPT Số 2 Tuy Phước
Trường Cao đẳng nghề Thái Bình,Trường Cao Đẳng Nghề Thái Bình,Cao Đẳng Nghề Thái Bình
Trường Đại học Dân lập Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng
THPT Quảng Uyên,Trường THPT Quảng Uyên,THPT Quảng Uyên
Trường Cao đẳng Sư phạm Cao Bằng,Trường Cao đẳng Sư phạm Cao Bằng,Cao đẳng Sư phạm Cao Bằng
thcs ninh hai,Trường THCS Ninh Hải,THCS Ninh Hải
học viện bóng đá manchesterunited,Đội trẻ và Học viện Manchester United F.C.,Đội trẻ và Học viện Manchester United F.C.
THPT NAM TIỀN HẢI,Trường THPT Nam Tiền Hải,THPT Nam Tiền Hải
Trường Đại học Tổng hợp nghiên cứu công nghệ MISIS,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội","Đại học Công nghệ, Đại học Quốc gia Hà Nội"
THPT Kim Dong,Trường THPT Kim Động,THPT Kim Động
Truong THPT Le Minh Xuan,Trường THPT Lê Minh Xuân,THPT Lê Minh Xuân
THCS Lê Văn Tám,Trường THCS Lê Văn Tám,THCS Lê Văn Tám
THPT Nguyễn Chí Thanh,Trường THPT Nguyễn Chí Thanh,THPT Nguyễn Chí Thanh
Trường THPT Đức Trí,Trường THPT Trí Đức,THPT Trí Đức
THCS Hoa Lư q9,THCS Hoa Lư,THCS Hoa Lư
Trường THCS Đồng Hiệp,Trường THCS Đông Hiệp,THCS Đông Hiệp
Trường Trung Học Phổ Thông Tiên Lãng,Trường THPT Tiên Lãng,THPT Tiên Lãng
"THPT Binh Khanh, Can Gio, TPHCM",Trường THPT Bình Khánh,THPT Bình Khánh
trung hoc pho thong thoi lai,TRƯỜNG THPT THỚI LAI,THPT THỚI LAI
Trường trung Cấp Văn Hoá Nghệ Thuật Cần Thơ,Gia sư âm nhạc - Trung tâm đào tạo năng khiếu,ia sư âm nhạc - Tr đào tạo năng khiếu
trung dai hoc ha noi,Trường Đại học Hà Nội,Đại học Hà Nội
THCS Trang Luong,Trường THCS Tràng Lương,THCS Tràng Lương
Viện đào tạo quốc tế - Đại học bách khoa Hà Nội,Đào tạo Quốc tế (SIE) - Trường Đại học Bách Khoa Hà Nội,Đào tạo Quốc tế
THPT DL Đăng Khoa,Trường THPT dân lập Đăng Khoa,THPT dân lập Đăng Khoa
Trường THPT Vị Thanh,Trường THPT Vị Thanh,THPT Vị Thanh
thcs Doan ket,Trường THCS Đoàn Kết,THCS Đoàn Kết
THCS Đoàn Kết,Trường THCS Đoàn Kết,THCS Đoàn Kết
Trường cao Đẳng kinh tế Đối Ngoại,Cao đẳng Kinh Tế Đối Ngoại,Cao đẳng Kinh Tế Đối Ngoại
THPT TAY Tien Hai,Trường THPT Tây Tiền Hải,THPT Tây Tiền Hải
Trường Đại Học Điều Dưỡng Nam Định,Trường Đại học Điều dưỡng Nam Định,Đại học Điều dưỡng Nam Định
ĐH Sư Phạm Kĩ Thuật Hưng Yên,Trường Đại học Sư Phạm Kỹ Thuật Hưng Yên cơ sở Hải Dương,Đại học Sư Phạm Kỹ Thuật Hưng Yên cơ sở Hải Dương
trung hoc pho thong phuc thanh,Trường THPT Phúc Thành,THPT Phúc Thành
THCS DUC PHO 2,Trường THPT Số 2 Đức Phổ,THPT Số 2 Đức Phổ
Trung cap tong hop TPHCM,Trường trung cấp tổng hợp thành phố hồ chí minh,trung cấp tổng hợp thành phố hồ chí minh
Trường THPT Cẩm Khê,Trường THPT Cẩm Khê,THPT Cẩm Khê
trường cao đẳng công nghiệp thực phẩm việt trì,Cao đẳng Công nghiệp Thực phẩm,Cao đẳng Công nghiệp Thực phẩm
DH Kinh Tế - DH Quốc Gia HN,Trường Đại học Kinh tế - ĐHQGHN,Đại học Kinh tế - ĐHQGHN
THPT Mĩ Hào,Trường THPT Mỹ Hào,THPT Mỹ Hào
THPT Le Thi Hong Gam Q.3,Trường THPT Lê Thị Hồng Gấm,THPT Lê Thị Hồng Gấm
THPT Bac Kien Xuong,Trường THPT Bắc Kiến Xương,THPT Bắc Kiến Xương
THCS Hậu GIang,Trường THCS Hậu Giang,THCS Hậu Giang
Trường THPT Yên Mỹ,Trường THPT Yên Mỹ,THPT Yên Mỹ
Trường THCS Bình Đông,Trường THCS Bình Đông,THCS Bình Đông
THPT Nam Sách,THPT Nam Sách,THPT Nam Sách
cdsp hai duong,Trường cao đẳng sư phạm hải dương,cao đẳng sư phạm hải dương
Trường THPT Triệu Quang Phục,Trường THPT Triệu Quang Phục,THPT Triệu Quang Phục
"THCS An vĩ, khoái châu, hưng yên",THCS An Vĩ,THCS An Vĩ
"THPT Mỹ Hiệp, Chợ Mới, An Giang",Trường THPT Nguyễn Văn Hưởng,THPT Nguyễn Văn Hưởng
Trường THCS Thống Nhất,Trường THCS Thống Nhất,THCS Thống Nhất
Trường Trung Cấp Văn Hóa Nghệ Thuật Đồng Nai,Trường Trung cấp Văn hóa Nghệ thuật Đồng Nai,Trung cấp Văn hóa Nghệ thuật Đồng Nai
Đại Học Sư Phạm Hà Nội - HNUE,Trường Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
ĐH Mở Tp HCM - HCM City Open University,Trường ĐH Mở TP. Hồ Chí Minh,ĐH Mở TP. Hồ Chí Minh
"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc...",Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội,Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
Cao dang bach khoa hung yen,Trường Cao đẳng Bách khoa Hưng Yên,Cao đẳng Bách khoa Hưng Yên
co so Le thien,Trường Trung Học Cơ Sở Lê Thiện,Trung Học Cơ Sở Lê Thiện
THCS CẨM THÀNH - CẨM PHẢ - QUẢNG NINH,Trường THCS Cẩm Thành,THCS Cẩm Thành
"Trường Thpt Nguyễn Huệ, Quận 9, Tp. Hcm",Trường THPT Nguyễn Huệ,THPT Nguyễn Huệ
Trường THCS Phú Cường - TP Hưng Yên,Trường THCS Phú Cường,THCS Phú Cường
thpt Kim Thanh,Trường THPT Kim Thành,THPT Kim Thành
Trường THCS Ba Đình quận 5 tp hồ chí minh,Trường THCS Ba Đình,THCS Ba Đình
Truong PTTH Phu Nhuan,Trường THPT Phú Nhuận,THPT Phú Nhuận
THPT BÁN CÔNG KIẾN XƯƠNG,Trường THPT Bán Công Hồng Đức,THPT Bán Công Hồng Đức
Gia Sư Sư Phạm HN,TRUNG TÂM GIA SƯ SƯ PHẠM HÀ NỘI,GIA SƯ SƯ PHẠM HÀ NỘI
Trường THPT Quảng Xương II,Trường THPT Quảng Xương 2,THPT Quảng Xương 2
Học viện Quân sự West Point Hoa Kỳ,Học viện Quân sự Hoa Kỳ,Học viện Quân sự Hoa Kỳ
THCS Phú Cường,THCS Phú Cường,THCS Phú Cường
THPT Vĩnh Thuận- Kiên Giang,Trường THPT Vĩnh Thuận,THPT Vĩnh Thuận
Truong DH KHTN Tphcm,Trường Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM,Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
THPT Tiểu Cần,Trường THPT huyện Tiểu Cần,THPT huyện Tiểu Cần
Trường Trung Học Cơ Sở Trần Bội Cơ,Trường THCS Trần Bội Cơ,THCS Trần Bội Cơ
Thpt Lê Quý Đôn tran yen yen bai,Trường THPT Lê Qúy Đôn,THPT Lê Qúy Đôn
Hutech - Đại Học Công Nghệ Thành Phố Hồ Chí Minh,Trường Đại Học Công Nghệ TP.HCM - HUTECH,Đại Học Công Nghệ TP.HCM - HUTECH
THPT Nguyen Huu Tho,Trường THPT Nguyễn Hữu Thọ,THPT Nguyễn Hữu Thọ
Trung học phổ thông Thái Ninh,Trường THPT Thái Ninh,THPT Thái Ninh
Trường Trung Học Phổ Thông Nguyễn Thông - Châu Thành - Long An,Trường THPT Nguyễn Thông,THPT Nguyễn Thông
Truong thcs phuong cuong xa,Trường Trung Học Cơ Sở Phương Cường Xá,Trung Học Cơ Sở Phương Cường Xá
THCS  Đồng Kỵ,Trường THCS Đồng Kỵ,THCS Đồng Kỵ
THPT Võ Nhai,Trường THPT Võ Nhai,THPT Võ Nhai
DH Tien Giang,Trường Đại học Tiền Giang,Đại học Tiền Giang
THPT TT Trương Vĩnh Ký,"Trường TH, THCS và THPT Trương Vĩnh Ký","TH, THCS và THPT Trương Vĩnh Ký"
THPT Trần Văn Giàu,Trường THPT Trần Văn Giàu,THPT Trần Văn Giàu
Trường THPT Vũ Quý,Trường THPT Chu Văn An,THPT Chu Văn An
Trường THCS Long Bình,Trường THCS Long Bình,THCS Long Bình
THPT Nguyễn Văn Tăng,Trường THPT Nguyễn Văn Tăng,THPT Nguyễn Văn Tăng
Trường Cao đẳng Nông nghiệp và Phát triển Nông thôn Bắc Bộ,Trường Cao Đẳng Nông Nghiệp Và Phát Triển Nông Thôn Bắc Bộ,Cao Đẳng Nông Nghiệp Và Phát Triển Nông Thôn Bắc Bộ
THPT Kỳ Lâm,TRƯỜNG THPT KỲ LÂM,THPT KỲ LÂM
THCS Hoàng Hanh 9a,Trường THCS Hoàng Hanh,THCS Hoàng Hanh
truong thpt dang huy tru,Trường THPT Đặng Huy Trứ,THPT Đặng Huy Trứ
THCS Nguyễn Văn Trỗi Q2,Trường THCS Nguyễn Văn Trỗi,THCS Nguyễn Văn Trỗi
Trường PTTH Hòn Gai,Trường THPT Hòn Gai,THPT Hòn Gai
truong trung hoc pho thong Gia Loc,Trường THPT Gia Lộc,THPT Gia Lộc
Trường Đại học Hải Dương,Trường Đại Học Hải Dương,Đại Học Hải Dương
Truong Dai hoc kinh te ky thuat Hai Duong,Trường Đại Học Kinh Tế - Kỹ Thuật Hải Dương,Đại Học Kinh Tế - Kỹ Thuật Hải Dương
THCS Nguyễn Văn Phú,Trường THCS Nguyễn Văn Phú,THCS Nguyễn Văn Phú
"THPT Nguyễn Du, Kiến Xương, Thái Bình",Trường THPT Nguyễn Du,THPT Nguyễn Du
Trường THPT Tây Sơn,Trường THPT Tây Sơn,THPT Tây Sơn
Đại học Đà Lạt,Trường Đại Học Đà Lạt,Đại Học Đà Lạt
THPT Vũ Văn Hiếu-Hạ Long-Quảng Ninh - Việt Nam,Trường THPT Vũ Văn Hiếu,THPT Vũ Văn Hiếu
Trung Hoc Pho Thong A Binh Luc,Trường THPT Nam Lý,THPT Nam Lý
Truong THPT Cam Giang1,Trường THPT Cẩm Giàng,THPT Cẩm Giàng
THCS Phong Huy Lĩnh,Trường THCS Phong Huy Lĩnh,THCS Phong Huy Lĩnh
Cao Đẳng Kinh Tế Đối Ngoại TPHCM,Cao đẳng Kinh Tế Đối Ngoại,Cao đẳng Kinh Tế Đối Ngoại
Trường THPT Tân Yên số 1-Tân yên-Bắc Giang,Trường THPT Tân Yên Số 1,THPT Tân Yên Số 1
THPT Cộng Hiền,Trường THPT Cộng Hiền,THPT Cộng Hiền
Tây Ninh High School,Trường THPT Tây Ninh,THPT Tây Ninh
THPT Chuyên Hà Nam,"Trường Trung học phổ thông chuyên Biên Hòa, Hà Nam","Trung học phổ thông chuyên Biên Hòa, Hà Nam"
THCS Mê Linh,Trường THCS Mê Linh,THCS Mê Linh
Trường Cao Đẳng Sư Phạm Thái Bình,Trường Cao đẳng Sư phạm Thái Bình,Cao đẳng Sư phạm Thái Bình
