text,normed_text
"Trường THPT Vinh Lộc, Phú Lộc,Thừa Thiên Huế",THPT Vinh Lộc
Học Viện Nông Nghiệp Việt Nam,HV Nông nghiệp Việt Nam
Trường Đại Học Tại Chức Cần Thơ,ĐH Kỹ thuật Công nghệ Cần Thơ
cao đẳng nông lâm yên bái,CĐ Nông Nghiệp Nam Bộ
Trường Trung Học Phổ Thông Hậu Nghĩa-Đức Hòa-Long An-ViệtNam,THPT Hậu Nghĩa
THPT Châu Thành 2,THPT Châu Thành
Truog thpt hoang van thu-nam dinh,THPT Hoàng Văn Thụ
Truong trung hoc pho thong Mai Thanh The,THPT Mai Thanh Thế
ptth chau thanh b,THPT Diệp Minh Châu
"THPT Nguyễn Chí Thanh, Tây Ninh",THPT Nguyễn Chí Thanh
truong Trường THPT binh thuan,THPT Bình Thuận
Truong cd duoc tw HD,CĐ Dược Trung ương Hải Dương
TT GDTX thai hoa,GDNN-GDTX Thái Hòa
cao dang gao thong van tai 2,CĐ Nghề Giao thông vận tải Trung ương
Trường THPT nguyen hien,THPT Nguyễn Hiền
cao đẳng công nghiệp xây dựng quảng ninh,CĐ Công nghiệp và Xây dựng
truong pho thong trung hoc ham thuan nam,THPT Lương Thế Vinh
THPT lào cai,THPT Lào Cai
Truong Cao Dang Dai Viet Sai Gon,CĐ Đại Việt Sài Gòn
cao đẳng ktkt vinatex,CĐ Công Nghệ TP.HCM
tc nghe cong nghiep xay dung fico,TC Nghề Công nghiệp
trung tam gdnn gdtx binh dai,GDNN-GDTX Bình Đại
Công nghệ thông tin nha trang,ĐH Nha Trang
đại học y_duoc hue,ĐH Y Dược Huế
Trường THPT phan dinh giot,THPT Phan Đình Giót
tc phat hoc hue,TC Phật Học Huế
"Trường THPT Tran Quoc Toan, Cao Lãnh, Đồng Tháp",THPT Trần Quốc Toản
hai phong univercity,ĐH Hải Phòng
THPT Số 1 Đức Phổ,THPT Đức Phổ
Prince of Songkla University,ĐH Hoàng tử Songkla
THPT Hòn Gai - TP Hạ Long - QN,THPT Hòn Gai
cao dang công nghiep và xay dung,CĐ Công nghiệp và Xây dựng
Trường THPT Hà Lang,THPT Hạ Lang
"THPT Nguyễn Trường Tộ, Tp. Tuy Hòa, Tỉnh Phú Yên",THPT Nguyễn Trường Tộ
Trường THPT xuan hoa,THPT Xuân Hòa
THPT Hà Nội - Amsterdam,THPT chuyên Hà Nội Amsterdam
đại học nha tang,ĐH Nha Trang
THPT HÀ HUY TẬP-NHA TRANG-KHÁNH HOÀ,THPT Hà Huy Tập
"THPT An Nghĩa, Cần Giờ",THPT An Nghĩa
đại học cồng đoàn hà nội,ĐH Công Đoàn
cao đẳng_đh cn,ĐH Công nghiệp TP.HCM
đại họcc công nghiệp ha noi,ĐH Công nghiệp Hà Nội
Trung cấp cảnh sát vũ trang,CĐ Cảnh Sát Nhân Dân
cao dang cong dong lao cai,CĐ Cộng Đồng Lào Cai
TrườngTHPT Tân Lược,THPT Tân Lươc
cao đẳng công nghiêp,CĐ nghề Công nghiệp Hà Nội
HANU - Hanoi University,ĐH Hà Nội
đại học công nghệ - đại học quốc gia hà nội (uet-vnu),ĐH Công nghệ - ĐH Quốc gia Hà Nội
cao dang van hoa nghe thuat vinh,CĐ Văn hóa Nghệ thuật Nghệ An
đh khxh & nv,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
Đại học Quản lý và Kinh doanh Hà Nội(HUBM),ĐH Kinh doanh Công nghệ Hà Nội
cao đẳng kinh tế kĩ thật thương mại,CĐ Kinh tế Kỹ thuật Thương mại
truong thph y jut,THPT Y Jút
cao đẳng cộng động vĩnh long,CĐ Vĩnh Long
Trường THCS-THPT hoanh mo,THCS-THPT Hoành Mô
Trung cấp thương nghiệp đà nẵng,CĐ Thương mại Đà Nẵng
truong ptth Lê Quý Đôn q3,THPT Lê Quý Đôn
Trường THPTTH Ngô Quyền - Nam Định,THPT Ngô Quyền
dân lập hải phòng,ĐH Quản lý Công nghệ Hải Phòng
truong trung cap y te an giang,CĐ y tế An Giang
th Trường THCS-THPT tran quoc tuan,THCS-THPT Trần Quốc Tuấn
THPT Kim Liên,THPT Kim Liên
đại học y dược nha trang,CĐ Y Dược Sài Gòn
PTTH Phú Riềng,THPT Phú Riềng
"đại học mở tphcm, cơ sở long bình tân",ĐH Mỹ Việt Nam
THPT Hac Dich,THPT Hắc Dịch
cd sư phạm tây ninh,CĐ Sư Phạm Tây Ninh
cd sp hà nội,CĐ Sư Phạm Hà Nội
cao dang nghe cnc đồng an,CĐ Công Nghệ Cao Đồng Nai
THPT Phú Lộc,THPT Phú Lộc
cd cn dt may thoi trang ha noi,CĐ May Thiết Kế Thời Trang Hà Nội
đại học mĩ thuật tp,ĐH Mỹ thuật TP.HCM
cao đẳng tm và dl hn,CĐ Thương mại Du Lịch
cao đẳng kĩ thuật công nghệp bắc giang,CĐ Kỹ thuật Công nghiệp
THPT giong rieng KG,THPT Giồng Riềng
cao dang nghe du lich cua lo nghe an,CĐ nghề Du lịch Thương mại Nghệ An
thph thieu hoa,THPT Thiệu Hoá
THPT Phan Chu Trinh Đà Nẵng,THPT Phan Châu Trinh
Trường THPT ong ich khiem,THPT Ông Ích Khiêm
HK University,ĐH Hồng Kông
CD KT ĐỐI NGOẠI,CĐ Kinh Tế Đối Ngoại
cao đẳng văn hóa nghệ thuật dăk lăk,CĐ Văn hoá Nghệ thuật Đắk Lắk
trung hoc pho thong hoa phu,THPT Hòa Phú
Trường Ptdtnt tỉnh Lai Châu,THPT DTNT Lai Châu
cao đẳng y tế  hà  nội,CĐ Y tế Hà Nội
Đại học Ngoại Ngữ - ĐHQG Hà Nội (ULIS-VNU),ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
đại học sư pham hà nôi,ĐH Sư phạm Hà Nội
đại học lâm nghiêọ việt nam,ĐH Lâm nghiệp
cao dang kinh te tai chinh tn,CĐ Kinh Tế Tài Chính Thái Nguyên
THPT 1 Văn Bàn,THPT Văn Bàn
cao đẳng nghề công nghiệp việt bắc _ tkv,CĐ Nghề Công Nghiệp Việt Bắc
"THPT An Lương Đông, Phú Lộc, Thừa Thiên Huế",THPT An Lương Đông
cd kinh te ki thuat thaj nguyen,CĐ Kinh Tế Kỹ Thuật Thái Nguyên
đại học công ngiệp thái nguyên,ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên
cd giao thong van tai mien nui,CĐ Giao Thông Vận Tải Miền Trung Nghệ An
Trường Cao Đẳng Nghề Số 3 - Quân khu 3,CĐ Nghề Bộ Quốc Phòng
cao dang vhnt nha trang,CĐ Văn Hóa Nghệ Thuật Du Lịch Nha Trang
Trường Thpt Ernst Thalmann Q1,THPT Ernst Thälmann
Trường Cao đẳng Kinh tế - Kỹ thuật Quảng Nam,CĐ Quảng Nam
DH QB,ĐH Quảng Bình
Trường Cao Đẳng Sư Phạm Huế,CĐ Sư phạm Huế
trương trung hoc phổ thông đồng xoài,THPT Đồng Xoài
Đại học Oxford,ĐH Padova
cao dang su pham huế,CĐ Sư phạm Huế
đh qui nhon,ĐH Quy Nhơn
THPT Phan Ngoc Hien - Can Tho,THPT Phan Ngọc Hiển
Trường THPT Tây Sơn-Đà Lạt,THPT Tây Sơn
Truong Trường THPT VAN NHAM,THPT Vân Nham
đại học kỹ thuật phú thọ sài gòn,ĐH Bách khoa - ĐH Quốc gia TP.HCM
cao đẳng công nghiệp dệt may thời trang hà nội,CĐ May Thiết Kế Thời Trang Hà Nội
THCS-THPT Hau Thanh Dong,THCS-THPT Hậu Thạnh Đông
STU,ĐH Công Nghệ Sài Gòn
cd sư phạm tphcm,CĐ Sư phạm Trung ương TP.HCM
đhsp kĩ thuật tp hồ chí minh,ĐH Sư phạm Kỹ thuật TP.HCM
truong pt nhieu cap hoc quang dong,THPT Quảng Đông
thpt da teh,THPT Đạ Tẻh
Trường Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,ĐH Tài Nguyên Môi Trường TP.HCM
đại học công ngiệp 1,ĐH Công nghiệp Hà Nội
đại học sp nghệ thuật trung ương,ĐH Sư Phạm Nghệ Thuật Trung Ương
đại học điện lực - hà nội,ĐH Điện Lực
đại học khai phóng châu âu,ĐH Bath Spa
UEF,ĐH Kinh Tế Tài Chính TP.HCM
đại học bình dươngbình,ĐH Bình Dương
Trường THCS dân lập Hồng Hà,THPT Hồng Hà
THPT Cao Thắng,THPT Cao Thắng
cao đẳng vhnt đồng nai,TC Văn hóa Nghệ thuật
cd cn hn,CĐ nghề Công nghiệp Hà Nội
cao đẳng việt bắc,CĐ Văn hóa Nghệ thuật Việt Bắc
Trường THPT AN Lão - TP.Hải Phòng,THPT An Lão
Trường THPT thị xã Phước long -bình phươc,THPT Phước Long
cao dang sp tw tp ho chi minh,CĐ Sư phạm Trung ương TP.HCM
cao đẳng nghề cơ điện luyện kim - thái nguyên,CĐ Nghề Cơ Điện Luyện Kim Thái Nguyên
THPT Chuyen Le Quy Don - Khanh Hoa,THPT Chuyên Lê Quý Đôn
cao dang tdtt thanh hoa,CĐ Thể Dục Thể Thao Thanh Hóa
Thpt Trần Tất Văn An Lão Quốc Tuấn,THPT Trần Tất Văn
trung hoc phô thông nghi lộc5,THPT Nghi Lộc
"TRƯỜNG THPT TRẦN HƯNG ĐẠO, HẢI PHÒNG",THPT Trần Hưng Đạo
cao dang cn va xd quangninh,CĐ Công nghiệp và Xây dựng
tt gdnn gdtx ben cau,GDNN-GDTX Bến Cầu
DH Ngoại ngữ Đà nẵng,ĐH Ngoại ngữ - ĐH Đà Nẵng
Truong PT DT-NT-Bac Lieu,THPT DTNT Bạc Liêu
cd nghe nong lam trung bo,CĐ Cơ điện Xây dựng và Nông Lâm Trung bộ
đh sư phạm hn 1,ĐH Sư phạm Hà Nội
đại học sư phạm  kỹ thuật vinh - nghệ an,ĐH Sư Phạm Kỹ Thuật Vinh
đại học phương nam,TC Phương Nam
đhyd tphhcm,ĐH Y Dược TP.HCM
dh hue_khoa du lich,ĐH Huế
"THPT Nguyễn Trãi,Ninh Hòa,Khánh Hòa",THPT Nguyễn Trãi
"Trường Trung học phổ thông Chu Văn An, Ninh Thuận",THPT Chu Văn An
DH Xay Dung,ĐH Xây Dựng Hà Nội
Trường Cao Đẳng Phát Thanh Truyền Hình 1,CĐ Phát Thanh Truyền Hình
đh kỹ thuật-hậu cần cand,ĐH Kỹ thuật Hậu cần Công an Nhân dân
trung tam dn hn va gdtx nghixuan,GDNN-GDTX NghiXuân
THPT Truøng Chjnh,THPT Trường Chinh
cao đẳng công nghệ đà nẵng đại học đà nẵng,ĐH Sư Phạm Kỹ thuật - ĐH Đà Nẵng
đại học sư phạm kĩ thuật thành phố hồ chí minh,ĐH Sư phạm Kỹ thuật TP.HCM
đại học king kong,ĐH Kinh doanh Công nghệ Hà Nội
đại học đà nẵng - trường đại học sư phạm,ĐH Sư Phạm - ĐH Đà Nẵng
Ho Chi Minh City School of Medicine,ĐH Y Dược TP.HCM
cao dang cknn,CĐ cơ khí nông nghiệp
THPT Ngọc Tố,THPT Ngọc Tố
"THPT Giồng Ông Tố, Quận 2, TP. Hồ Chí Minh",THPT Giồng Ông Tố
THPT YÊN DŨNG SỐ II,THPT Yên Dũng
Trường ĐH Y Dược Tp HCM,ĐH Y Dược TP.HCM
cd nghe vinatex nam dinh,CĐ Nghề Kinh Tế Kỹ Thuật Vinatex
Trường THCS Trần Quang Khải,THPT Trần Quang Khải
cao dang van hoa nghe thuat du lich va sai gon,CĐ văn hóa nghệ thuật Du Lịch Sài Gòn
trung hoc pho thong quynh luu 2,THPT Quỳnh Lưu
gdnn gdtx huyen dong anh,GDNN-GDTX Đông Anh
Trường THPT Hồ Thị Kỉ,THPT Hồ Thị Kỷ
cao đẳng y ninh binh,CĐ Y tế Ninh Bình
đại học lac,ĐH Lạc Hồng
 VUC,ĐH Thương mại
THPT VAN HANH,THCS-THPT Vạn Hạnh
Trường PTTH chuyên Nguyễn Huệ Hà Đông,THPT Chuyên Nguyễn Huệ
cao đẳng y tế húê,CĐ Y tế Huế
Trường THPT ganh hao,THPT Gành Hào
Cao Đẳng Nghề Cao Lãnh,CĐ Cộng đồng Đồng Tháp
cao dang ky thuat thu duc,CĐ Kinh tế Kỹ thuật Thủ Đức
Trường THPT Nguyễn Hữu Thọ Bến Lức Long An,THPT Nguyễn Hữu Thọ
truong trung hoc pho thong nguyen huu canh,THPT Nguyễn Hữu Cảnh
Trung hoc pho thong Ben Cat,THPT Bến Cát
đại học pct,ĐH Phan Châu Trinh
đh kinh tế - luât,ĐH Kinh tế Luật - ĐH Quốc Gia TP.HCM
đh kĩ thuật y tế hải  dương,ĐH Kỹ thuật Y tế Hải Dương
Truong cd kt-kt vinatex,CĐ Công Nghệ TP.HCM
đhọc lương thế vinh nđ,ĐH Lương Thế Vinh
Phổ Thông Bình Tân,THPT Bình Tân
"THPT Gia Hội, TP Huế, Thừa Thiên Huế",THPT Gia Hội
đại học kinh tế kỹ thuật công nghiệpp,ĐH Kinh tế Kỹ thuật Công nghiệp
ute university of technical education hcm dh su pham ky thuat ho chi minh,ĐH Sư phạm Kỹ thuật TP.HCM
gdnn gdtx quan o mon,GDNN-GDTX Ô Môn
Trung Học Phổ Thông Bình Sơn,THPT Bình Sơn
Cao dang sp dien bien,CĐ sư phạm Điện Biên
cd du lich ha n0j,CĐ Du Lịch Hà Nội
THPT Trần Quốc Tuấn,THPT Trần Quốc Tuấn
cd nghe thuat tay bac,CĐ Văn Hóa Nghệ Thuật Tây Bắc
cao dang nghe viet my vatc,CĐ Việt Mỹ
đại học su phan ha noi,ĐH Sư phạm Hà Nội
Trương Đai hoc nong lam thai nguyen,ĐH Nông Lâm
cao dang suu pham ha tay,CĐ Sư Phạm Hà Tây
cao dang cong nghe thu,CĐ Công nghệ Thủ Đức
Trường Đại học Nội vụ Hà Nội/Đà Nẵng,ĐH Nội Vụ Hà Nội
Truong Cao Dang Cong Nghe Kinh Te va Thuy Loi Mien Trung,CĐ Công nghệ Kinh tế và Thủy lợi miền Trung
Trường THPT Hựu Thành,THPT Hựu Thành
cao dang ktkt dh thai nguyen,CĐ Kinh Tế Kỹ Thuật
Trường THPT cach linh tu 01 3 2020,THPT Cách Linh
Dai hoc Hufit,ĐH Ngoại ngữ - Tin học TP.HCM
"Trường THPT Lê Hồng Phong - Hà Giang, Việt Nam",THPT Lê Hồng Phong
đại học nông nghiệp 1 - trâu quỳ - gia lâm -hà nội,HV Nông nghiệp Việt Nam
gdtx meo vac,GDNN-GDTX Mèo Vạc
THPT Hùng Thắng,THPT Hùng Thắng
tthpt phan dinh phung,THPT Phan Đình Phùng
Harwart university,ĐH Harvard
Trường THPT NAM DAN2,THPT Nam Đàn
đại học công nghiệp 4 quang ngãi,ĐH Công nghiệp TP.HCM
TRƯỜNG THPT VĨNH XUÂN,THPT Vinh Xuân
cao dang thuy loi ii - hoi an,CĐ Công nghệ Kinh tế và Thủy lợi miền Trung
Trường THPT Lương Thế Vinh Highschool,THPT Lương Thế Vinh
Trường THPT pham quang tham,THPT Phạm Quang Thẩm
THTP trần văn bảy,THPT Trần Văn Bảy
truong trung hoc pho thong cao thang,THPT Cao Thắng
University of Agriculture & Forestry HCMC,ĐH Nông Lâm
Trường THPT Hòa Ninh,THPT Hòa Ninh
Trường cđ ytế hp,CĐ Y tế Hải Phòng
đại học y tế đồng nai,CĐ Y tế Đồng Tháp
Truong THPT DTNT Ninh Binh,THPT DTNT Ninh Bình
Đại học Nghệ thuật Huế,ĐH Nghệ thuật - ĐH Huế
THPT Thái Phiên,THPT Thái Phiên
Truong THPT Xuan Hung,THPT Xuân Hưng
cao dang cn thanh hoa,CĐ nghề công nghiệp Thanh Hoá
Trường PTTH Nguyễn Thiện Thuật,THPT Nguyễn Thiện Thuật
Trường trung học phổ thông 1 Mộ Dức,THPT Mộ Đức
Khoa Công Nghệ Thông Tin - Đại Học Hà Nội,ĐH Hà Tĩnh
cd công nghiệp dệt may thời trang hà nộih,CĐ May Thiết Kế Thời Trang Hà Nội
Cộng đồng Trường THPT Thái Hòa BD,THPT Thái Hòa
trung tam gdnn gdtx chon thanh,GDNN-GDTX Chơn Thành
đại học trần quốc tuấn - trường sĩ quan lục quân 1,Sĩ quan Lục quân
cao đẳng kinh tế vĩnh phúc,CĐ Kinh tế Kỹ Thuật Vĩnh Phúc
THPT Thanh Hà - Hải Dương,THPT Thanh Hà
tt gdtx hai cuong,GDNN-GDTX Hải Cường
THPT Cộng Hiền - Vĩnh Bảo - Hải Phòng,THPT Cộng Hiền
Truong Trường THPT TAN HIEP,THPT Tân Hiệp
Trường trung học phổ thông Minh Khai,THPT Nguyễn Thị Minh Khai
Trường THPTTH Long Phước,THPT Long Phước
THPT Lê Quý Đôn - Yên Bái,THPT Lê Qúy Đôn
trung hoc pho thong luc ngan 1,THPT Lục Ngạn
cao đẳng mĩ thuật hà nội,CĐ Nghệ Thuật Hà Nội
trường THPT Đốc Binh Kiều,THPT Đốc Binh Kiều
truong dhkhtn dhqghn,ĐH Khoa học Tự nhiên - ĐH Quốc gia Hà Nội
đại học kĩ thuật lê qúy đôn,HV Kỹ thuật Quân sự
cao đẳng ngề quy nhơn,CĐ Kỹ Thuật Công Nghệ Quy Nhơn
cao dang xdct do thi,CĐ Xây dựng Công trình Đô Thị
TPPT Trần Văn Bảy,THPT Trần Văn Bảy
Trường THPT tien lang,THPT Tiên Lãng
THPT Diên Hồng,THCS-THPT Diên Hồng
cao đẳng nghề long xuyên an giang,CĐ Nghề An Giang
dai hoc y duoc tp ho chi minh,ĐH Y Dược TP.HCM
Đại Học Phan Thiết,ĐH Phan Thiết
PTTH Quê Phong,THPT Quế Phong
trung hoc pho thong c kim bang,THPT Kim Bảng
Trường Cao đẳng nghề Thái Bình,CĐ Nghề Thái Bình
Trường Trung cấp kinh tế -kỷ thuật tây ninh,CĐ Kinh tế Kỹ thuật Tây Ninh
"cao dang cong dong, tien giang",CĐ Tiền Giang
trung hoc pho thong chuc dong,THPT Chúc Động
pho thong dan toc noi tru tinh bac lieu,THPT DTNT Bạc Liêu
Phổ Thông Nông Sơn,THPT Nông Sơn
Djen ckau 5,THPT Diễn Châu
THPH AnhxTanh,THPT Anhxtanh
Trường THPT Đong Hung Ha,THPT Đông Hưng Hà
cao đẳng dược việt tri,CĐ Y Dược Phú Thọ
sp tdtt hn,ĐH Sư Phạm Thể Dục Thể Thao
"ĐH GTVT cơ sở II ,Q9,TP HCM",ĐH Giao thông Vận tải
pho thong hieu phung,THPT Phùng Hưng
CDSP Kien Giang,CĐ Sư Phạm Kiên Giang
Trường THPT Phu' My,THPT Phù Mỹ
đh kinh tế kĩ thuật công nghiệp hn,ĐH Kinh tế Kỹ thuật Công nghiệp
Chuyên hưng yen,THPT chuyên Hưng Yên
thpt_pham van dong_daknong,THPT Phạm Văn Đồng
hoc thpt cao thắng ha tinh,THPT CAO THẮNG
cao đẳng kĩ thuật trang thiết bị y tế,CĐ Kỹ Thuật Trang Thiết Bị Y Tế
Trung học phổ thông Thanh Chương 1,THPT Thanh Chương
đh kinh doanh va công nghệ hn,ĐH Kinh doanh Công nghệ Hà Nội
đại học văn hóa nghệ thuật đà nẵng,CĐ Văn hóa Nghệ thuật Đà Nẵng
tt gdtx tan hong,GDNN-GDTX Tân Hồng
Trường THPT my hao,THPT Mỹ Hào
THPT Phủ Lí A,THPT A Phủ Lý
sơn động 2,THPT Sơn Động
ĐH Vinh - Nghệ An,ĐH Vinh
cao dang nghe so 4 bo quoc phong,CĐ nghề Bộ Quốc phòng
Truong cao dang ktkt thai nguyen,CĐ Kinh tế Kỹ thuật Bắc Bộ
cao đẳng cơ điện xây dựng việt xô,CĐ Nghề Cơ điện Xây dựng
tcn nghiep vu binh duong,TC Nghề Nghiệp vụ Bình Dương
đại học công trình đô thị hà nội,CĐ Xây dựng Công trình Đô Thị
Trường THPT Lộc Thành,THPT Lộc Thanh
cao dang cong nghjef tp hcm,ĐH Công nghiệp TP.HCM
Trường Trung Cấp Kỹ Thuật Nghiệp Vụ Nguyễn Hữu Cảnh,TC Kinh tế Kỹ thuật
truong trung hoc pho thong Sin Ho,THPT Sìn Hồ
Trường Thpt sơn động sô 2,THPT Sơn Động
viet yen so 1,THPT Việt Yên
THPT Trưng Vương - Quy Nhơn,THPT Trưng Vương
đh mĩ thuật công nghiệp hn,ĐH Mỹ thuật Công nghiệp
Phổ thông HỒng Bàng,THPT Hồng Bàng
đh nông - lâm bg,ĐH Nông Lâm
cd công nghiệp,CĐ nghề Công nghiệp Hà Nội
cao dang yte kien giang,CĐ Y tế Kiên Giang
Cao đẳng sư phạm Tây Ninh,CĐ Sư Phạm Tây Ninh
cđ ptth1,CĐ Phát Thanh Truyền Hình
Truong Trường THPT Quynh Coi,THPT Quỳnh Côi
"đại học kinh tế, đại học đà nẵng",ĐH Kinh tế - ĐH Đà Nẵng
cao dang cnqp,CĐ Công nghiệp Quốc phòng
đh tây nguyên bmt,ĐH Tây Nguyên
THPT Mạc Đinh Chi - Chư Păh - Gia Lai,THPT Mạc Đĩnh Chi
he thieu sinh quan truong quan su quan khu,Quân Sự Quân đoàn
"Trường THPT Bắc Sơn, Lạng Sơn",THPT Bắc Sơn
truong THPT Gia Rai,THPT Giá Rai
ĐH Giao thông sắt bộ,ĐH Giao thông Vận tải
cao dang qui nhon,CĐ Kỹ Thuật Công Nghệ Quy Nhơn
cao đẳng điện máy trung tâm hà nội,CĐ Điện Tử Điện Lạnh Hà Nội
Trường THPT cao ba quat quoc oai,THPT Cao Bá Quát
Trường THPT an vien,THPT An Viên
Trường THPT le trung kien,THPT Lê Trung Kiên
PHổ Thông Mường Bú,THPT Mường Bú
Trường ĐH Kinh Tế TP.HCM,ĐH Kinh tế TP.HCM
Trường trung hoc phổ thông ha hòa,THPT Hạ Hòa
Truong THPT Tan Dan,THPT Tân Dân
Đại học tc Bách Khoa Hà Nội,ĐH Bách khoa Hà Nội
cd tai nguyen va moi truong ho chi minh,ĐH Tài nguyên và Môi trường TP.HCM
Trường THPT nguyen an ninh,THPT Nguyễn An Ninh
Trường THCS-THPT tan tien,THCS-THPT Tân Tiến
PTDT NT Bình Thuận,THPT DTNT Bình Thuận
Trường Sĩ Quan Đặc Công,Sĩ Quan Đặc Công
Trung Học Phổ Thông Nghi Lộc 1,THPT Nguyễn Duy Trinh
trung tam gdnn gdtx vu quang,GDNN-GDTX Vũ Quang
đại học phương đông - phuong đong university,ĐH Phương Đông
Trường THPT son thinh,THPT Sơn Thịnh
truong cao dang ky thuat cong nghiep bac giang,CĐ Kỹ thuật Công nghiệp
Trường Thpt Phổ Yên,THPT Phổ Yên
"truong dai hoc cong nghe thong tin, dai hoc quoc gia thanh pho ho chi minh",ĐH Công nghệ Thông tin - ĐH Quốc gia TP.HCM
Architect University of Ho Chi Minh City,ĐH Kiến trúc TP.HCM
Trường Hermann Gmeiner Cà Mau,THPT Hermann Gmeiner
Trường THPT chuyên Nguyễn Trãi - Nguyen Trai High School in Hai...,THPT chuyên Nguyễn Trãi
đh kinh te  tp ho chi minh,ĐH Kinh tế TP.HCM
cao dang nghe thuat hai phong,TC Văn hóa Nghệ thuật
đại học luật sg,ĐH Luật TP.HCM
Trường THPT Phủ Thông,THPT Phủ Thông
Thai Binh Gifted Highschool,THPT Chuyên Thái Bình
ThPT Hạ Long,THPT Hạ Long
Trung hoc pho thong qv3,THPT Quế Võ
PTTH TAM PHUOC,THPT Tam Phước
THPT Hùng An,THPT Hùng An
thptmq,THPT Minh Quang
Trương Trường THPT so 1 bo trach,THPT Lê Quý Đôn
Truog THPT Luong The Vinh,THCS-THPT Lương Thế Vinh
cao dang gtvt 3,CĐ Giao Thông Vận Tải Đường thủy
đh kt-kt cn1 hà nội,ĐH Kinh tế Kỹ thuật Công nghiệp
THPT Moc Hoa,THPT Mộc Hoá
truong Trường THPT nguyen binh khiem,THPT Nguyễn Bỉnh Khiêm
đại học kinh tê đà nẵng,ĐH Kinh tế - ĐH Đà Nẵng
cao đẳng kinh tế kĩ thuật vinatex tp hcm,CĐ Công Nghệ TP.HCM
trung hoc pho thong Quang Xuong 1,THPT Quảng Xương
cao đẳng công nghiệp quốc pkòg,CĐ Công nghiệp Quốc phòng
cao đẳng kỹ thuật nn & ptnt nam định,CĐ KỸ THUẬT CÔNG NÔNG NGHIỆP
cd nghe cong nghiep thanh hoa,CĐ nghề công nghiệp Thanh Hoá
đại học tdtt hà nôi,ĐH Sư Phạm Thể Dục Thể Thao
"THPT Lý Tự Trọng, Thạch Hà, Hà Tĩnh",THPT Lý Tự Trọng
THPT bắc thăng long,THPT Bắc Thăng Long
TT GDTX tỉnh Ninh Thuận,GDNN-GDTX Ninh Thuận
THPT Gia Hoi,THPT Gia Hội
cd cntt tp.ho chi minh,CĐ Công Nghệ Thông Tin TP.HCM
trường Đại học học viện âm nhạc tp HCM,Nhạc Viện TP.HCM
DH Nong Lam Hue,ĐH Nông Lâm
cao dang san khau,ĐH Sân khấu Điện ảnh TP.HCM
cao dang nghe viet nam singgapo,CĐ nghề Việt Nam Singapore
THPT Lê Thanh Hiền,THPT Lê Thanh Hiền
cao dang y te tinh phu tho,CĐ Y tế Phú Thọ
truong THPT Le Hoan,THPT Lê Hoàn
đại học luật tpchm,ĐH Luật TP.HCM
đại học trần nguyên hãn- vĩnh phúc,THPT Trần Nguyên Hãn
cd xay dung so 1 ctc1,CĐ Xây dựng
truong dai hoc my thuat,ĐH Mỹ thuật TP.HCM
đại học tài nguyên và môi trường hà nôi,ĐH Tài nguyên và Môi trường Hà Nội
CNTT Ho Chi Minh,ĐH Công nghệ Thông tin - ĐH Quốc gia TP.HCM
THPT ha bac,THPT Hà Bắc
