,index,text,normed_text
25,2206,truong pt noi tru do son,Trường THPT Nội Trú Đồ Sơn
26,3676,Trường THPT quang trung,Trường THPT Quang Trung
27,8560,Thtp phan viet thong,Trường THPT Phan Việt Thống
28,12883,Trung tam GDTX Quang Dien,TT GDNN-GDTX QUẢNG ĐIỀN
29,12982,ĐHNLTN,Trường Đại học Nông Lâm
30,1580,cd nghe co dien ha noi,CĐ nghề cơ điện Hà Nội
31,10703,trung hoc pt huong khe,Trường THPT HƯƠNG KHÊ
32,4808,truong Trường THPT dinh tien hoang,Trường THPT Đinh Tiên Hoàng
33,3094,trung tam gdnn gdtx cam pha p cam son tp cam pha,"TT GDNN-GDTX Cẩm Phả P. Cẩm Sơn, TP Cẩm Phả"
34,4039,ttgdnn gdtx tan ky,TT GDNN-GDTX Tân Kỳ
35,12988,Đại học công nghệ thông tin thành phố HCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM
36,2210,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo
37,2703,truong trung hoc giao thong van tai khu vuc 1,Trường CĐ Giao thông Vận tải khu vực 1
38,13204,PTTH Tiên Hưng,Trường THPT Tiên Hưng
39,7367,truc ninh B,Trường THPT Trực Ninh B
40,8216,trung hoc an giang,Trường Trung cấp Kinh tế - Kỹ thuật An Giang
41,12285,Trường THPT THACH THANH 3,Trường THPT THẠCH THÀNH 3
42,9246,Trường THPT.yen khanh nb,Trường THPT Yên Khánh B
43,3926,Trường THPT dong son 1,Trường THPT Đông Sơn 1
44,7317,cao đẳng nghề việt đức - lạng sơn,Cao Đẳng nghề Lạng Sơn
45,7924,CĐ Kinh tế - Kỹ thuật Công nghiệp I,Trường Đại học Kinh tế Kỹ thuật Công nghiệp 
46,933,dai hoc dan lap hai phong -  haiphong private university,Đại học Dân lập Hải Phòng
47,1211,cao dang su pham daklak,Cao Đẳng Sư Phạm Đắk Lắk
48,4667,Trường THPT hung vuong,Trường THPT Hùng Vương
49,10442,Trường Kỹ Thuật Hải Quân,Trường Cao Đẳng Kỹ thuật Hải quân
50,13187,Đai hoc nong lam thanh pho,Trường Đại học Nông Lâm TP.HCM
51,8175,Lao Đông Xã Hội,Trường Đại học Lao động - Xã hội
52,14264,Trường THPTTH Ngô Quyền - Nam Định,Trường THPT Ngô Quyền
53,8114,Truong dai hoc y khoa Hue,Trường Đại học Y Dược Huế
54,3823,gdnn gdtx yen khanh,TT GDNN-GDTX Yên Khánh
55,11902,công nghiệp tp.hồ chí minh,Trường Đại học Công nghiệp TP.HCM
56,3448,cao dang kinh te ky thuat to hieu hung yen,Cao Đẳng Kinh tế Kỹ thuật Tô Hiệu Hưng Yên
57,10523,Trường THPT Nguyễn Trãi Phú yên,Trường THPT Nguyễn Trãi
58,14543,cap ba tran yen yen bai nay la trung hoc le quy don tran yen yen bai,Trường THPT Lê Qúy Đôn
59,12533,Trường THPT Chu Văn An,Trường THPT Chu Văn An 
60,10898,trung học phổ thông cẩm xuyên hà tĩnh,Trường THPT Cẩm Xuyên
61,4750,truong Trường THPT chuyen hung vuong,Trường THPT Chuyên Hùng Vương
62,8104,Trường THPT nam kì khở nghĩa,Trường THPT Nam Kỳ Khởi Nghĩa
63,6045,Trường THPT lai son,Trường THPT Lại Sơn
64,4885,trung tam gd nghe nghiep gdtx h tay hoa,TT GDNN-GDTX H. Tây Hòa
65,4145,Trường THPT le hong phong,Trường THPT Lê Hồng Phong
66,679,Đại Học Công Đoàn,Đại Học Công Đoàn
67,4327,Trường THPT chu van an,Trường THPT Chu Văn An
68,6688,truong trung hoc vinh hung,Trường THPT Vĩnh Hưng
69,13761,Trường THPT catngan,Trường THPT Cát Ngạn
70,12235,Trường THPT Long Kiến,Trường THPT Ung Văn Khiêm
71,9612,CĐ Nghe Long An,Trường Cao Đẳng Long An
72,11273,ĐẠI HỌC HÀ NỘI,Trường Đại học Hà Nội
73,14470,truong trung cap nghe kinh te ky thuat mien tay,Trường Trung Cấp Nghề Kinh Tế - Kỹ Thuật Miền Tây
74,1939,cd ky thuat phu lam,CĐ Kỹ thuật Phú Lâm
75,14400,Trường Cao Đẳng Nghề Cơ Điện Hà Nội,Trường Cao Đẳng Cơ Điện Hà Nội
76,8024,Trường cấp 3 Hà Huy tập tp.Vinh Nghệ An,Trường THPT Hà Huy Tập
77,8356,Truong pho thong dan toc noi tru tinh hoa binh,Trường THPT Dân Tộc Nội Trú Hòa Bình
78,12359,Trường THPT nang khieu Dai hoc Tan Tao,Trường THPT Năng Khiếu Đại Học Tân Tạo
79,11710,Hội Đồng Hương Trường THPT Hoàng Hoa Thám - Lệ Thủy - Quảng Bình,Trường THPT Hoàng Hoa Thám
80,3973,Trường THPT tran an chiem,Trường THPT Trần Ân Chiêm
81,13974,DHYK VINH,Trường Đại học Y khoa Vinh
82,3857,ttgdnn gdtx quan son,TT GDNN-GDTX Quan Sơn
83,11429,"Trường THPT nguyễn tri phương, bảo lộc, lâm đồng",Trường THPT Nguyễn Tri Phương
84,3168,tt gdtx tinh bac giang,TT GDTX tỉnh Bắc Giang
85,7779,Cao dang kinh te vjnh long,Phân hiệu Trường Đại học Kinh tế TP.HCM tại tỉnh Vĩnh Long
86,6205,Trường THPT chuyen nguyen binh khiem,Trường THPT chuyên Nguyễn Bỉnh Khiêm
87,13323,Trường THPT Phan Thành Tài,Trường THPT Phan Thành Tài
88,5938,Trường THPT long binh,Trường THPT Long Bình
89,12961,Trung Học Phổ Thông Cảm Nhân,Trường THPT Cảm Nhân
90,3218,tt gdnn gdtx h tan yen,TT GDNN-GDTX H.Tân Yên
91,8403,Trường CĐSP Kiên Giang - Rạch Giá - Kiên Giang,Trường Cao Đẳng Sư Phạm Kiên Giang
92,1497,cao dang ki that cao thang,Cao Đẳng Kỹ thuật Cao Thắng
93,11824,Trươg Trường THPT tân thanh,Trường THPT Tân Thành
94,10670,Hong Bang International University,Đại Học Quốc Tế Hồng Bàng
95,1174,cdbk da nang,Cao Đẳng Bách Khoa Đà Nẵng
96,5841,Trường THPT vung tau,Trường THPT Vũng Tàu
97,11363,PTTH Đông Triều,Trường THPT Đông Triều
98,8729,Trường TPPT VĨNH KIM,Trường THPT Vĩnh Kim
99,14561,Trường su pham Thái Bình,Trường Cao Đẳng Sư phạm Thái Bình
100,13984,Trường THPT DonDuong,Trường THPT Đơn Dương
101,12453,Truờng CĐ Kinh Tế Kỹ Thuật Thái Nguyên,"Trường Cao Đẳng Kinh Tế - Kỹ Thuật, Đại học Thái Nguyên"
102,6168,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi
103,782,Đại học Thành Đô,Đại học Thành Đô
104,8565,truong trung hoc pho thong tran quang dieu,Trường THPT Trần Quang Diệu
105,309,STU,Đại Học Công Nghệ Sài Gòn
106,5067,Trường THPT chuyen bao loc,Trường THPT Chuyên Bảo Lộc
107,9048,cao dang luong thuc thuc pham _dn,Trường Cao Đẳng Lương thực - Thực phẩm
108,13559,Trung học phổ thông trần cao van,Trường THPT Trần Thánh Tông
109,8070,UEF - Đại học Kinh tế Tài chính TP.HCM,Trường Đại học Kinh tế Tài chính TP.HCM
110,3768,Trường THPT chuyen luong van tuy,Trường THPT Chuyên Lương Văn Tụy
111,8427,Truong Trường THPT Chu Van An,Trường THPT Chu Văn An 
112,13525,"Trường THPT Chu van an,krongpa,gialai",Trường THPT Chu Văn An
113,6524,truong pt dtnt Trường THPT huyen dien bien dong,Trường THPT DTNT Trường THPT huyện Điện Biên Đông
114,11200,Trường Trường THPT nam tjền hảj,Trường THPT Nam Tiền Hải
115,13581,DHSP TPHCM,Trường Đại học Sư phạm TP.HCM
116,6791,dai hoc GTVT,Đại học Giao thông Vận tải
117,7605,trung cấp miền tây,Trường Trung cấp Miền Tây
118,7732,Trường THPT Doan Thi Diem thanh phu ben tre,Trường THPT Đoàn Thị Điểm
119,5633,Trường THPT tan hung,Trường THPT Tân Hưng
120,1396,dhyk pham ngoc thach,Đại Học Y Khoa Phạm Ngọc Thạch
121,2759,Trường THPT le hong phong,Trường THPT Lê Hồng Phong
122,9734,Cao đẳng Nông Nghjệp Nam Bộ,Trường Cao Đẳng nông nghiệp Nam Bộ
123,7188,xuândiệuschool,Trường THPT Xuân Diệu
124,13769,Trường Cao đẳng Kinh tế Kỹ thuật Trung ương,Cao Đẳng Kinh tế Kỹ thuật Trung Ương
125,439,TMU,Đại Học Thương Mại
126,14435,Trường Đại học Công đoàn,Trường Đại Học Công Đoàn
127,2783,tt gdtx hndn tx nghia lo,TT GDTX-HNDN Tx Nghĩa Lộ
128,868,"truong dai hoc ngoai ngu, dai hoc quoc gia ha noi",Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội
129,4263,Trường THPT nguyen huu canh tu 2019 khu vuc uu tien moi khong con la kv1 nua,Trường THPT Nguyễn Hữu Cảnh
130,4827,truong Trường THPT vo van kiet,Trường THPT Võ Văn Kiệt
131,10535,Hoàng Hoá II,Trường THPT Hoằng Hóa 2
132,7128,trung hoc pho thong Ninh Giang,Trường THPT Ninh Giang
133,8300,ĐH KT KT BD,Trường Đại học Kinh tế - Kỹ Thuật Bình Dương
134,7979,Hight school luc ngan 1,Trường THPT Lục Ngạn số 1
135,7679,TPPT YÊN LÃNG,Trường THPT Yên Lãng
136,13073,KY THUẬT CAO THẮNG,Trường Cao Đẳng Kỹ thuật Cao Thắng
137,2100,dh dl van hien,ĐH DL Văn Hiến
138,12445,Trường THPTql2,Trường THPT Quỳnh Lưu 2
139,4972,Trường THPT pham van dong,Trường THPT Phạm Văn Đồng
140,6575,Trường THPT le duan,Trường THPT Lê Duẩn
141,4410,ttgdnn gdtx huong thuy,TT GDNN-GDTX Hương Thủy
142,11632,su fam long an,Trường Cao Đẳng Sư phạm Long An
143,14273,Trường THPT Chuyên Trà Vinh,Trường THPT Chuyên Nguyễn Thiện Thành
144,7930,Trường THPT Số 1 TP Lào Cai,Trường THPT số 1 TP Lào Cai
145,8293,"RMIT Melbourne, Australia",Đại học RMIT 
146,3239,Trường THPT viet yen so 2,Trường THPT Việt Yên số 2
147,14280,Trường THPT Thái Hoà BD,Trường THPT Thái Hòa
148,11216,Đại học TDTT Đà Nẵng,Trường Đại hoc Thể dục Thể thao Đà Nẵng
149,11476,Trường THPT Hoàng Hoa Thám - QN,Trường THPT Hoàng Hoa Thám
150,9421,Hoc Vien Quan Su Cao Cap Odexa,Học viện Quốc phòng
151,13103,TT GDTX hung ha,TT GDNN-GDTX Hưng Hà 
152,4953,Trường THPT hung vuong,Trường THPT Hùng Vương
153,6465,ttgdnn cai nuoc,TTGDNN Cái Nước
154,13586,Trường THPT Nguyễn Trường Tộ - Vinh - Nghệ An,Trường THPT Dân Lập Nguyễn Trường Tộ
155,6201,so giao duc dao tao,Sở Giáo dục- Đào tạo
156,4237,Trường THPT quang trung,Trường THPT Quang Trung
157,6417,trung tam gd dn phuoc long,TT GD-DN Phước Long
158,4062,Trường THPT anh son 1,Trường THPT Anh Sơn 1
159,10775,trung hoc pho thong ngo gia tu vinh phuc,Trường THPT Ngô Gia Tự
160,13502,Trường THPT BC Trần Quốc Tuấn,Trường THPT Trần Quốc Tuấn
161,5672,cd nghe dong thap,CĐ nghề Đồng Tháp
162,6231,Trường THCS va Trường THPT phu thinh,Trường THCS-THPT Phú Thịnh
163,14098,Trường Đại Học Hoa Lư Ninh Binh,Trường Đại học Hoa Lư
164,8296,Nha Trang seaproducts university,Trường Đại học Nha Trang
165,2127,Trường THPT binh hung hoa,Trường THPT Bình Hưng Hòa
166,2056,Trường THPT tran phu,Trường THPT Trần Phú
167,3324,quan nhan cong an tai ngu_21,"Quân nhân, Công an tại ngũ_21"
168,5247,trung cap bach khoa binh duong,Trung cấp Bách Khoa Bình Dương
169,9953,"TPHT Phan Châu Trinh,TP Đông Hà,Quảng Trị",Trường THPT Phan Chu Trinh
170,12992,Truong mam non xa dinh tien,Trường mầm non định tiến
171,5856,tc nghe ktkt cong doan ba ria vt,TC nghề KTKT Công đoàn Bà Rịa - VT
172,9760,Trường THPT Lương Đắc Bằng - Hoằng Hóa,Trường THPT Lương Đắc Bằng
173,11981,truong trung hoc pho thong mai thuc loan,Trường THPT Mai Thúc Loan
174,14252,phổ thông B phủ lý,Trường THPT Phủ Lý B
175,3570,quan nhan cong an tai ngu_24,"Quân nhân, Công an tại ngũ_24"
176,7948,"National Economics University, Hanoi",Trường Đại Học Kinh Tế Quốc Dân
177,8201,Ðh tay bac,Trường Đại học Tây Bắc
178,8962,trung học phổ thông Chu Văn An,Trường THPT Chu Văn An 
179,9545,đang học cao đăng cộng đồng cà mau,Trường Cao Đẳng Cộng đồng Cà Mau
180,5108,Trường THPT da huoai,Trường THPT Đạ Huoai
181,4445,truong cd cong nghe quang nam tu 15 01 2018,Trường CĐ Công nghệ Quảng Nam
182,8066,Trường THPT Văn Hiến,Trường THPT VĂN HIẾN
183,6854,cdxd so1,Cao Đẳng Xây dựng Số 1
184,2516,tt gdnn gdtx huyen muong khuong,TT GDNN-GDTX huyện Mường Khương
185,11554,Trường THPT Tây Sơn - Bình Định,Trường THPT Tây Sơn
186,8157,SPHCM,Trường Đại học Sư phạm TP.HCM
187,5349,TT GDTX ben cau,TT GDTX Bến Cầu
188,9807,Trường THPT Nguyễn Trãi Phú yên,Trường THPT Nguyễn Trãi
189,12334,HNU,Trường Đại học Hà Nội
190,13369,TTHP so 5,Trường THPT Số 5 Bố Trạch
191,3270,cao dang cong nghiep bac ninh,Cao Đẳng Công nghiệp Bắc Ninh
192,6629,Trường THPT le quy don,Trường THPT Lê Quý Đôn
193,12724,cao dang binh binh,Trường Cao Đẳng Bình Định
194,3507,so giao duc dao tao hoa binh,Sở Giáo dục - Đào tạo Hòa Bình
195,7227,Trường THPT Chiêm Hóa TQ,Trường THPT Chiêm Hoá
196,11096,dh tran quoc tuan,Trường Sĩ quan Lục Quân 1
197,6098,phong gd dt q cai rang,Phòng GD-ĐT Q.Cái Răng
198,10824,Amstecđam,Trường THPT chuyên Hà Nội - Amsterdam
199,3827,Trường THPT dao duy tu,Trường THPT Đào Duy Từ
200,13568,Truong Trường THPT Chu Van An - Ha Noi,Trường THPT Chu Văn An 
201,638,Đại Học Khoa Học Xã Hội và Nhân Văn,Đại Học Khoa Học Xã Hội và Nhân Văn
202,9586,"University of Social Sciences and Humanities, Vietnam National University (USSH)",Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
203,14048,Trường THPT Canh Tân,Trường THPT Canh Tân
204,9945,Trường Đại Học Y Hải Phòng,Trường Đại học Y Dược Hải Phòng
205,3709,trung tam gdnn gdtx huyen hai hau,TT GDNN-GDTX huyện Hải Hậu
206,6533,truong pt dtnt Trường THPT huyen muong ang,Trường THPT DTNT Trường THPT huyện Mường Ảng
207,14379,"Trường THPT Tịnh Biên, Nhà Bàng, Tịnh Biên, An Giang",Trường THPT Tịnh Biên
208,11235,THPH Binh Phuc Nhut,Trường THPT Bình Phục Nhứt
209,8144,Trường THPT DTNT tinh Cao bang,Trường THPT DTNT tỉnh Cao Bằng
210,4611,Trường THPT duy tan,Trường THPT Duy Tân
211,3925,Trường THPT nong cong,Trường THPT Nông Cống
212,6383,trung tam day nghe va gdtx huyen tran de,TT dạy nghề và GDTX huyện Trần Đề
213,4740,Trường THPT so 2 tuy phuoc,Trường THPT Số 2 Tuy phước
214,4018,Trường THPT quynh luu 4,Trường THPT Quỳnh Lưu 4
215,5000,trung cap nghe van ninh,Trung cấp nghề Vạn Ninh
216,6969,cao dang cong nghiep nam dinh,Cao Đẳng Công nghiệp Nam Định
217,2242,Trường THPT nhu van lan,Trường THPT Nhữ Văn Lan
218,14585,Truog Trường THPT Thanh hòa,Trường THPT Thanh Hòa
219,5610,tt gdtx ktth hn chau thanh,TTGDTX&KTTH-HN Châu Thành
220,9610,phổ thông Gia Viễn B,Trường THPT Gia Viễn B
221,4465,Trường THPT luong the vinh,Trường THPT Lương Thế Vinh
222,7805,Trung hoc pho thong phu quoc,Trường THPT Phú Quốc
223,3847,TT GDTX tx bim son,TT GDTX TX Bỉm Sơn
224,2649,tt gdtx h bach thong tinh bac kan,"TT GDTX H. Bạch Thông, tỉnh Bắc Kạn"
225,4764,truong bo tuc van hoa gia lai kon tum,Trường Bổ túc văn hóa Gia Lai Kon Tum
226,12054,CĐ Nguyễn Tất Thành,Trường THCS-THPT Nguyễn Tất Thành
227,7252,Trung Cap Nghe Co Dien Viet Xo,Cao Đẳng Cơ điện xây dựng Việt Xô
228,2053,tt gdnn va gdtx thanh nien xung phong,TT GDNN-GDTX Thanh niên xung phong
229,11527,Cao Đẳng KTKT BÌNH DƯƠNG,Trường Cao Đẳng KTKT TP.HCM - Cơ Sở Bình Dương
230,4949,Trường THPT nguyen tat thanh,Trường THPT Nguyễn Tất Thành
231,3112,trung tam gdnn gdtx binhlieu,TT GDNN-GDTX BìnhLiêu
232,10028,"Trường THPT Trương Vĩnh Kí, Chợ Lách, Bến Tre",Trường THPT Trương Vĩnh Ký
233,2677,Trường THPT ngo quyen,Trường THPT Ngô Quyền
234,12772,Trường Trường THPT Lương Thúc Kỳ,Trường THPT Lương Thúc Kỳ
235,14493,Trường THPT Hai Bà Trưng Thạch Thất Hà Nội,Trường THPT Hai Bà Trưng
236,2726,cd cong nghiep thai nguyen,CĐ Công nghiệp Thái Nguyên
237,3937,Trường THPT hoang hoa 4,Trường THPT Hoằng Hoá 4
238,6667,Trường THPT le thanh tong aynpa,Trường THPT Lê Thánh Tông
239,10736,Havard University,Đại học Harvard 
240,1105,dai hoc su pham da nag,Đaị Học Sư Phạm - Đại học Đà Nẵng
241,11977,PHPT Gia viễn A,Trường THPT Gia Viễn A
242,8319,Trường THPT-Hoa Tiên-Minh Hoa-Quang Binh,Trường THCS-THPT Hóa Tiến
243,2806,Trường THCS-THPT nam bung,Trường THCS-THPT Nậm Búng
244,14104,"PTTH Nguyễn Trãi, Thanh Hóa",Trường THPT Nguyễn Trãi
245,2891,trung tam gdnn gdtx huyen moc chau,TT GDNN-GDTX huyện Mộc Châu
246,7374,dai hoc bach khoa,Đại học Bách khoa Hà Nội
247,2157,Trường THPT nguyen huu cau,Trường THPT Nguyễn Hữu Cầu
248,11261,ha noi univerity of mineral and geology,Trường Đại học Mỏ - Địa chất. 
249,6060,gdnn gdtx quan ninh kieu,TT GDNN-GDTX quận Ninh Kiều
250,5049,cao dang nghe du lich da lat,Cao Đẳng nghề Du lịch Đà Lạt
251,1823,tc nghe viet tiep,TC nghề Việt Tiệp
252,3339,Trường THPT tran phu,Trường THPT Trần Phú
253,10783,"Van Lang uni, HCM",Trường đại học Văn Lang
254,8021,Cao Đẳng Kinh tế - Kỹ Thuật TW (NETC),Cao Đẳng Kinh tế Kỹ thuật Trung Ương
255,11274,Trường THPT Hoàng Diệu Điện Thọ Điện Bàn Quảng Nam,Trường THPT Hoàng Diệu
256,7429,trung cap su pham mam non dak lak,Trường Trung Cấp Sư Phạm Mầm Non Đắk Lắk
257,10358,Trường THPT le quang chi,Trường THPT Lê Quảng Chí
258,13218,cd kinh te,Trường Cao Đẳng Kinh Tế TP.HCM
259,7304,Ho Chi Minh City Colleges Of Cul Ture And Arts Cao Đẳng Văn Hoá Nghệ Thuật Tp Hcm CVN,Cao Đẳng Văn hoá Nghệ thuật TP.HCM
260,4277,Trường THPT nguyen binh khiem,Trường THPT Nguyễn Bỉnh Khiêm
261,6445,TT GDTX thoi binh,TT GDTX Thới Bình
262,7533,Trường Đại Học Kinh Tế Tp.Hcm,Trường Đại học Kinh tế TP.HCM
263,13091,TT Giáo dục thường xuyên q12,TT GDTX Quận 12
264,7631,Trường THPT Phan Đình Phùng - Hà  Nội,Trường THPT Phan Đình Phùng
265,4212,Trường THPT chuyen vo nguyen giap,Trường THPT Chuyên Võ Nguyên Giáp
266,5114,da tehTrường THPT,Đạ TẻhTrường THPT
267,11427,DH Tây Đô,Trường Đại Học Tây Đô
268,6917,Trung hoc pho thong tho xuan 4,Trường THPT Thọ Xuân 4
269,7693,Trường THPT lê hữu trác daklak,Trường THPT Lê Hữu Trác
270,12737,Trường THPT Phú Riềng,Trường THPT Phú Riềng
271,12997,Sư phạm Trung Ương TP.HCM,Trường Cao Đẳng Sư phạm Trung ương TP.HCM
272,6661,BC TRẦN PHÚ,Trường THPT Bán Công Trần Phú
273,13440,TDTT TP CAN THO,Trường TRUNG CẤP THỂ DỤC THỂ THAO TP.CẦN THƠ
274,4373,tc nghe hue,TC Nghề Huế
275,2024,Trường THCS va Trường THPT au lac,Trường THCS-THPT Âu Lạc
276,287,UFA,Đại học Tài Chính Kế Toán
277,11853,"Trường THPT Liễn Sơn - Lập Thạch - Vĩnh Phúc Yen, Vĩnh Phúc, Vietnam",Trường THPT Liễn Sơn
278,7579,FTU k22,Trường Đại học Ngoại thương
279,13396,THCS̉ Bảo Ninh,Trường THPT Thực Nghiệm
280,4149,trung tam dn hn va gdtx duc tho,TT DN-HN và GDTX Đức Thọ
281,8810,"Trường THPT Trần Phú, Hải Châu, Đà Nẵng",Trường THPT Trần Phú
282,1038,truong dac nhiem cong an nhan dan,ĐẠI HỌC CẢNH SÁT NHÂN DÂN
283,12600,Hanoi University Thanh Xuan,Trường Đại học Hà Nội
284,10038,Trường CĐCN Sao Đỏ,Trường Cao Đẳng Công Nghiệp Sao Đỏ
285,2773,TT GDTX tinh,TT GDTX tỉnh
286,1909,tc nghe tt kinh te ky thuat sai gon 3,TC nghề TT Kinh tế kỹ thuật Sài Gòn 3
287,9591,Hanoi Specilaized School in Foreign Languages,"Trường THPT Chuyên Ngoại ngữ, Đại học Quốc gia Hà Nội"
288,3625,tt ktth hn nam dinh,TT KTTH-HN Nam Định
289,11763,truong dai hoc xay dung ha noi,Trường Đại Học Xây Dựng
290,4362,phong gdcn so gd dt tt hue,Phòng GDCN Sở GD-ĐT TT-Huế
291,4427,ttgdnn gdtx a luoi,TT GDNN-GDTX A Lưới
292,4279,Trường THPT le loi,Trường THPT Lê Lợi
293,13910,Trường THCS Nguyễn Đình Chiểu,Trường THPT CS Nguyễn Đình Chiểu
294,8566,Trường THPTTH Đoàn Thượng,Trường THPT Đoàn Thượng
295,13351,phothongquangtrung,Trường THPT Quang Trung Đống Đa
296,5296,tt gdtx dn hn ninh phuoc,TT GDTX-DN-HN Ninh Phước
297,2638,Trường THPT dan lap hung vuong,Trường THPT Dân lập Hùng Vương
298,2275,Trường THPT ton that tung,Trường THPT Tôn Thất Tùng
299,10679,Dai Hoc NLtphcm,Trường Đại học Nông Lâm TP.HCM
300,14250,Trường Trường THPT Tam Nông,Trường THPT Tam Nông
301,11647,Trung Học Phổ Thông Gang Thép-Thái Nguyên,Trường THPT Gang Thép
302,4225,Trường THPT phan boi chau,Trường THPT Phan Bội Châu
303,9921,Truong PTTH chuyen Ban Hon Gai,Trường THPTTH Chuyên Ban Hồng Gai
304,11807,Đại Học Sư Phạm Hà Nội,Trường Đại học Sư phạm Hà Nội
305,6173,Trường THPT ban cong loc thuan,Trường THPT Bán công Lộc Thuận
306,5998,trung tam gdtx tan hiep,TT GDTX Tân Hiệp
307,13687,PTDT NT Bình Thuận,Trường THPT Dân Tộc Nội Trú Tỉnh Bình Thuận
308,13443,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc...,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
309,736,Đại Học Bình Dương,Đại Học Bình Dương
310,11209,Trường Trường THPT Nguyễn Văn Hai,Trường THPT Nguyễn Văn Hai
311,12528,"Trường THPT Lê Hồng Phong, Tỉnh Phú Yên",Trường THPT Lê Hồng Phong
312,12401,ĐHNL TPHCM,Trường Đại học Nông Lâm TP.HCM
313,7843,truong Trường THPT TX phuoc long,Trường THPT Thị Xã Phước Long
314,3140,Trường THPT dong thanh,Trường THPT Đông Thành
315,3068,tt gdnn gdtx tam dao,TT GDNN-GDTX Tam Đảo
316,6742,Trường THCS Hưng Lợi,Trường THCS-THPT Hưng Lợi
317,818,dai hoc bach khoa tpho hcm,Đại Học Bách Khoa TP.HCM
318,10344,"Trường THPT BC Nguyễn Công Trứ, Mộ Đức, Quảng Ngãi",Trường THPT Nguyễn Công Trứ
319,12134,Trường THPT chuyên Lê Khiết,Trường THPT chuyên Lê Khiết
320,9347,pho thong krong no,Trường THPT Krông Nô
321,5605,tt gdtx ktth hn thu thua,TTGDTX&KTTH-HN Thủ Thừa
322,4454,truong cd cn kt tl mien trung,Trường CĐ CN-KT-TL miền Trung
323,4894,Trường THPT tran phu,Trường THPT Trần Phú
324,1629,cd nghe duong sat i,CĐ nghề đường sắt I
325,2578,pho thong dan toc noi tru atk son duong,Trường THPT Dân tộc nội trú ATK Sơn Dương
326,9286,Trường THPT Minh Khai,Trường THPT Nguyễn Thị Minh Khai
327,2216,Trường THPT kien thuy,Trường THPT Kiến Thụy
328,9102,Trường THPT so 2 Phù cát,Trường THPT số 2 Phù Cát
329,10659,Trường THPT TÂU CHÂU,Trường THPT Tân Châu 
330,2282,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi
331,1026,hoc vien ki thuat quan su khoa hoa li ki thuat,Học viện Kỹ thuật Quân sự
332,5865,Trường THPT hoa binh,Trường THPT Hòa Bình
333,8494,Trường THPTTH Duy Xuyên (Sào Nam),Trường THPT Sào Nam
334,2009,tc nghe ngoc phuoc,TC nghề Ngọc Phước
335,6237,Trường THPT huu thanh,Trường THPT Hựu Thành
336,432,HMU,Đại Học Y Hà Nội
337,5020,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
338,1831,tc nghe co dien va che bien thuc pham ha,TC nghề Cơ điện và Chế biến thực phẩm Hà
