index,text,cleaned_text
34,Lilama2,CĐ Công Nghệ Quốc Tế Lilama 2
35,Trường Cao Đẳng quốc tế lilama 2,CĐ Công Nghệ Quốc Tế Lilama 2
36,Trường Cao Đẳng Nghề Thanh Niên Dân Tộc Tây Nguyên,CĐ Công nghệ Tây Nguyên
37,Cao Đẳng CNTT TPHCM,CĐ Công Nghệ Thông Tin TP.HCM
38,Cd Cong Nghe Thong Tin Tp Ho Chi Minh,CĐ Công Nghệ Thông Tin TP.HCM
39,Cd Cong Nghe Thong Tin Tp Ho Chi Minh,CĐ Công Nghệ Thông Tin TP.HCM
40,Cao Đẳng CNTT TPHCM,CĐ Công Nghệ Thông Tin TP.HCM
41,Cd Cong Nghe Thong Tin Tp Ho Chi Minh,CĐ Công Nghệ Thông Tin TP.HCM
42,CĐ CNTT TP Hồ Chí Minh,CĐ Công Nghệ Thông Tin TP.HCM
43,Trường Cao Đẳng công nghệ thủ đức,CĐ Công nghệ Thủ Đức
44,cog nghe thu duc,CĐ Công nghệ Thủ Đức
45,Trường Cao Đẳng Kinh tế - Kỹ thuật Vinatex TP. Hồ Chí Minh,CĐ Công Nghệ TP.HCM
46,Trường Cao Đẳng Kinh Tế Kỹ Thuật Vinatex,CĐ Công Nghệ TP.HCM
47,Trường Cao Đẳng Công Nghệ Và Kinh Tế Bảo Lộc,CĐ Công Nghệ Và Kinh Tế Bảo Lộc
48,TRƯƠNG CAO ĐĂNG NGHỀ CÔNG NGHỆ và NÔNG LÂM ĐÔNG BẮC,CĐ Công nghệ và Nông lâm Đông Bắc
49,Trường Cao Đẳng Công Nghệ và Quản Trị Sonadezi,CĐ Công nghệ và Quản trị Sonadezi
50,CĐ Công Nghệ Viettronics,CĐ Công nghệ Viettronics
51,CD Công nghệ Viettronics,CĐ Công nghệ Viettronics
52,Truong cao dang cong nghiep cam pha,CĐ Công nghiệp Cẩm Phả
53,Trường cdcn cẩm phả,CĐ Công nghiệp Cẩm Phả
54,Truong cao dang cong nghiep cam thuy cam pha quang ninh,CĐ Công nghiệp Cẩm Phả
55,Trường cdcn cẩm phả,CĐ Công nghiệp Cẩm Phả
56,Trường Cđ Công Nghiệp Cao Su,CĐ Công nghiệp Cao Su
57,Cao Đẳng công nghiệp hải phòng,CĐ Công Nghiệp Hải Phòng
58,Cao Đẳng công ngiệp hóa chất lâm thao,CĐ Công nghiệp Hóa chất
59,cao dang hoa chat,CĐ Công nghiệp Hóa chất
60,Cao Đẳng công ngiệp hóa chất lâm thao,CĐ Công nghiệp Hóa chất
61,Truong CDCN Hoa Chat,CĐ Công nghiệp Hóa chất
62,Trường Cao Đẳng Công Nghiệp Huế,CĐ Công nghiệp Huế
63,DAI HOC CONG NGHIEP HUNG YEN,CĐ Công nghiệp Hưng Yên
64,Trường công nghiệp quốc phòng,CĐ Công nghiệp Quốc phòng
65,Cơ sở 1 trường CĐCN Quốc Phòng,CĐ Công nghiệp Quốc phòng
66,Tổng Cục CNQP - Trường Cao Đẳng Công Nghiệp Quốc Phòng,CĐ Công nghiệp Quốc phòng
67,Trường CĐCN Sao Đỏ,CĐ Công Nghiệp Sao Đỏ
68,CAO DANG CN THAI NGUYEN,CĐ Công nghiệp Thái Nguyên
69,Cao Đẳng Công Nghiệp Thái Nguyên,CĐ Công nghiệp Thái Nguyên
70,CAO DANG CN THAI NGUYEN,CĐ Công nghiệp Thái Nguyên
71,Trường Cao Đẳng CÔNG NGHIỆP QUẢNG NINH,CĐ Công nghiệp và Xây dựng
72,Cao đẳng việt hung,CĐ Công nghiệp Việt Hung
73,truong cong thuong,CĐ Công Thương Hà Nội
74,truong cong thuong,CĐ Công Thương Hà Nội
75,Trung cấp Công thương Hà Nội,CĐ Công Thương Hà Nội
76,Truong Cd cn tuy,CĐ Công Thương Miền Trung
77,Cao đằng công thương TP.HCM,CĐ Công Thương TP.HCM
78,Cao Đẳng Công Thương thành phố Hồ Chí Minh,CĐ Công Thương TP.HCM
79,Truong cd dien luc TP.HCM,CĐ Điện lực TP.HCM
80,CĐ Điện Lực TP.HCM,CĐ Điện lực TP.HCM
81,Học Viện Điện Tử Điện Lạnh,CĐ Điện Tử - Điện Lạnh Hà Nội
82,Trường Cao Đẳng Điện tử - Điện lạnh Hà Nội,CĐ Điện Tử - Điện Lạnh Hà Nội
83,Trường Cao Đẳng dl ktkt đông du đà nẵng,CĐ Đông Du
84,Trường Cao Đẳng Du Lịch Thương Mại Ngệ An,CĐ Du Lịch - Thương mại Nghệ An
85,DVTC,CĐ Du Lịch Đà Nẵng
86,DVTC,CĐ Du Lịch Đà Nẵng
87,Trường Cao Đẳng Du lịch Hà Nội.,CĐ Du Lịch Hà Nội
88,Trường Cao Đẳng Du lịch Hà Nội.,CĐ Du Lịch Hà Nội
89,caodangdulich hanoi,CĐ Du Lịch Hà Nội
90,hoc tai truong CDDL,CĐ Du Lịch Hà Nội
91,Tuyển Sinh Cao Đẳng Du Lịch Nha Trang,CĐ Du Lịch Nha Trang
92,CD nghề Du Lịch Vũng Tàu,CĐ Du Lịch Vũng Tàu
93,Cao Đẳng Dược Trung Ương - Hải Dương,CĐ Dược Trung ương Hải Dương
94,Truong cd duoc tw HD,CĐ Dược Trung ương Hải Dương
95,TRUONG Cao Đẳng ĐƯỜNG SẮT,CĐ Đường sắt
96,Học Viện Đường Sắt - Cao Đẳng Nghề Đường Sắt Gia Lâm - Hà Nội,CĐ Đường sắt
97,Học viện đường sắt,CĐ Đường sắt
98,Cao Đẳng Nghề Đường Sắt_Gia Lâm_Hà Nội,CĐ Đường sắt
99,cao dang nghe duyen hai hai phong,CĐ Duyên Hải
100,Polytechnic HCMC '96,CĐ FPT Polytechnic
101,cao dang thuc hanh FPT,CĐ FPT Polytechnic
102,trung cap nge gia lai,CĐ Gia Lai
103,Khoa Đào Tạo Lái Xe  - Trường Cao Đẳng Giao Thông Cơ Điện Quảng Ninh,CĐ Giao Thông Quảng Ninh
104,Trường Cao Đẳng Giao Thông Vận Tải HN,CĐ Giao Thông Vận Tải
105,Trường Cao Đẳng Giao thông vận tải hanoi,CĐ Giao Thông Vận Tải
106,Cao dang giao thong van tai 3,CĐ Giao thông Vận tải
107,cao dang giaothong 5,CĐ giao thông vận tải
108,Cao Đẳng gtvt miên trung,CĐ Giao Thông Vận Tải Miền Trung
109,Cao Dang GTVT TPHCM,CĐ Giao Thông Vận Tải TP.HCM
110,TRUONG CAO DANG GIAO THONG VAN TAI 3 TP.HCM,CĐ Giao Thông Vận Tải TP.HCM
111,CDGTVT 3,CĐ Giao thông Vận tải Trung ương 6
112,Cao Đẳng nghề Giao thông vận tải Đường thủy 1,CĐ Giao thông Vận tải đường thủy 1
113,Cao Đẳng nghề Giao thông vận tải Đường thủy 1,CĐ Giao thông Vận tải đường thủy 1
114,Truong CDGTVT III,CĐ Giao thông Vận tải Trung ương 3
115,cao dang nghe giao thong van tai tw 3,CĐ Giao thông Vận tải Trung ương 3
116,cao dang nghe giao thong van tai tw 3,CĐ Giao thông Vận tải Trung ương 3
117,CĐGTVTTW3,CĐ Giao thông Vận tải Trung ương 3
118,Cao dang hang haj 1,CĐ Hàng Hải 1
119,maritime college n.1,CĐ Hàng Hải 1
120,Marritime college number one,CĐ Hàng Hải 1
121,HCM city Maritime vocational colleges,CĐ Hàng hải 2
122,Trường CĐ KTKT Kiên Giang,CĐ Kiên Giang
123,Cao Đẳng Kiên Giang,CĐ Kiên Giang
124,trung cap xay dung TP ho chi minh,CĐ Kiến trúc - Xây Dựng TP.HCM
125,Trường Cao Đẳng KTKH Đà nẵng,CĐ Kinh tế - Kế hoạch Đà Nẵng
126,Trường cao đẳng kinh tế kế hoạch ĐN,CĐ Kinh tế - Kế hoạch Đà Nẵng
127,cao dang kinh te thai nguyen,CĐ Kinh Tế - Tài Chính Thái Nguyên
128,Kinh te doi ngoai can tho,CĐ Kinh tế Đối ngoại
129,Kinh te doi ngoai can tho,CĐ Kinh tế Đối ngoại
130,cao dang kte doi ngoai,CĐ Kinh Tế Đối Ngoại
131,CD Kinh Te Ky Thuat Thai Nuyen,CĐ Kinh Tế Kỹ Thuật - ĐH Thái Nguyên
132,Cao Đẳng Kinh Tế - Kĩ Thuật - ĐH Thái Nguyên,CĐ Kinh Tế Kỹ Thuật - ĐH Thái Nguyên
133,Kinh Te-Ki Thuat Bac Lieu,CĐ Kinh Tế Kỹ Thuật Bạc Liêu
134,trung hoc kinh te ky thuat bac lieu,CĐ Kinh Tế Kỹ Thuật Bạc Liêu
135,Trug cấp kinh tế kĩ thuật hòa bình,CĐ Kinh Tế Kỹ Thuật Hòa Bình
136,CĐ kinh tế kĩ thuật Kiên Giang,CĐ Kinh Tế Kỹ Thuật Kiên Giang
137,cao dang kinh te ky thuat kon tum,CĐ Kinh Tế Kỹ Thuật Kon Tum
138,cao dang kinh te ky thuat kon tum,CĐ Kinh Tế Kỹ Thuật Kon Tum
139,cao dang kinh te ki thuat lam dong,CĐ Kinh tế Kỹ thuật Lâm Đồng
140,Trường CĐ KTKT thương mại,CĐ Kinh tế Kỹ thuật Thương mại
141,Cao đẳng kinh tế_ kỹ thuật Phú Lâm Q6,CĐ Kinh tế Kỹ thuật TP.HCM
142,Trường Cao Đẳng KTCN TPHCM Cơ Sở Bình Dương,CĐ Kinh tế kỹ thuật TP.HCM
143,Cao Đẳng KTKT BÌNH DƯƠNG,CĐ Kinh tế kỹ thuật TP.HCM
144,Truog cd_kt_kt_vp,CĐ Kinh tế Kỹ Thuật Vĩnh Phúc
145,CÐ Kinh te vinh phuc,CĐ Kinh tế Kỹ Thuật Vĩnh Phúc
146,Trường Cao Đẳng kinh tế thành phố hồ chí minh,CĐ Kinh Tế TP.HCM
147,CĐ Nghề Kỹ Thuật Công Nghệ Thành Phố Hồ Chí Minh,CĐ Kỹ Nghệ 2
148,Cao dang ky thuat dung quat,CĐ Kỹ nghệ Dung Quất
149,Truong cao dang nghe ki thuat my nghe viet nam,CĐ Kỹ Thuật - Mỹ Nghệ Việt Nam
150,truong cao dang ki thuat cao thang,CĐ Kỹ thuật Cao Thắng
151,truong cao dang ki thuat cao thang,CĐ Kỹ thuật Cao Thắng
152,Trung hoc Ky thuat Cao Thang,CĐ Kỹ thuật Cao Thắng
153,truong cao dang ki thuat cao thang TpHCM,CĐ Kỹ thuật Cao Thắng
154,Trường Trung Cấp Kỹ Thuât Công Nông Nghiệp Quảng Bình,CĐ KỸ THUẬT CÔNG - NÔNG NGHIỆP
155,Trường kỉ thuật công nông nghiệp quảng bình,CĐ KỸ THUẬT CÔNG - NÔNG NGHIỆP
156,CĐ nghe quy nhon,CĐ Kỹ Thuật Công Nghệ Quy Nhơn
157,Trường Cao Đẳng Kỹ Thuật Công Nghệ Quy Nhơn,CĐ Kỹ Thuật Công Nghệ Quy Nhơn
158,cao dang ky thuat cong nge van xuan,CĐ Kỹ Thuật Công Nghệ Vạn Xuân
159,Cao dang ki thuat cong nghiep bac ninh,CĐ Kỹ thuật Công nghiệp
160,Trường Cao Đẳng Kỹ thuật Công nghiệp Bắc Giang,CĐ Kỹ thuật Công nghiệp
161,Trường Cao Đẳng Kỉ Thuật công nghiệp VIỆT NAM _HÀN QUỐC.,CĐ Kỹ Thuật Công Nghiệp Việt Nam - Hàn Quốc
162,Trường trung cấp Cơ Điện Đăk Lăk,CĐ Kỹ thuật Đắk Lắk
163,CDN DongNai,CĐ Kỹ Thuật Đồng Nai
164,Trường Cao Đẳng Kĩ Thuật Đồng Nai,CĐ Kỹ Thuật Đồng Nai
165,cao dang KTCN Dong Nai,CĐ Kỹ Thuật Đồng Nai
166,truong cao dang ki thuat dong nai,CĐ Kỹ Thuật Đồng Nai
167,Cao Dang Ky Thuat Cong Nghe Dong Nai,CĐ Kỹ Thuật Đồng Nai
168,Trường Kỹ Thuật Hải Quân,CĐ Kỹ thuật Hải quân
169,Trường Kỹ Thuật Hải Quân,CĐ Kỹ thuật Hải quân
170,Cao Đẳng Nghề Kĩ Thuật Thiết Bị Y Tế,CĐ Kỹ thuật Thiết bị Y tế
171,Truong Cao Dang Ki Thuat Y Te 2,CĐ Kỹ thuật Thiết bị Y tế
172,truong cao dang ky thuat trang thiet bi y te,CĐ Kỹ Thuật Trang Thiết Bị Y Tế
173,cd nghe viet duc,CĐ Kỹ Thuật Việt Đức Hà Tĩnh
174,cao đẳng lạc việt đà nẵng,CĐ LẠC VIỆT
175,cao dang lac viet _da nang,CĐ LẠC VIỆT
176,truong cap nghe lao cai,CĐ Lào Cai
177,Truong cao dang nghe lao cai,CĐ Lào Cai
178,CĐ Nghe Long An,CĐ Long An
179,Đại học cao đằng luật hà nội,CĐ Luật Hà Nội
180,Đại học cao đằng luật hà nội,CĐ Luật Hà Nội
181,cao dang luong thuc thuc pham,CĐ Lương thực - Thực phẩm
182,Cđ luong thuc thuc pham,CĐ Lương thực - Thực phẩm
183,Cao Đẳng lương thực thực phẩm,CĐ Lương thực - Thực phẩm
184,cao dang det may thoi trang,CĐ May Thiết Kế Thời Trang Hà Nội
185,dongnai colege of decorative art,CĐ Mỹ thuật trang trí Đồng Nai
186,Cao đẳng nghề Long Xuyen,CĐ Nghề An Giang
187,Trường Cao Đẳng Nghề Cần Thơ,CĐ Nghề Cần Thơ
188,Trung cấp Điện Phú Thọ,CĐ Nghề Cơ điện Phú Thọ
189,CAO ĐẲNG NGHỀ CƠ ĐIỆN TÂY BẮC THI TRẤN CHI NÊ - LẠC THUỶ - HOÀ BÌNH K34-A3,CĐ Nghề Cơ Điện Tây Bắc
190,Cao Đẳng Nghề Cơ Điện Xây Dựng Việt- Xô,CĐ Nghề cơ điện xây dựng Việt Xô
191,Cao Đẳng nghề Công Nghệ Cao Đồng Nai,CĐ Nghề Công Nghệ Cao Đồng Nai
192,Cao dang nghe cong nghe giay va co dien,CĐ Nghề Công nghệ Giấy và Cơ điện
193,Trường CĐ kinh tế -kỹ thuật Phú Lâm,CĐ Nghề công nghệ kinh tế và chế biến lâm sản
194,CD nghe CNCHN,CĐ Nghề Công nghiệp Hà Nội
195,HLIVC,CĐ Nghề Công nghiệp Hà Nội
196,cd cong nghjep,CĐ Nghề Công nghiệp Hà Nội
197,HLIVC,CĐ Nghề Công nghiệp Hà Nội
198,CD Nghề Công Nghiệp Hà Nội,CĐ Nghề Công nghiệp Hà Nội
199,Truong cao dang nghe cn Thanh Hoa,CĐ Nghề công nghiệp Thanh Hoá
200,Cao Đẳng Công Nghiệp Thanh Hóa,CĐ Nghề công nghiệp Thanh Hoá
201,cao đẵng nghề đà nẵng,CĐ Nghề Đà Nẵng
202,Trường Cao Đẳng nghề Đà nẵng,CĐ Nghề Đà Nẵng
203,Cao Dang Ngề Dầu Khí,CĐ Nghề Dầu Khí
204,Trường CĐCĐ Bắc Kạn,CĐ Nghề DTNT Bắc Kạn
205,Trương CDN Du Lich va Thuong Mai Nghe An,CĐ Nghề Du Lịch - Thương mại Nghệ An
206,CĐ Nghề Giao thông vận tải trung ương 2,CĐ Nghề Giao Thông Vận Tải Trung ương 2
207,cao dang gao thong van tai 2,CĐ Nghề Giao Thông Vận Tải Trung ương 2
208,cao dang nghe ha nam,CĐ Nghề Hà Nam
209,cao dang nghe ha nam,CĐ Nghề Hà Nam
210,Trường Cao Đẳng nghề Hải Dương,CĐ Nghề Hải Dương
211,Trường Cao Đẳng Nghề kiên Giang,CĐ Nghề Kiên Giang
212,cao đang nghe kiên giang,CĐ Nghề Kiên Giang
213,Truong CDN mo hong cam,CĐ Nghề Mỏ Hồng Cẩm
214,CĐ Hồng Cẩm,CĐ Nghề Mỏ Hồng Cẩm
215,CD Mo Hong Cam Quang Ninh,CĐ Nghề Mỏ Hồng Cẩm
216,Cao Đẳng Mỏ Hồng Cẩm,CĐ Nghề Mỏ Hồng Cẩm
217,CD Nghề Phú Thọ,CĐ Nghề Phú Thọ
218,"Cao Đẳng Nghề số 8, Đồng Nai",CĐ Nghề số 8
219,Cao Đẳng nghề tây sài gòn,CĐ Nghề Tây Sài Gòn
220,Cao Đẳng Nghề Thái Bình,CĐ Nghề Thái Bình
221,Trường THPT TCIII,CĐ Nghệ Thuật Hà Nội
222,Trường THPT TCIII,CĐ Nghệ Thuật Hà Nội
223,Trường Cao Đẳng Văn hóa Nghệ thuật Hà Nội,CĐ Nghệ Thuật Hà Nội
224,Cao đẳg ngệ thuật Hà Nội,CĐ Nghệ Thuật Hà Nội
225,Trường Cao Đẳng Nghề Tiền Giang-Mỹ Tho City,CĐ Nghề Tiền Giang
226,Trường Đại học Việt Xô,CĐ Nghề Việt Xô 1
227,Truong trung cap nôg lam thanh hoa,CĐ Nông Lâm Thanh Hóa
228,Truong trung cap nôg lam thanh hoa,CĐ Nông Lâm Thanh Hóa
229,Cao đẳng Nông Nghjệp Nam Bộ,CĐ nông nghiệp Nam Bộ
230,Cao đẳng Nông Nghjệp Nam Bộ,CĐ nông nghiệp Nam Bộ
231,CĐ Nghề Phú Châu,CĐ Phú Châu
232,Trường CĐ Tư thục Phương Đông - Quảng Nam,CĐ Phương Đông
233,trung cap quan y 2,CĐ Quân Y 2
234,kinh te ki thuat quang nam,CĐ Quảng Nam
235,CĐ Kinh tế kỷ thuật Quảng Nam,CĐ Quảng Nam
236,Trường Cao đẳng Sơn La,CĐ Sơn La
237,Cao Đẳng sư phạm Bắc Ninh,CĐ Sư Phạm Bắc Ninh
238,Cao Đẳng sư phạm Bắc Ninh,CĐ Sư Phạm Bắc Ninh
239,Trường Cao Đẳng sư phạm Bình Phước,CĐ Sư Phạm Bình Phước
240,Cdsp da lat,CĐ Sư phạm Đà Lạt
241,Trương CĐSP Đak Lak,CĐ Sư Phạm Đắk Lắk
242,Trương CĐSP ĐăkLăk,CĐ Sư Phạm Đắk Lắk
243,trương Cao Đẳng sư phạm Gia lai,CĐ Sư phạm Gia Lai
244,CDSP Ha Giang,CĐ sư phạm Hà Giang
245,Dai hoc su pham ha tay,CĐ Sư Phạm Hà Tây
246,Cao Đẳng Sư Phạm Hải Dương,CĐ sư phạm hải dương
247,Cao Đẳng Sư Phạm Hải Dương,CĐ sư phạm hải dương
248,Cao Đẳng Sư Phạm Hải Dương,CĐ sư phạm hải dương
249,Cao dang su pham hoa binh,CĐ Sư phạm Hòa Bình
250,Cao dang su pham Huê,CĐ Sư phạm Huế
251,Trường Cao Đẳng Sư phạm Thừa Thiên Huế,CĐ Sư phạm Huế
252,Truong CDSPKG,CĐ Sư Phạm Kiên Giang
253,Sư Phạm Kon Tum,CĐ Sư Phạm KonTum
254,Sư Phạm Kon Tum,CĐ Sư Phạm KonTum
255,Trường Cao Đẳng Sư phạm Lào Cai,CĐ Sư phạm Lào Cai
256,SP Lao Cai,CĐ SƯ PHẠM LÀO CAI
257,cao dang su pham long an,CĐ Sư phạm Long An
258,CĐSP Long An,CĐ Sư phạm Long An
259,su fam long an,CĐ Sư phạm Long An
260,Cao đẳng Sư phạm Nghệ An,CĐ Sư phạm Nghệ An
261,CĐ Sư Phạm Ninh Thuận,CĐ Sư phạm Ninh Thuận
262,CĐ Sư Phạm Ninh Thuận,CĐ Sư phạm Ninh Thuận
263,dai hoc su pham uong bi,CĐ Sư Phạm Quảng Ninh
264,Cao dang su pham quang ninh,CĐ Sư Phạm Quảng Ninh
265,cd su pham quangtri,CĐ sư phạm Quảng Trị
266,Trường CĐSP Sóc Trăng,CĐ Sư Phạm Sóc Trăng
267,truong cao dang su pham soc trang,CĐ Sư Phạm Sóc Trăng
268,Cao dang Sư Phạm Tây Ninh,CĐ Sư Phạm Tây Ninh
269,Trường su pham Thái Bình,CĐ Sư phạm Thái Bình
270,ĐH Sư Phạm Thái Bình,CĐ Sư phạm Thái Bình
271,CĐSP Thai nguyen,CĐ Sư phạm Thái Nguyên
272,Trường Cao Đẳng Sư Phạm Thái Nguyên,CĐ Sư phạm Thái Nguyên
273,Cao Đẳng sư phạm TDTTTW1 Hà nội,CĐ Sư phạm Trung ương
274,Mau giao Trung Uong 1,CĐ Sư phạm Trung ương
275,CĐ TW HN,CĐ Sư phạm Trung ương
276,Mau giao Trung Uong 1,CĐ Sư phạm Trung ương
277,Trường Cao đăng sp tw,CĐ Sư phạm Trung ương
278,Trường cd sư phạm tw Nha Trang,CĐ Sư Phạm Trung ương Nha Trang
279,su pham nha trang,CĐ Sư Phạm Trung ương Nha Trang
280,Sư Phạm Nha Trang,CĐ Sư Phạm Trung ương Nha Trang
281,Cao dang Su Pham Nha Trang - Khanh Hoa,CĐ Sư Phạm Trung ương Nha Trang
282,Trường cd sư phạm tw Nha Trang,CĐ Sư Phạm Trung ương Nha Trang
283,su pham nha trang,CĐ Sư Phạm Trung ương Nha Trang
284,Truong Cao dang su pham Tuyen Quang,CĐ Sư phạm Tuyên Quang
285,Truong Cao dang su pham Tuyen Quang,CĐ Sư phạm Tuyên Quang
286,Dai hoc su pham yen bai,CĐ Sư Phạm Yên Bái
287,CD Sư Phạm Yên Bái,CĐ Sư Phạm Yên Bái
288,Cao Đẳng sư phạm Yên Bái,CĐ Sư Phạm Yên Bái
289,CD Sư Phạm Yên Bái,CĐ Sư Phạm Yên Bái
290,cao dang tai chinh qauan tri kinh doanh,CĐ Tài Chính - Quản Trị Kinh Doanh
291,cao dang tai chinh quan tri kd,CĐ Tài Chính - Quản Trị Kinh Doanh
292,CD Tài chính quản trị KD,CĐ Tài Chính - Quản Trị Kinh Doanh
293,cd ke toan4-tp.hcm,CĐ Tài Chính Kế Toán 4
294,CDKT tai chinh thai nguyen,CĐ Thái Nguyên
295,cao dang nghe thang long,CĐ Thăng Long
296,Trường Cao Đẳng Thống kê 2,CĐ Thống Kê 2
297,cao dang thuong mai va du lich thai nguyen,CĐ Thương Mại và Du Lịch
298,cao dang thuong mai va du lich thai nguyen,CĐ Thương Mại và Du Lịch
299,Cao Đẳng thương mại và du lịch,CĐ Thương mại và Du Lịch Hà Nội
300,cao đăng thương mai và du lịch,CĐ Thương mại và Du Lịch Hà Nội
301,Cao Đẳng thương mại và du lịch Hà Nội,CĐ Thương mại và Du Lịch Hà Nội
302,truongcaodangtruyenhinh,CĐ Truyền hình
303,Trung cap VHNT Da Nang,CĐ Văn hóa Nghệ thuật Đà Nẵng
304,Cao Đẳng Văn Hóa Nghệ Thuật Đà Nẵng,CĐ Văn hóa Nghệ thuật Đà Nẵng
305,van hoa nghe thuat da nang,CĐ Văn hóa Nghệ thuật Đà Nẵng
306,cd my thuat nha trang,CĐ Văn Hóa Nghệ Thuật Du Lịch Nha Trang
307,Trường Cao Đẳng VHNT Nghệ An,CĐ Văn hóa Nghệ thuật Nghệ An
308,đang học Trường Cao Đẳng văn hóa nghệ thuật nghệ an,CĐ Văn hóa Nghệ thuật Nghệ An
309,truong cao dang VHNT tay bac,CĐ Văn Hóa Nghệ Thuật Tây Bắc
310,Cao dang van hoa nghe thuat tp hcm,CĐ Văn hóa Nghệ thuật TP.HCM
311,cap dang van hoa nghe thuat hcm,CĐ Văn hóa Nghệ thuật TP.HCM
312,Cao Đẳng Văn Hóa Nghệ Thuật Tphcm,CĐ Văn hóa Nghệ thuật TP.HCM
313,Cao Đẳng VHNT Việt Bắc,CĐ Văn hóa Nghệ thuật Việt Bắc
314,CS Văn Lang,CĐ Văn Lang
315,Vinh Long Comunity College,CĐ Vĩnh Long
316,truong CDSP Vinh PHuc,CĐ Vĩnh Phúc
317,Vietnam maritime college,CĐ VMU - ĐH Hàng hải Việt Nam
318,truong cao dang xay dung so 3,CĐ Xây dựng 1
319,dai hoc xay dung cong trinh do thi,CĐ Xây dựng Công trình Đô Thị
320,Trường Cao Đẳng công trình và xây dựng,CĐ Xây dựng Công trình Đô Thị
321,Trường Cao Đẳng công trình và xây dựng,CĐ Xây dựng Công trình Đô Thị
322,Đại Học Xây Dựng Thành Phố Hồ Chí Minh,CĐ Xây dựng TP.HCM
323,Trường Cao Đẳng Asean,CĐ Y - Dược ASEAN
324,Y Dược Asean,CĐ Y - Dược ASEAN
325,Cao Đang Y te da nang,CĐ Y Dược Đà Nẵng - Trường CĐ Công Nghệ Y Dược Việt Nam
326,Cao đăng y tê ĐN,CĐ Y Dược Đà Nẵng - Trường CĐ Công Nghệ Y Dược Việt Nam
327,Trung cap y duoc hop,CĐ Y Dược Hợp Lực
328,Trung Cap Duoc Viet Tri,CĐ Y Dược Phú Thọ
329,CaoDangDuoc,CĐ Y Dược Tuệ Tĩnh Hà Nội
330,CaoDangDuoc,CĐ Y Dược Tuệ Tĩnh Hà Nội
331,bach mai medical school,CĐ Y tế Bạch Mai
332,truong tc y Bach Mai,CĐ Y tế Bạch Mai
333,Binh Dinh Medical College,CĐ Y Tế Bình Định
334,Trường Cao Đẳng Y Tế Bình Dương,CĐ Y Tế Bình Dương
335,trường cao đẳng y tế bình dương,CĐ Y Tế Bình Dương
336,Cao Dang Y BInh Phuoc,CĐ Y tế Bình Phước
337,Trung Cấp Y Tế Bình Phước,CĐ Y tế Bình Phước
338,Trường Cao Đẳng y tế bình thuận,CĐ Y Tế Bình Thuận
339,CĐYT Binh Thuan,CĐ Y Tế Bình Thuận
