text,normed_text,lower_text,lower_normed_text
Trường THPTTH Lê Thị Riêng,THPT Lê Thị Riêng,trường thptth lê thị riêng,thpt lê thị riêng
TT GDTX thi xa pho yen,GDNN-GDTX Thị xã Phổ Yên,tt gdtx thi xa pho yen,gdnn-gdtx thị xã phổ yên
THPT Marie Curie hai phong,THPT tư thục Marie Curie,thpt marie curie hai phong,thpt tư thục marie curie
Trung hoc pho thong Thang Long hai phong,THPT Thăng Long,trung hoc pho thong thang long hai phong,thpt thăng long
THPT Nguyễn Đình Chiểu - Đồ Chiểu .Com,THPT Nguyễn Đình Chiểu,thpt nguyễn đình chiểu - đồ chiểu .com,thpt nguyễn đình chiểu
trường trung học phổ thông Quảng Ninh,THPT Quảng Ninh,trường trung học phổ thông quảng ninh,thpt quảng ninh
Trường THCS-THPT vam dinh,THCS-THPT Vàm Đình,trường thcs-thpt vam dinh,thcs-thpt vàm đình
Dại hok y hà tĩnh,CĐ Y Tế Hà Tinh,dại hok y hà tĩnh,cđ y tế hà tinh
Khoa Dược - Đại học Y Dược TP HCM,ĐH Y Dược TP.HCM,khoa dược - đại học y dược tp hcm,đh y dược tp.hcm
THPT Gia Rai,THPT Giá Rai,thpt gia rai,thpt giá rai
Trường Cao Đẳng Kỹ Thuật LÝ TỰ TRỌNG_Tân Bình_TP Hồ Chí minh,CĐ Lý Tự Trọng TP.HCM,trường cao đẳng kỹ thuật lý tự trọng_tân bình_tp hồ chí minh,cđ lý tự trọng tp.hcm
Cao Đẳng Xây Dựng 2 TPHCM,CĐ Xây dựng TP.HCM,cao đẳng xây dựng 2 tphcm,cđ xây dựng tp.hcm
THPT Việt Yên 1,THPT Việt Yên,thpt việt yên 1,thpt việt yên
"THPT Vĩnh Xuân, Trà Ôn, Vĩnh Long",THPT Vĩnh Xuân,"thpt vĩnh xuân, trà ôn, vĩnh long",thpt vĩnh xuân
Trường THPT dl tran hung dao,THPT Dân Lập Trần Hưng Đạo,trường thpt dl tran hung dao,thpt dân lập trần hưng đạo
"PTTH Chuyen Hạ Long, Quảng Ninh",THPT Chuyên Hạ Long,"ptth chuyen hạ long, quảng ninh",thpt chuyên hạ long
THPT Anh son 1,THPT Anh Sơn,thpt anh son 1,thpt anh sơn
ĐH Giao Thông Vận Tải TP HCM -GTS,ĐH Giao thông vận tải TP.HCM,đh giao thông vận tải tp hcm -gts,đh giao thông vận tải tp.hcm
cd kinh te ky thuat dien bien,CĐ Kinh Tế Kỹ Thuật Điện Biên,cd kinh te ky thuat dien bien,cđ kinh tế kỹ thuật điện biên
tt gdtx loc binh,GDNN-GDTX Lộc Bình,tt gdtx loc binh,gdnn-gdtx lộc bình
THTP Cân Giuộc,THPT Cần Giuộc,thtp cân giuộc,thpt cần giuộc
PTHH Bắc Đông Quan,THPT Bắc Đông Quan,pthh bắc đông quan,thpt bắc đông quan
Trường THPT Thanh Đa,THPT Thanh Đa,trường thpt thanh đa,thpt thanh đa
Học Viện An Ninh Nhân Dân Việt Nam,HV An ninh Nhân Dân,học viện an ninh nhân dân việt nam,hv an ninh nhân dân
truong thpt tinh gia5,THPT Tĩnh Gia,truong thpt tinh gia5,thpt tĩnh gia
Cao Dang Su Pham Kon Tum,CĐ Sư Phạm KonTum,cao dang su pham kon tum,cđ sư phạm kontum
Trường CĐCĐ Sóc Trăng,CĐ cộng đồng Sóc Trăng,trường cđcđ sóc trăng,cđ cộng đồng sóc trăng
Trường PTTH An Biên,THPT An Biên,trường ptth an biên,thpt an biên
THPT Mĩ Hào,THPT Mỹ Hào,thpt mĩ hào,thpt mỹ hào
Trường Cao Đẳng Phương Đông Đà Nẵng,CĐ Phương Đông Đà Nẵng,trường cao đẳng phương đông đà nẵng,cđ phương đông đà nẵng
Trường Đại Học Bách Khoa TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM,trường đại học bách khoa tp.hcm,đh bách khoa - đh quốc gia tp.hcm
Trường THPT My Chanh,THPT Mỹ Chánh,trường thpt my chanh,thpt mỹ chánh
PTTH LÊ VIẾT THUẬT TP VINH,THPT Lê Viết Thuật,ptth lê viết thuật tp vinh,thpt lê viết thuật
Trường THPT pham thanh trung,THPT Phạm Thành Trung,trường thpt pham thanh trung,thpt phạm thành trung
"THPT Tán Kế, Ba Tri, Bến Tre",THPT Tán Kế,"thpt tán kế, ba tri, bến tre",thpt tán kế
Trường THCS va Trường THPT long phu,THCS-THPT Long Phú,trường thcs va trường thpt long phu,thcs-thpt long phú
"Trường THPT Long Khánh A, Hồng Ngự, Đồng Tháp",THPT Long Khánh,"trường thpt long khánh a, hồng ngự, đồng tháp",thpt long khánh
Sinh viên Đại Học Công Nghiêp Tp Hồ Chí Minh,ĐH Công nghiệp TP.HCM,sinh viên đại học công nghiêp tp hồ chí minh,đh công nghiệp tp.hcm
"THPT Tam Bình, Tam Bình, Vĩnh Long",THPT Tam Bình,"thpt tam bình, tam bình, vĩnh long",thpt tam bình
truong THPT Long Xuyen,THPT Long Xuyên,truong thpt long xuyen,thpt long xuyên
trung học phổ thông cao lãnh 2,THPT Cao Lãnh,trung học phổ thông cao lãnh 2,thpt cao lãnh
Trường THPT Lê Viết Tạo,THPT Lê Viết Tạo,trường thpt lê viết tạo,thpt lê viết tạo
Trường THPT cẩm xuyên - hà tinh,THPT Cẩm Xuyên,trường thpt cẩm xuyên - hà tinh,thpt cẩm xuyên
THPT Cao Thắng -Hương Sơn-Hà Tĩnh,THPT CAO THẮNG,thpt cao thắng -hương sơn-hà tĩnh,thpt cao thắng
THPT QUẾ VÕ 1,THPT Quế Võ,thpt quế võ 1,thpt quế võ
Đại học Kinh Tế Quốc Dân - NEU,ĐH Kinh Tế Quốc Dân,đại học kinh tế quốc dân - neu,đh kinh tế quốc dân
THPT HA HUY TAP - Cam Xuyen - Ha Tinh,THPT Hà Huy Tập,thpt ha huy tap - cam xuyen - ha tinh,thpt hà huy tập
Trường THPT ĐẠTẺH,THPT Đạ Tẻh,trường thpt đạtẻh,thpt đạ tẻh
THPT Chu Văn An quảng trị,THPT Chu Văn An,thpt chu văn an quảng trị,thpt chu văn an
Trường THPT thoi quan,THPT Thới Quản,trường thpt thoi quan,thpt thới quản
Trường THPT a binh luc,THPT Bình Lục,trường thpt a binh luc,thpt bình lục
Trung cap nghe bac quang nam,TC Nghề Bắc Quảng Nam,trung cap nghe bac quang nam,tc nghề bắc quảng nam
Trường THPT Huỳnh Hữu Nghĩa-Mỹ Tú- Sóc Trăng,THPT Huỳnh Hữu Nghĩa,trường thpt huỳnh hữu nghĩa-mỹ tú- sóc trăng,thpt huỳnh hữu nghĩa
"THPT Vĩnh Lộc, Tp.HCM",THPT Vĩnh Lộc,"thpt vĩnh lộc, tp.hcm",thpt vĩnh lộc
Trường THPT chuyen bien hoa,THPT Chuyên Biên Hòa,trường thpt chuyen bien hoa,thpt chuyên biên hòa
Dai hoc y duoc bac lieu,CĐ Y tế Bạc Liêu,dai hoc y duoc bac lieu,cđ y tế bạc liêu
tt gdnn va gdtx huyen binh chanh,GDNN-GDTX Bình Chánh,tt gdnn va gdtx huyen binh chanh,gdnn-gdtx bình chánh
Truong PTTH Giong Trom,THPT Phan Văn Trị,truong ptth giong trom,thpt phan văn trị
"Trường THPT Lê Thánh Tông, Ayun Pa, Gia Lai",THPT Lê Thánh Tông,"trường thpt lê thánh tông, ayun pa, gia lai",thpt lê thánh tông
"ĐH GTVT CS 2, Thanh pho Ho Chi Minh",ĐH Giao thông vận tải tại TP.HCM,"đh gtvt cs 2, thanh pho ho chi minh",đh giao thông vận tải tại tp.hcm
phổ thông ninh châu,THPT Ninh Châu,phổ thông ninh châu,thpt ninh châu
THPT Hà Nội - Amsterdam,THPT chuyên Hà Nội Amsterdam,thpt hà nội - amsterdam,thpt chuyên hà nội amsterdam
"Trường THPTTH Vĩnh Chân, Hạ Hòa, Phú Thọ",THPT Vĩnh Chân,"trường thptth vĩnh chân, hạ hòa, phú thọ",thpt vĩnh chân
ĐHSPKT Tp Hồ Chí Minh,ĐH Sư phạm Kỹ thuật TP.HCM,đhspkt tp hồ chí minh,đh sư phạm kỹ thuật tp.hcm
Truog Pho Thong Son Ha Quang Ngai,THPT Sơn Hà,truog pho thong son ha quang ngai,thpt sơn hà
tt gdnn gdtx dong hung,GDNN-GDTX Đông Hưng,tt gdnn gdtx dong hung,gdnn-gdtx đông hưng
Trường ĐHSP TDTT TP HCM,ĐH Sư phạm Thể dục Thể thao TP.HCM,trường đhsp tdtt tp hcm,đh sư phạm thể dục thể thao tp.hcm
Trường Cao Đẳng Nghề 8,CĐ Nghề Bộ Quốc Phòng,trường cao đẳng nghề 8,cđ nghề bộ quốc phòng
trương trung học phổ thông hòa tú 1,THPT Hòa Tú,trương trung học phổ thông hòa tú 1,thpt hòa tú
truong THPT Trường Trinh,THPT Trường Chinh,truong thpt trường trinh,thpt trường chinh
THPT KHAM DUC,THPT Khâm Đức,thpt kham duc,thpt khâm đức
Trường THPT kim son b,THPT Kim Sơn,trường thpt kim son b,thpt kim sơn
trung tam gdnn gdtx thach ha,GDNN-GDTX Thạch Hà,trung tam gdnn gdtx thach ha,gdnn-gdtx thạch hà
Trường THPT Cẩm Khê,THPT Cẩm Khê,trường thpt cẩm khê,thpt cẩm khê
CĐ Giao Thông Vận Tải,CĐ Giao thông vận tải Trung ương,cđ giao thông vận tải,cđ giao thông vận tải trung ương
dh ngan hang hcm,ĐH Ngân Hàng TP.HCM,dh ngan hang hcm,đh ngân hàng tp.hcm
pho thong nguyen thi minh khai,THPT Nguyễn Thị Minh Khai,pho thong nguyen thi minh khai,thpt nguyễn thị minh khai
THPT Dai Ngai,THPT Đại Ngãi,thpt dai ngai,thpt đại ngãi
Trung cấp VHNT & DL sơn la,TC Văn hóa Nghệ thuật,trung cấp vhnt & dl sơn la,tc văn hóa nghệ thuật
cd ben tre,CĐ Bến Tre,cd ben tre,cđ bến tre
Trung học phổ thông Vĩnh Bình,THPT Vĩnh Bình,trung học phổ thông vĩnh bình,thpt vĩnh bình
Trường Đại học Kiến trúc Đà Nẵng,ĐH Kiến trúc Đà Nẵng,trường đại học kiến trúc đà nẵng,đh kiến trúc đà nẵng
Trường Cao Đẳng Nghề Việt-Úc Đà Nẵng,CĐ Nghề Việt Úc,trường cao đẳng nghề việt-úc đà nẵng,cđ nghề việt úc
Đại học Sư phạm TDTT,ĐH Sư phạm Thể dục Thể thao Hà Nội,đại học sư phạm tdtt,đh sư phạm thể dục thể thao hà nội
Trường chuyên Bắc Quảng Nam,THPT Chuyên Bắc Quảng Nam,trường chuyên bắc quảng nam,thpt chuyên bắc quảng nam
cao dang cong nghiep 4 go vap,ĐH Công nghiệp TP.HCM,cao dang cong nghiep 4 go vap,đh công nghiệp tp.hcm
THPT Năm căn,THPT Phan Ngọc Hiển,thpt năm căn,thpt phan ngọc hiển
Trường THPT tran quoc dai,THPT Trần Quốc Đại,trường thpt tran quoc dai,thpt trần quốc đại
Trường THPT Mai Anh Tuấn,THPT Mai Anh Tuấn,trường thpt mai anh tuấn,thpt mai anh tuấn
Trường THCS-THPT Hiển Nhân,THCS-THPT Hiển Nhân,trường thcs-thpt hiển nhân,thcs-thpt hiển nhân
Trường trung học phổ thông Nghi Lộc 1,THPT Nguyễn Duy Trinh,trường trung học phổ thông nghi lộc 1,thpt nguyễn duy trinh
Trường THPT Vũ Văn Hiếu - Nam Định,THPT Vũ Văn Hiếu,trường thpt vũ văn hiếu - nam định,thpt vũ văn hiếu
"Truong THPT Dang Tran Con, Hue",THPT Đặng Trần Côn,"truong thpt dang tran con, hue",thpt đặng trần côn
THPT Long Hải Phước Tỉnh,THPT Long Hải,thpt long hải phước tỉnh,thpt long hải
Trường THPT le van thinh,THPT Lê Văn Thịnh,trường thpt le van thinh,thpt lê văn thịnh
DH Ba Ria Vung Tau,ĐH Bà Rịa Vũng Tàu,dh ba ria vung tau,đh bà rịa vũng tàu
Trường THPT xuan loc,THPT Xuân Lộc,trường thpt xuan loc,thpt xuân lộc
tptth nam dan1,THPT Nam Đàn,tptth nam dan1,thpt nam đàn
CĐ thực hành FPT PoLytechnic Đà Nẵng,CĐ FPT Polytechnic Đà Nẵng,cđ thực hành fpt polytechnic đà nẵng,cđ fpt polytechnic đà nẵng
tt gdtx hn gia loc,GDNN-GDTX Gia Lộc,tt gdtx hn gia loc,gdnn-gdtx gia lộc
Trường THPT Đatẻh,THPT Đạ Tẻh,trường thpt đatẻh,thpt đạ tẻh
ĐHKHXH & NV - ĐH QG Hà Nội,ĐH Khoa học Xã hội và Nhân văn - ĐH Quốc gia Hà Nội,đhkhxh & nv - đh qg hà nội,đh khoa học xã hội và nhân văn - đh quốc gia hà nội
maritime univesity,ĐH Hàng hải Việt Nam,maritime univesity,đh hàng hải việt nam
Trường THPT duong tu minh,THPT Dương Tự Minh,trường thpt duong tu minh,thpt dương tự minh
Yêndinh 3,THPT Yên Định,yêndinh 3,thpt yên định
DH công nghiệp Quảng Ninh,ĐH Công nghiệp Quảng Ninh,dh công nghiệp quảng ninh,đh công nghiệp quảng ninh
"THPT Ông Ích Khiêm, Đà Nẵng, Việt Nam",THPT ông ích khiêm,"thpt ông ích khiêm, đà nẵng, việt nam",thpt ông ích khiêm
Trung hoc pho thong Ba che,THPT Ba Chẽ,trung hoc pho thong ba che,thpt ba chẽ
Trường DH Nông Lâm Huế,ĐH Nông Lâm,trường dh nông lâm huế,đh nông lâm
TH pho thong so 2 phu my,THPT Phù Mỹ,th pho thong so 2 phu my,thpt phù mỹ
THTP Xuân Tô,THPT Xuân Tô,thtp xuân tô,thpt xuân tô
THPT B PHU LY,THPT Phủ Lý,thpt b phu ly,thpt phủ lý
Cao dang sp Quang Tri,CĐ sư phạm Quảng Trị,cao dang sp quang tri,cđ sư phạm quảng trị
đại học binh duong,ĐH Bình Dương,đại học binh duong,đh bình dương
Qui nhon University,ĐH Quy Nhơn,qui nhon university,đh quy nhơn
"THPT Nguyen tat thanh iapa, gia lai, vietnam",THPT Nguyễn Tất Thành,"thpt nguyen tat thanh iapa, gia lai, vietnam",thpt nguyễn tất thành
Trường THPT Tam Phú,THPT Tam Phú,trường thpt tam phú,thpt tam phú
THPT Amstetdam,THPT chuyên Hà Nội Amsterdam,thpt amstetdam,thpt chuyên hà nội amsterdam
Trường THPT Lê Xoay,THPT Lê Xoay,trường thpt lê xoay,thpt lê xoay
THPT Bùi Hữu Nghĩa,THPT Bùi Hữu Nghĩa,thpt bùi hữu nghĩa,thpt bùi hữu nghĩa
THPT trần Đăng Ninh,THPT Trần Đăng Ninh,thpt trần đăng ninh,thpt trần đăng ninh
Truong Trung Cap Tai Chinh Ke Toan,TC Kế toán tài chính Hà Nội,truong trung cap tai chinh ke toan,tc kế toán tài chính hà nội
cd ktkh da nang,CĐ Kinh tế Kế hoạch Đà Nẵng,cd ktkh da nang,cđ kinh tế kế hoạch đà nẵng
trung tam gdnn gdtx ba che,GDNN-GDTX Ba Chẽ,trung tam gdnn gdtx ba che,gdnn-gdtx ba chẽ
Truong PTTH LeVietThuat-TPVinh-NgheAn,THPT Lê Viết Thuật,truong ptth levietthuat-tpvinh-nghean,thpt lê viết thuật
CAO DANG NGHE GIA LAI,CĐ Gia Lai,cao dang nghe gia lai,cđ gia lai
Trường Đại Học Kĩ Thuật Y Dược Đà Nẵng,ĐH Kỹ thuật Y Dược Đà Nẵng,trường đại học kĩ thuật y dược đà nẵng,đh kỹ thuật y dược đà nẵng
THPT MANGTHIT,THPT Mang Thít,thpt mangthit,thpt mang thít
Trường Trường THPT Tân dân,THPT Tân Dân,trường trường thpt tân dân,thpt tân dân
cao dang kinh te doi ngoai _ college of foreign economic relations cofer,CĐ Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai _ college of foreign economic relations cofer,cđ kinh tế đối ngoại
HUA - Đại học Nông Nghiệp Hà Nội,HV Nông nghiệp Việt Nam,hua - đại học nông nghiệp hà nội,hv nông nghiệp việt nam
gdtx vi xuyen,GDNN-GDTX Vị Xuyên,gdtx vi xuyen,gdnn-gdtx vị xuyên
Trường Cao Đẳng Cộng Đồng Hải Phòng,CĐ Cộng Đồng Hải Phòng,trường cao đẳng cộng đồng hải phòng,cđ cộng đồng hải phòng
THPT Tay Thanh,THPT Tây Thạnh,thpt tay thanh,thpt tây thạnh
THPT MỸ THO Ý Yên Nam Định,THPT Mỹ Tho,thpt mỹ tho ý yên nam định,thpt mỹ tho
bach khoa hung yen,CĐ Bách khoa Hưng Yên,bach khoa hung yen,cđ bách khoa hưng yên
cd nghe viet my,CĐ Nghề Việt Mỹ,cd nghe viet my,cđ nghề việt mỹ
truong dai hoc su pham thanh pho ho chi minh,ĐH Sư phạm TP.HCM,truong dai hoc su pham thanh pho ho chi minh,đh sư phạm tp.hcm
THPT Dieu Cai,THPT Điểu Cải,thpt dieu cai,thpt điểu cải
tt gdnn gdtx thoai son,GDNN-GDTX Thoại Sơn,tt gdnn gdtx thoai son,gdnn-gdtx thoại sơn
THPT Lộc Thanh Bảo Lộc Lâm Đồng,THPT Lộc Thanh,thpt lộc thanh bảo lộc lâm đồng,thpt lộc thanh
dai hoc hanh chinh,HV Hành chính Quốc Gia,dai hoc hanh chinh,hv hành chính quốc gia
An Lương Đông,THPT An Lương Đông,an lương đông,thpt an lương đông
"Trường THPT Trần Nhân Tông,Eakar.Daklak",THPT Trần Nhân Tông,"trường thpt trần nhân tông,eakar.daklak",thpt trần nhân tông
truong thpt ban mê thuột,THPT Buôn Ma Thuột,truong thpt ban mê thuột,thpt buôn ma thuột
Đại Học Giao Thông Vận Tải HN,ĐH Giao thông Vận tải,đại học giao thông vận tải hn,đh giao thông vận tải
THIEU SINH QUAN,Thiếu sinh quân Việt Nam Cộng hòa,thieu sinh quan,thiếu sinh quân việt nam cộng hòa
