Unnamed: 0,index,text,normed_text,lower_text,lower_normed_text
129,4263,Trường THPT nguyen huu canh tu 2019 khu vuc uu tien moi khong con la kv1 nua,Trường THPT Nguyễn Hữu Cảnh,trường thpt nguyen huu canh tu 2019 khu vuc uu tien moi khong con la kv1 nua,trường thpt nguyễn hữu cảnh
130,4827,truong Trường THPT vo van kiet,Trường THPT Võ Văn Kiệt,truong trường thpt vo van kiet,trường thpt võ văn kiệt
131,10535,Hoàng Hoá II,Trường THPT Hoằng Hóa 2,hoàng hoá ii,trường thpt hoằng hóa 2
132,7128,trung hoc pho thong Ninh Giang,Trường THPT Ninh Giang,trung hoc pho thong ninh giang,trường thpt ninh giang
133,8300,ĐH KT KT BD,Trường Đại học Kinh tế - Kỹ Thuật Bình Dương,đh kt kt bd,trường đại học kinh tế - kỹ thuật bình dương
134,7979,Hight school luc ngan 1,Trường THPT Lục Ngạn số 1,hight school luc ngan 1,trường thpt lục ngạn số 1
135,7679,TPPT YÊN LÃNG,Trường THPT Yên Lãng,tppt yên lãng,trường thpt yên lãng
136,13073,KY THUẬT CAO THẮNG,Trường Cao Đẳng Kỹ thuật Cao Thắng,ky thuật cao thắng,trường cao đẳng kỹ thuật cao thắng
137,2100,dh dl van hien,ĐH DL Văn Hiến,dh dl van hien,đh dl văn hiến
138,12445,Trường THPTql2,Trường THPT Quỳnh Lưu 2,trường thptql2,trường thpt quỳnh lưu 2
139,4972,Trường THPT pham van dong,Trường THPT Phạm Văn Đồng,trường thpt pham van dong,trường thpt phạm văn đồng
140,6575,Trường THPT le duan,Trường THPT Lê Duẩn,trường thpt le duan,trường thpt lê duẩn
141,4410,ttgdnn gdtx huong thuy,TT GDNN-GDTX Hương Thủy,ttgdnn gdtx huong thuy,tt gdnn-gdtx hương thủy
142,11632,su fam long an,Trường Cao Đẳng Sư phạm Long An,su fam long an,trường cao đẳng sư phạm long an
143,14273,Trường THPT Chuyên Trà Vinh,Trường THPT Chuyên Nguyễn Thiện Thành,trường thpt chuyên trà vinh,trường thpt chuyên nguyễn thiện thành
144,7930,Trường THPT Số 1 TP Lào Cai,Trường THPT số 1 TP Lào Cai,trường thpt số 1 tp lào cai,trường thpt số 1 tp lào cai
145,8293,"RMIT Melbourne, Australia",Đại học RMIT ,"rmit melbourne, australia",đại học rmit 
146,3239,Trường THPT viet yen so 2,Trường THPT Việt Yên số 2,trường thpt viet yen so 2,trường thpt việt yên số 2
147,14280,Trường THPT Thái Hoà BD,Trường THPT Thái Hòa,trường thpt thái hoà bd,trường thpt thái hòa
148,11216,Đại học TDTT Đà Nẵng,Trường Đại hoc Thể dục Thể thao Đà Nẵng,đại học tdtt đà nẵng,trường đại hoc thể dục thể thao đà nẵng
149,11476,Trường THPT Hoàng Hoa Thám - QN,Trường THPT Hoàng Hoa Thám,trường thpt hoàng hoa thám - qn,trường thpt hoàng hoa thám
150,9421,Hoc Vien Quan Su Cao Cap Odexa,Học viện Quốc phòng,hoc vien quan su cao cap odexa,học viện quốc phòng
151,13103,TT GDTX hung ha,TT GDNN-GDTX Hưng Hà ,tt gdtx hung ha,tt gdnn-gdtx hưng hà 
152,4953,Trường THPT hung vuong,Trường THPT Hùng Vương,trường thpt hung vuong,trường thpt hùng vương
153,6465,ttgdnn cai nuoc,TTGDNN Cái Nước,ttgdnn cai nuoc,ttgdnn cái nước
154,13586,Trường THPT Nguyễn Trường Tộ - Vinh - Nghệ An,Trường THPT Dân Lập Nguyễn Trường Tộ,trường thpt nguyễn trường tộ - vinh - nghệ an,trường thpt dân lập nguyễn trường tộ
155,6201,so giao duc dao tao,Sở Giáo dục- Đào tạo,so giao duc dao tao,sở giáo dục- đào tạo
156,4237,Trường THPT quang trung,Trường THPT Quang Trung,trường thpt quang trung,trường thpt quang trung
157,6417,trung tam gd dn phuoc long,TT GD-DN Phước Long,trung tam gd dn phuoc long,tt gd-dn phước long
158,4062,Trường THPT anh son 1,Trường THPT Anh Sơn 1,trường thpt anh son 1,trường thpt anh sơn 1
159,10775,trung hoc pho thong ngo gia tu vinh phuc,Trường THPT Ngô Gia Tự,trung hoc pho thong ngo gia tu vinh phuc,trường thpt ngô gia tự
160,13502,Trường THPT BC Trần Quốc Tuấn,Trường THPT Trần Quốc Tuấn,trường thpt bc trần quốc tuấn,trường thpt trần quốc tuấn
161,5672,cd nghe dong thap,CĐ nghề Đồng Tháp,cd nghe dong thap,cđ nghề đồng tháp
162,6231,Trường THCS va Trường THPT phu thinh,Trường THCS-THPT Phú Thịnh,trường thcs va trường thpt phu thinh,trường thcs-thpt phú thịnh
163,14098,Trường Đại Học Hoa Lư Ninh Binh,Trường Đại học Hoa Lư,trường đại học hoa lư ninh binh,trường đại học hoa lư
164,8296,Nha Trang seaproducts university,Trường Đại học Nha Trang,nha trang seaproducts university,trường đại học nha trang
165,2127,Trường THPT binh hung hoa,Trường THPT Bình Hưng Hòa,trường thpt binh hung hoa,trường thpt bình hưng hòa
166,2056,Trường THPT tran phu,Trường THPT Trần Phú,trường thpt tran phu,trường thpt trần phú
167,3324,quan nhan cong an tai ngu_21,"Quân nhân, Công an tại ngũ_21",quan nhan cong an tai ngu_21,"quân nhân, công an tại ngũ_21"
168,5247,trung cap bach khoa binh duong,Trung cấp Bách Khoa Bình Dương,trung cap bach khoa binh duong,trung cấp bách khoa bình dương
169,9953,"TPHT Phan Châu Trinh,TP Đông Hà,Quảng Trị",Trường THPT Phan Chu Trinh,"tpht phan châu trinh,tp đông hà,quảng trị",trường thpt phan chu trinh
170,12992,Truong mam non xa dinh tien,Trường mầm non định tiến,truong mam non xa dinh tien,trường mầm non định tiến
171,5856,tc nghe ktkt cong doan ba ria vt,TC nghề KTKT Công đoàn Bà Rịa - VT,tc nghe ktkt cong doan ba ria vt,tc nghề ktkt công đoàn bà rịa - vt
172,9760,Trường THPT Lương Đắc Bằng - Hoằng Hóa,Trường THPT Lương Đắc Bằng,trường thpt lương đắc bằng - hoằng hóa,trường thpt lương đắc bằng
173,11981,truong trung hoc pho thong mai thuc loan,Trường THPT Mai Thúc Loan,truong trung hoc pho thong mai thuc loan,trường thpt mai thúc loan
174,14252,phổ thông B phủ lý,Trường THPT Phủ Lý B,phổ thông b phủ lý,trường thpt phủ lý b
175,3570,quan nhan cong an tai ngu_24,"Quân nhân, Công an tại ngũ_24",quan nhan cong an tai ngu_24,"quân nhân, công an tại ngũ_24"
176,7948,"National Economics University, Hanoi",Trường Đại Học Kinh Tế Quốc Dân,"national economics university, hanoi",trường đại học kinh tế quốc dân
177,8201,Ðh tay bac,Trường Đại học Tây Bắc,ðh tay bac,trường đại học tây bắc
178,8962,trung học phổ thông Chu Văn An,Trường THPT Chu Văn An ,trung học phổ thông chu văn an,trường thpt chu văn an 
179,9545,đang học cao đăng cộng đồng cà mau,Trường Cao Đẳng Cộng đồng Cà Mau,đang học cao đăng cộng đồng cà mau,trường cao đẳng cộng đồng cà mau
180,5108,Trường THPT da huoai,Trường THPT Đạ Huoai,trường thpt da huoai,trường thpt đạ huoai
181,4445,truong cd cong nghe quang nam tu 15 01 2018,Trường CĐ Công nghệ Quảng Nam,truong cd cong nghe quang nam tu 15 01 2018,trường cđ công nghệ quảng nam
182,8066,Trường THPT Văn Hiến,Trường THPT VĂN HIẾN,trường thpt văn hiến,trường thpt văn hiến
183,6854,cdxd so1,Cao Đẳng Xây dựng Số 1,cdxd so1,cao đẳng xây dựng số 1
184,2516,tt gdnn gdtx huyen muong khuong,TT GDNN-GDTX huyện Mường Khương,tt gdnn gdtx huyen muong khuong,tt gdnn-gdtx huyện mường khương
185,11554,Trường THPT Tây Sơn - Bình Định,Trường THPT Tây Sơn,trường thpt tây sơn - bình định,trường thpt tây sơn
186,8157,SPHCM,Trường Đại học Sư phạm TP.HCM,sphcm,trường đại học sư phạm tp.hcm
187,5349,TT GDTX ben cau,TT GDTX Bến Cầu,tt gdtx ben cau,tt gdtx bến cầu
188,9807,Trường THPT Nguyễn Trãi Phú yên,Trường THPT Nguyễn Trãi,trường thpt nguyễn trãi phú yên,trường thpt nguyễn trãi
189,12334,HNU,Trường Đại học Hà Nội,hnu,trường đại học hà nội
190,13369,TTHP so 5,Trường THPT Số 5 Bố Trạch,tthp so 5,trường thpt số 5 bố trạch
191,3270,cao dang cong nghiep bac ninh,Cao Đẳng Công nghiệp Bắc Ninh,cao dang cong nghiep bac ninh,cao đẳng công nghiệp bắc ninh
192,6629,Trường THPT le quy don,Trường THPT Lê Quý Đôn,trường thpt le quy don,trường thpt lê quý đôn
193,12724,cao dang binh binh,Trường Cao Đẳng Bình Định,cao dang binh binh,trường cao đẳng bình định
194,3507,so giao duc dao tao hoa binh,Sở Giáo dục - Đào tạo Hòa Bình,so giao duc dao tao hoa binh,sở giáo dục - đào tạo hòa bình
195,7227,Trường THPT Chiêm Hóa TQ,Trường THPT Chiêm Hoá,trường thpt chiêm hóa tq,trường thpt chiêm hoá
196,11096,dh tran quoc tuan,Trường Sĩ quan Lục Quân 1,dh tran quoc tuan,trường sĩ quan lục quân 1
197,6098,phong gd dt q cai rang,Phòng GD-ĐT Q.Cái Răng,phong gd dt q cai rang,phòng gd-đt q.cái răng
