text,normed_text,normed_text_2
trung cap cong nghe thong tin,Khoa công nghệ thông tin - Trường trung cấp ICT,Khoa công nghệ thông tin - Trường trung cấp ICT
trung học phổ thông nguyễn hữu thọ,Trường THPT Nguyễn Hữu Thọ,THPT Nguyễn Hữu Thọ
trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT,Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh,Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh
Truong THPT Lê Trung Kiên,Trường THPT Lê Trung Kiên,THPT Lê Trung Kiên
THPT Phan Dang Luu TP.HCM,Trường THPT Phan Đăng Lưu,THPT Phan Đăng Lưu
Trường Cao đẳng Tài nguyên và Môi trường Miền Trung,Phân hiệu Đại học Tài Nguyên & Môi Trường Hà Nội tại Thanh Hoá,Phân hiệu Đại học Tài Nguyên & Môi Trường Hà Nội tại Thanh Hoá
Đại học Dân lập Duy Tân,Đại Học Dân Lập Duy Tân,Đại Học Dân Lập Duy Tân
tthpt nguyen trai,Trường THPT Nguyễn Trãi - Ba Đình,THPT Nguyễn Trãi - Ba Đình
Trường THCS tây đô,Trường Thcs Tây Đô,Thcs Tây Đô
THPT Tran Phu-binh lam,Trường THPT Trần Phú,THPT Trần Phú
Trường THCS Hành Dũng,Trường THCS Hành Dũng,THCS Hành Dũng
"Trung tâm GDTX Quận Thủ Đức, Tp.HCM",Công Ty TNHH Nguồn Nhân Lực Ánh Mai,Công Ty TNHH Nguồn Nhân Lực Ánh Mai
Trường Trung Học Hòa Đa,Trường THPT Hòa Đa,THPT Hòa Đa
THPT phươg xá,Trường THPT Phương Xá,THPT Phương Xá
tc kế toán,Trung cấp Kế toán tài chính Hà Nội,ung cấp Kế toán tài chính Hà Nội
THPT Nguyễn Đổng Chi - Hà Tĩnh,Trường THPT Nguyễn Đổng Chi,THPT Nguyễn Đổng Chi
Trường THPT Hàm THuận Nam,Trường THPT Hàm Thuận Nam,THPT Hàm Thuận Nam
THCS Trực Thuận,Trực Thuận,ực Thuận
Truong THPT Quan Quan Sơn 2,Trường THPT Quan Sơn,THPT Quan Sơn
Học Viện Công Nghệ Bưu Chính Viễn Thông,Học Viện Công Nghệ Bưu Chính Viễn Thông,Học Viện Công Nghệ Bưu Chính Viễn Thông
truong dh spkt vinh,Trường đại học Sư Phạm Kỹ Thuật Vinh,đại học Sư Phạm Kỹ Thuật Vinh
ĐH Y Dược TPHCM,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
Truong Trung Cap Ky Thuat PK-KQ,Trường Trung Cấp KT PKKQ,Trung Cấp KT PKKQ
cao dang du lich,Trường Cao Đẳng Du Lịch Hà Nội,Cao Đẳng Du Lịch Hà Nội
University of South Florida,Đại học Nam Florida (University of South Florida),Đại học Nam Florida
Trường THPT Nguyễn Việt Dũng,Trường THPT Nguyễn Việt Dũng,THPT Nguyễn Việt Dũng
Thanh Pho Can Tho,Cần Thơ,Cần Thơ
Truong THPT NGuyen Minh Quang,Trường THPT Nguyễn Minh Quang,THPT Nguyễn Minh Quang
THPT TRAN NGOC HOANG,Trường THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ,THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ
Truong Trung Hoc Co so Chu Van AN,Trường THCS Chu Văn An,THCS Chu Văn An
THPT Trần Hưng Đạo - Mỹ Tho - Tiền Giang,Trường THPT Trần Hưng Đạo,THPT Trần Hưng Đạo
Truong THPT Tran Ngoc Hoang,Trường THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ,THCS & THPT Trần Ngọc Hoằng - H.Cờ Đỏ
Cao Dang Y Te Can Tho-CMC,Trường Cao đẳng Y tế Cần Thơ,Cao đẳng Y tế Cần Thơ
Trung Học Cơ Sở Thạnh Mỹ,Trường THCS Thanh Mỹ,THCS Thanh Mỹ
THPT Hoa Hung,Trường THCS - THPT Hoà Hưng,THCS - THPT Hoà Hưng
Trường cao đẳng kỉ thuật Cao Thắng,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
trung học Phổ thông Yên Mô B,Trường THPT Yên Mô B,THPT Yên Mô B
Truong THPT Nguyen Van Troi - Bau Don,Trường THPT Nguyễn Văn Trỗi,THPT Nguyễn Văn Trỗi
trung hoc pho thong thot not,Trường THPT Thốt Nốt,THPT Thốt Nốt
THPT AN THOI,Trường THPT An Thới,THPT An Thới
Trường Trung Học Phổ Thông Long Mỹ,Trường THPT Long Mỹ,THPT Long Mỹ
THPT TÂN BÌNH,Trường THPT Tân Bình,THPT Tân Bình
THPT chuyên Thủ Khoa Nghĩa,Trường THPT Chuyên Thủ Khoa Nghĩa,THPT Chuyên Thủ Khoa Nghĩa
cdktkt can thơ,Trường Cao đẳng Kinh tế - Kỹ thuật Cần Thơ,Cao đẳng Kinh tế - Kỹ thuật Cần Thơ
Cao đẳng Sưu phạm long an,Trường Cao đẳng Sư phạm Long An,Cao đẳng Sư phạm Long An
Trường Trung Cấp Y Dược Mekong,Trường Trung Cấp Quốc Tế MeKong,Trung Cấp Quốc Tế MeKong
Truong THPT Chau Thanh 1,Trường THPT Châu Thành I,THPT Châu Thành I
truong trung hoc pho thong phu hung,Trường THPT Phú Hưng,THPT Phú Hưng
THPT Trần Văn Kiết,Trường THPT Trần Văn Kiết,THPT Trần Văn Kiết
THCS Lê Chánh,Trường THCS Lê Chánh,THCS Lê Chánh
Thpt thuận hưng,Trường THPT Thuận Hưng,THPT Thuận Hưng
Trường THPT Lê Lợi-Thọ Xuân-Thanh Hóa,Trường THPT Lê Lợi,THPT Lê Lợi
truog thpt chau thanh 2,Trường THPT Châu Thành 2,THPT Châu Thành 2
THPT Van Ngoc Chinh,Trường THPT Văn Ngọc Chính,THPT Văn Ngọc Chính
Trường THPT Tăng Bạt Hổ,Trường THPT Tăng Bạt Hổ,THPT Tăng Bạt Hổ
THPT U Minh Thuong,Trường THCS và THPT U Minh Thượng,THCS và THPT U Minh Thượng
"THCS Chu Văn An, Bình Dương",Trường THCS Chu Văn An,THCS Chu Văn An
truong cao dang nghe viet nam_singapore,Trường Cao đẳng nghề Việt Nam Singapore,Cao đẳng nghề Việt Nam Singapore
THCS Trần Ngọc Quế,Trường THCS Trần Ngọc Quế,THCS Trần Ngọc Quế
Truong THCS xa Hiep Tung,Trường THCS xã Hiệp Tùng,THCS xã Hiệp Tùng
THPT Nguyễn Minh Quang,Trường THPT Nguyễn Minh Quang,THPT Nguyễn Minh Quang
trung hoc co so yen dong,THCS Yên Đồng,THCS Yên Đồng
Trường Tiểu Học Thới Long 2,TRƯỜNG TIỂU HỌC THỚI LONG 2,TIỂU HỌC THỚI LONG 2
Trường Trung học phổ thông Long Thành,Trường THPT Long Thạnh,THPT Long Thạnh
CD Cong Dong Soc Trang,Trường cao đẳng cộng đồng Sóc Trăng,cao đẳng cộng đồng Sóc Trăng
THPT Nguyễn Đình Chiểu - Bến Tre,Trường THPT Nguyễn Đình Chiểu,THPT Nguyễn Đình Chiểu
THCS Nguyễn Trường Tộ - Vĩnh Long,Trường THCS Nguyễn Trường Tộ,THCS Nguyễn Trường Tộ
Truong THCS An Lac,Trường THCS An Lạc,THCS An Lạc
THCS PHAN NGOC HIEN,Trường THCS Phan Ngọc Hiển,THCS Phan Ngọc Hiển
THPT Phan Ngọc Hiển,Trường THPT Phan Ngọc Hiển,THPT Phan Ngọc Hiển
Horizon International Bilingual School,Trường Song ngữ Quốc tế Horizon,Song ngữ Quốc tế Horizon
Horizon High School,Trường Song ngữ Quốc tế Horizon,Song ngữ Quốc tế Horizon
Cao Đẳng Kinh Tế Kỹ Thuật Kiên Giang,Trường Cao Đẳng Kinh Tế Kỹ Thuật Kiên Giang,Cao Đẳng Kinh Tế Kỹ Thuật Kiên Giang
TTGDTX Q8,Trung Tâm Giáo Dục Thường Xuyên Quận 8,Giáo Dục Thường Xuyên Quận 8
Trường THCS - THPT Phú Quới,THCS - THPT Phú Quới,THCS - THPT Phú Quới
Cao Đẳng Điện Lực Thành Phố Hồ Chí Minh,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh,Cao đẳng Điện lực Thành phố Hồ Chí Minh
Trường THPT Lê Thị Riêng,Trường THPT Lê Thị Riêng,THPT Lê Thị Riêng
trung hoc co so thi tran long ho,Trường THCS Thị Trấn Long Hồ,THCS Thị Trấn Long Hồ
Cao Dang Kinh Te Tai Chinh Vinh Long,Phân hiệu trường Đại học Kinh tế Thành phố Hồ Chí Minh tại tỉnh Vĩnh Long,Phân hiệu trường Đại học Kinh tế Thành phố Hồ Chí Minh tại tỉnh Vĩnh Long
THPT VÕ THỊ SÁU,Trường THPT Võ Thị Sáu,THPT Võ Thị Sáu
"THPT  Mỹ Hương, Mỹ Tú, Sóc Trăng",Trường THPT Mỹ Hương,THPT Mỹ Hương
pho thong cho gao,Trường THPT Chợ Gạo,THPT Chợ Gạo
Trường THPT Thạnh An,Trường THPT Thạnh An,THPT Thạnh An
Trường THPT Bán Công Cà Mau,Trường THPT Cà Mau,THPT Cà Mau
THCS Xuân Diệu,Trường THCS Xuân Diệu,THCS Xuân Diệu
THPT Huu Thanh,Trường THPT Hựu Thành,THPT Hựu Thành
TTGDTX phú nhuận,Trung Tâm Giáo Dục Nghề Nghiệp - Giáo Dục Thường Xuyên Quận Phú Nhuận,Giáo Dục Nghề Nghiệp - Giáo Dục Thường Xuyên Quận Phú Nhuận
Cao dang nge quy nhon,Trường Cao Đẳng Kỹ Thuật Công Nghệ Quy Nhơn,Cao Đẳng Kỹ Thuật Công Nghệ Quy Nhơn
Đại học Khoa học xã hội và Nhân văn - Đại học Quốc Gia TP.HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
"THPT Trần Văn Bảy, Phước Long, Bạc Liêu",THPT TRẦN VĂN BẢY,THPT TRẦN VĂN BẢY
thcs tân mỹ,Trường THCS Tân Mỹ,THCS Tân Mỹ
trung hoc thuy san,"Trường Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản","Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản"
TRUONG THCS NHON LY,Trường Trung Học Cơ Sở Lý Nhơn,Trung Học Cơ Sở Lý Nhơn
Truong THCS huu thanh B,Trường THCS Hựu Thành B,THCS Hựu Thành B
Trường TC GTVT Miền Nam,Trường Trung Cấp Giao Thông Vận Tải Miền Nam,Trung Cấp Giao Thông Vận Tải Miền Nam
Trường THCS Tân Túc,Trường THCS Tân Túc,THCS Tân Túc
THPT Binh Phu,Trường THPT Bình Phú,THPT Bình Phú
Thcs an thanh 1,Trường THCS An Thạnh 1,THCS An Thạnh 1
THCS hung vuong bao loc,Trường THCS Hùng Vương,THCS Hùng Vương
THPT Xuân Tô,Trường THPT Xuân Tô,THPT Xuân Tô
THCS Lưu Văn Lang,Trường THCS Lưu Văn Lang,THCS Lưu Văn Lang
Hutech - Khoa Quản Trị Kinh Doanh,Khoa Quản Trị Kinh Doanh,Khoa Quản Trị Kinh Doanh
Trường CĐ Công Nghiệp Dệt May Thời Trang TP.HCM,Trường Cao Đẳng Công Nghệ TP.HCM,Cao Đẳng Công Nghệ TP.HCM
"THPT TRUONG DINH,TIEN GIANG",Trường THPT Trương Định,THPT Trương Định
Saigontourist Hospitality College,Trường Trung cấp Du lịch và Khách sạn Saigontourist (Saigontourist Hospitality College),Trung cấp Du lịch và Khách sạn Saigontourist
Trường Trung Học Thực Hành Đại Học Sư Phạm,Trường Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
THCS Đại Ân 2,Trường Trung Học Cơ Sở Đại Ân 2,Trung Học Cơ Sở Đại Ân 2
trường thcs đại ân 2,Trường Trung Học Cơ Sở Đại Ân 2,Trung Học Cơ Sở Đại Ân 2
trung cấp Kinh tế Quảng Ninh,Trường Trung Cấp Kinh Tế Quảng Ninh,Trung Cấp Kinh Tế Quảng Ninh
Trường THPT Chuyên Lê Hồng Phong TPHCM,Trường THPT chuyên Lê Hồng Phong,THPT chuyên Lê Hồng Phong
HUI-HCM University of Industry,Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
Truong trung hoc PT thoj long,Trường THPT Thới Long,THPT Thới Long
THPT DUONG BACH MAI,Trường THPT Dương Bạch Mai,THPT Dương Bạch Mai
THPT thực hành sư phạm Cần Thơ,Trường THPT Thực Hành Sư Phạm,THPT Thực Hành Sư Phạm
Trường THPT Nguyễn Quang Diêu,Trường THPT Nguyễn Quang Diêu,THPT Nguyễn Quang Diêu
THPT CẦN ĐĂNG,Trường THPT Cần Đăng,THPT Cần Đăng
Trường THPT Cần Đăng,Trường THPT Cần Đăng,THPT Cần Đăng
Trường THPT Thới Bình,Trường THPT Thới Bình,THPT Thới Bình
Trường THPT Tiểu Cần,Trường THPT huyện Tiểu Cần,THPT huyện Tiểu Cần
Trường THPT Phan Thanh Giản,Trường trung học phổ thông Phan Thanh Giản,trung học phổ thông Phan Thanh Giản
Trường THCS - THPT Long Phú,Trường THCS - THPT Long Phú,THCS - THPT Long Phú
Truong THPT Nguyen van Hai,Trường THPT Nguyễn Văn Hai,THPT Nguyễn Văn Hai
THPT Nguyen van Hai,Trường THPT Nguyễn Văn Hai,THPT Nguyễn Văn Hai
THPT Ngoi Sao,Trường Ngôi Sao Hà Nội,Ngôi Sao Hà Nội
Đại Học Kỹ Thuật Công Nghệ Cần Thơ,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,Đại học Kỹ thuật - Công nghệ Cần Thơ
THCS Thị Trấn Thới Lai,Trường THCS Thị Trấn Thới Lai,THCS Thị Trấn Thới Lai
THCS trung an,Trường Tiểu học Trung An,Tiểu học Trung An
THPT Tầm Vu 1,Trường THPT Tầm Vu,THPT Tầm Vu
Trường THCS Và THPT Tân Lộc,Trường THCS và THPT Tân Lộc (điểm B),THCS và THPT Tân Lộc
Trường THPT Thới Lai,TRƯỜNG THPT THỚI LAI,THPT THỚI LAI
Trường THCS Thông Tây Hội,Trường THCS Thông Tây Hội - Cơ Sở 1,THCS Thông Tây Hội - Cơ Sở 1
THPT Cây Dương,THPT Cây Dương,THPT Cây Dương
truong THPT Cay Duong,Trường Trung Học Phổ Thông Cây Dương,Trung Học Phổ Thông Cây Dương
THPT Cam My,Trường THPT Cẩm Mỹ,THPT Cẩm Mỹ
truog thcs bien bach,THCS Biển Bạch,THCS Biển Bạch
Trường THCS Thới Thuận,Trường THCS Thới Thuận,THCS Thới Thuận
Đại học Võ Trường Toản,Trường Đại Học Võ Trường Toản,Đại Học Võ Trường Toản
Cao Đẳng Y Tế Cần Thơ,Trường Cao đẳng Y tế Cần Thơ,Cao đẳng Y tế Cần Thơ
THPT Phan Van Tri,Trường THPT Phan Văn Trị,THPT Phan Văn Trị
truong trung hoc pho thong tam vu 1,Trường THPT Tầm Vu,THPT Tầm Vu
Trường Thủ Khoa Nghĩa,Trường THPT Chuyên Thủ Khoa Nghĩa,THPT Chuyên Thủ Khoa Nghĩa
THPT Trần Văn Thời,Trường THPT Trần Văn Thời,THPT Trần Văn Thời
Trường THCS Bình Tân,THCS Bình Tân,THCS Bình Tân
Đại Học Cần Thơ,Đại học Cần Thơ,Đại học Cần Thơ
"THPT Lê Văn Đẩu, Vĩnh Lợi, Bạc Liêu",Trường THPT Lê Văn Đẩu,THPT Lê Văn Đẩu
Trường Tiểu học Thị trấn Lai Vung,Trường Tiểu Học Thị Trấn Lai Vung,Tiểu Học Thị Trấn Lai Vung
Trường Trung Cấp Nghề Quang Trung,Trường Trung cấp Nghề Quang Trung,Trung cấp Nghề Quang Trung
THPT Trần văn Ơn - Châu Thành A (bến Tre),Trường THPT Trần Văn Ơn,THPT Trần Văn Ơn
Trường Trung Học Phổ Thông Hoà An,Trường Trung Học Phổ Thông Hòa An,Trung Học Phổ Thông Hòa An
Tầm Vu 1,Trường THPT Tầm Vu,THPT Tầm Vu
Trung Cap Pham Ngoc Thach Can Tho,Trường Cao Đẳng Phạm Ngọc Thạch Cần Thơ,Cao Đẳng Phạm Ngọc Thạch Cần Thơ
Trường THPT Chợ Gạo,Trường THPT Chợ Gạo,THPT Chợ Gạo
THCS Đỗ Văn Dậy,Trường THCS Đỗ Văn Dậy,THCS Đỗ Văn Dậy
THCS TÂN TÚC,Trường THCS Tân Túc,THCS Tân Túc
THPT LƯU HOÀNG,Trường THPT Lưu Hoàng,THPT Lưu Hoàng
Thpt Luu Hoang,Trường THPT Lưu Hoàng,THPT Lưu Hoàng
truong thpt thi xa sa dec,Trường Trung học phổ thông Thành phố Sa Đéc,Trung học phổ thông Thành phố Sa Đéc
"THPT Trung Nghĩa, Phú Thọ",Trường THPT Trung Nghĩa,THPT Trung Nghĩa
THCS Phước Bình,Trường THCS Phước Bình - TP.Thủ Đức,THCS Phước Bình - TP.Thủ Đức
Trường Đại Học Ngân Hàng Tp.HCM,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2),Đại Học Ngân Hàng Tp Hồ Chí Minh
THPT Mỹ Văn,Trường THPT Mỹ Văn,THPT Mỹ Văn
Trường TH-THCS-THPT Ngô Thời Nhiệm,"Trường tiểu học, THCS, THPT Ngô Thời Nhiệm","tiểu học, THCS, THPT Ngô Thời Nhiệm"
Trường THPT Lấp Vò 2,Trường THPT Lấp Vò 2,THPT Lấp Vò 2
Học viện Cán bộ TP.HCM,Học viện Cán bộ Thành phố Hồ Chí Minh,Học viện Cán bộ Thành phố Hồ Chí Minh
trường Tiểu học Bình Trị Đông A,Trường Tiểu Học Bình Trị Đông A,Tiểu Học Bình Trị Đông A
SaigonTourist Hospitality College,Trường Trung cấp Du lịch và Khách sạn Saigontourist (Saigontourist Hospitality College),Trung cấp Du lịch và Khách sạn Saigontourist
Trường THCS Độc Lập,Trường THCS Độc Lập,THCS Độc Lập
THPT Phuc Hoa,TRƯỜNG THPT PHỤC HÒA,THPT PHỤC HÒA
THPT LÊ HỒNG PHONG-DI LINH-LÂM ĐỒNG,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
THCS Phan Đăng Lưu,Trường THCS Phan Đăng Lưu,THCS Phan Đăng Lưu
THPT 25/10,Trường THPT Dân Lập 25 - 10,THPT Dân Lập 25 - 10
Trường THPT 25/10,Trường THPT Dân Lập 25 - 10,THPT Dân Lập 25 - 10
Luong The Vinh High School ( Q1 TPHCM ),Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh
THCS Hồng Bàng - Hải Phòng,Trường THCS Hồng Bàng,THCS Hồng Bàng
Business and Hotel Management School,Trường Kinh doanh và Quản lý Khách sạn,Kinh doanh và Quản lý Khách sạn
THCS Hùng Vương - Hồng Bàng - Hải Phòng,Trường THCS Hùng Vương,THCS Hùng Vương
Trường Đại học Công nghiệp dệt may - thời trang Hà Nội,Trường Đại Học Công Nghiệp Dệt May Hà Nội,Đại Học Công Nghiệp Dệt May Hà Nội
Trường PTTH Ngô Quyền Hải Phòng,Trường THPT Ngô Quyền,THPT Ngô Quyền
THPT Chu Văn An Thái Nguyên,Trường THPT Chu Văn An,THPT Chu Văn An
Trường THPT Xuân Áng,Trường THPT Xuân Áng,THPT Xuân Áng
Trường THPT Chu Văn An,Trường THPT Chu Văn An (Trường Bưởi),THPT Chu Văn An
Trường THPT Chu Văn An - Thái Nguyên,Trường THPT Chu Văn An,THPT Chu Văn An
THCS Nguyễn Bá Ngọc - Hải Phòng,Trường THCS Nguyễn Bá Ngọc,THCS Nguyễn Bá Ngọc
Trường THCS Đại Xuân,Trường THCS Đại Xuân,THCS Đại Xuân
"THPT Phố Mới, Quế Võ, Bắc Ninh",Trường THPT Phố Mới,THPT Phố Mới
Trường THPT Trà Cú,Trường THPT Trà Cú,THPT Trà Cú
"THPT Quỳnh Côi, Quỳnh Phụ, Thái Bình",Trường THPT Quỳnh Côi,THPT Quỳnh Côi
TRUNG CẤP CẢNH SÁT NHÂN DÂN VI,Trường Trung Cấp Cảnh Sát Nhân Dân 6,Trung Cấp Cảnh Sát Nhân Dân 6
Trường Cao Đẳng KTCN TPHCM Cơ Sở Bình Dương Kỹ Nghệ II,Trường Cao Đẳng KTKT TP.HCM - Cơ Sở Bình Dương,Cao Đẳng KTKT TP.HCM - Cơ Sở Bình Dương
THPT Nguyễn Huệ - Đại Từ - Thái Nguyên,Trường THPT Nguyễn Huệ,THPT Nguyễn Huệ
Trường Quân Sự Quân Khu 3 - Sao Đỏ - Chí Linh - Hải Dương,Trường Quân Sự Quân Khu 3,Quân Sự Quân Khu 3
THPT Ngo Quyen - Hai Phong - Viet Nam,Trường THPT Ngô Quyền,THPT Ngô Quyền
BỘ NỘI VỤ - ĐẠI HỌC NỘI VỤ HÀ NỘI,Trường Đại Học Nội Vụ Hà Nội,Đại Học Nội Vụ Hà Nội
Trường Cao đẳng Sư phạm Quảng Ninh,Trường Cao Đẳng Sư Phạm Quảng Ninh,Cao Đẳng Sư Phạm Quảng Ninh
Trung cấp nghề mỏ hồng cẩm,Cao Đẳng Nghề Mỏ Hồng Cẩm,Cao Đẳng Nghề Mỏ Hồng Cẩm
Đại học Sư phạm Hà Nội 1,Trường Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
Trường PTTH Quảng hà,Trường THPT Quang Hà,THPT Quang Hà
Trường Trung Học Phổ Thông Trưng Vương Sài Gòn,Trường THPT Trưng Vương,THPT Trưng Vương
THPT Bắc Đông Quan,Trường THPT Bắc Đông Quan,THPT Bắc Đông Quan
THCS Dong Cuong,Trường Thcs Đồng Cương,Thcs Đồng Cương
DH Văn Lang TPHCM,Trường Đại học Văn Lang - Cơ sở 1,Đại học Văn Lang - Cơ sở 1
THPT Son Dong So 3,Trường THPT Sơn Động số 3,THPT Sơn Động số 3
Trường THPT Hà Lang (Chiêm Hóa-Tuyên Quang),Trường THPT Hà Lang,THPT Hà Lang
Trung Cấp Cảnh Sát Vũ Trang,Trường Cao Đẳng Cảnh Sát Nhân Dân 1,Cao Đẳng Cảnh Sát Nhân Dân 1
Trung hoc pho thong cau xe,Trường THPT Cầu Xe,THPT Cầu Xe
thpt ham nghi,Trường THPT Hàm Nghi,THPT Hàm Nghi
Truong THCS An hung an duong hai phong,Trường THCS An Hưng,THCS An Hưng
trường thpt lê trung kiên,Trường THPT Lê Trung Kiên,THPT Lê Trung Kiên
Trường THPT Hiệp Hoà 4.,Trường THPT Hiệp Hòa 4,THPT Hiệp Hòa 4
Trường Đại Học Công Nghệ Và Quản Lý Hữu Nghị,Trường Đại học Công nghệ và Quản lý Hữu Nghị - UTM,Đại học Công nghệ và Quản lý Hữu Nghị - UTM
THPT Việt Bắc,Trường THPT Việt Bắc,THPT Việt Bắc
Truong THPT Suong Nguyet  Anh,Trường THCS&THPT Sương Nguyệt Anh,THCS&THPT Sương Nguyệt Anh
THPT Gia Lộc 1,Trường THPT Gia Lộc,THPT Gia Lộc
THPT Luc Nam,Trường THPT Lục Nam,THPT Lục Nam
DH XAY DUNG HA NOI,Trường Đại Học Xây Dựng,Đại Học Xây Dựng
THPT Thái Phúc,Trường THPT Thái Phúc,THPT Thái Phúc
Trường THPT Thái Phúc,Trường THPT Thái Phúc,THPT Thái Phúc
THPT Lưu Tấn Phát,Trường THPT Lưu Tấn Phát,THPT Lưu Tấn Phát
Trường Đào Tạo Nghề Hand Việt - Handviet.com.vn,Công ty cổ phần và đào tạo nghề Hand Việt,Công ty cổ phần và đào tạo nghề Hand Việt
Đại Học Sân Khấu - Điện Ảnh Hà Nội,Đại Học Sân Khấu Điện Ảnh,Đại Học Sân Khấu Điện Ảnh
